"SSID","Filename","Tags","Title","Title Confidence","Creator","Creator Confidence","Volume","Volume Confidence","Issue","Issue Confidence","Date","Date Confidence","Language","Language Confidence","Description","Description Confidence","Subject","Subject Confidence","Type","Type Confidence","Coverage","Coverage Confidence","Format","Format Confidence","Publisher","Publisher Confidence","Medium","Medium Confidence","Technique","Technique Confidence","Material","Material Confidence","Measurements","Measurements Confidence","Style","Style Confidence","Culture","Culture Confidence","Period","Period Confidence","Location","Location Confidence","Named Entities","Named Entities Confidence","Keywords","Keywords Confidence","Resource Type","Resource Type Confidence","Transcript"
"42003054","L14182_11_24_1951a.jpg","AI Generated","Letter from South Carolina Conference of NAACP to County Superintendent of Education Regarding Educational Equality","medium","South Carolina Conference of NAACP | James M. Hinton","high","","","","","1951-11-24","high","English","high","Letter from the South Carolina Conference of the National Association for the Advancement of Colored People, signed by President James M. Hinton, addressed to L. B. McCord, County Superintendent of Education in Manning, South Carolina. The letter expresses support for the Negro patrons of School District #2 in their appeal for equitable distribution of school funds and equal educational facilities. It references disparities between schools for Black and white children in the Manning District and invokes the majority decision in the Clarendon County Case, urging equal treatment. The letter requests attention to the petition and a reply.","high","Segregation in education | Civil rights | Educational equalization | School budgets | Racial justice in education | Social justice and education","","Letter","high","style: Prose | culture: American | period: Early 1950s | location: Columbia, South Carolina, United States","","medium: Paper | technique: Typed | material: Typed letter on letterhead | measurements: 8.5 x 11 inches","","South Carolina Conference of NAACP","high","Paper","high","Typed","high","Typed letter on letterhead","medium","8.5 x 11 inches","low","Prose","high","American","high","Early 1950s","high","Columbia, South Carolina, United States","high","South Carolina Conference of NAACP | James M. Hinton | L. B. McCord | Clarendon County | Manning School District","high","Educational Equality | School Funding | Civil Rights | NAACP | South Carolina | Segregation | Manning | Clarendon County Case","high","Images","","South Carolina Conference NAACP J. M. HINTON PRESIDENT COLUMBIA REV. I. D. NEWMAN 1ST VICE-PRESIDENT ORANGEBURG DR. W. R. LANEY 2ND VICE-PRESIDENT ROCK HILL MRS. ANDREW W. SIMKINS SECRETARY COLUMBIA MRS. H. E. FREDERICK, JR. ASSISTANT SECRETARY ORANGEBURG LEVI G. BYRD TREASURER CHERAW S. J. McDONALD, SR. CHM. EXECUTIVE BOARD SUMTER EUGENE A. R. MONTGOMERY EXECUTIVE SECRETARY 1719 TAYLOR STREET COLUMBIA, S. C. November 24, 1951 Mr. L. B. McCord County Superintendent of Education Manning, South Carolina Dear Sir: The South Carolina Conference of National Association for the Advancement of Colored People is not only concerned but interested in supporting the Negro patrons of School district #2 who have appealed to you and the Board of Trustees of said district for a humane share of school funds for their children. The schools for Negroes in the Manning District fall far short of those for whites and even under the majority decision in the Clarendon County Case they should and must be equal. We are willing to support the Negro patrons of school district #2 in their fight for equal educational facilities. We will appreciate your attention to their petition and our letter and request a reply to both. Very truly yours, James M. Hinton President JMH/rg cc: Superintendent, Manning School District DEMOCRACY AND EQUALITY ARE INSEPARABLE"
"42003097","L14182_CitizensCouncil_03.jpg","AI Generated","Why Does Your Community Need a Citizens' Council?","high","","","","","","","undated","medium","English","high","Pamphlet advocating for the formation of Citizens' Councils in Southern communities, positioning them as a response to racial integration efforts and organizations such as the NAACP. The text argues against racial integration, promotes white racial solidarity, and frames Citizens' Councils as defenders of segregation and traditional Southern values. The pamphlet appeals to local white communities to organize in opposition to civil rights initiatives and federal integration laws.","low","White Citizens councils | Segregation | White supremacy movements | Southern States | Civil rights | Race relations","","Pamphlet","high","style: Prose | culture: American | period: Mid-20th Century | location: Southern United States","","medium: Printed text | technique: Printed | material: Paper | measurements: 2 pages","","","","Printed text","low","Printed","medium","Paper","high","2 pages","low","Prose","high","American","high","Mid-20th Century","high","Southern United States","high","NAACP | George Washington | Thomas Jefferson | Abraham Lincoln | Mississippi","medium","Citizens' Council | segregation | Southern United States | NAACP | racial integration | white supremacy | civil rights opposition","high","Images","","ion and also financial means with which to operate. Thus far, nearly all of the local organizations have set their annual dues at $5.00 per member. Every white Southerner should be proud to pay this amount in our battle for State’s Rights and the individual right to educate his children with children of his own kind. It is a fundamental right for every American to have pride in his race and to avoid conditions that might foster and promote intermarriage of his children with other races. 4. Legal Advisory — This committe provides the legal knowledge that will aid us to achieve our aims by constitutional lawful means. If the way of life of forty million people supported by over a century of precedence and practice can be upset legally by nine political appointees, surely legal steps can be taken by a determined majority to correct this grievance. It anticipates moves by agitators and devises legal means for the solution of any racial problems that might arise locally. Why Does Your Community Need a Citizens’ Council? Maybe your community has had no racial problems! This may be true; however, you may not have a fire, yet you maintain a fire department. You can depend on one thing: The NAACP (National Association for the Agitation of Colored People), aided by alien influences, bloc vote seeking politicians and left-wing do-gooders, will see that you have a problem in the near future. The Citizens’ Council is the South’s answer to the mongrelizers. We will not be integrated! We are proud of our white blood and our white heritage of sixty centuries. People with racial pride are attacked by the NAACP and its affiliates as being bigoted, prejudiced, biased, immoral, un-American, etc. These hysterical smear words are [ 2 ] used in lieu of any logical reason why a person can no longer be loyal to his white blood, his church, his state, and his nation above all else. In other words, the right to esprit de corps which has won every war we have fought is no longer in style. The idea now is seemingly to pride ourselves in the fact that everybody in the world should be made equal by law, regardless of aptitude or heritage. The “have nots” must share equally with the “have gots” in this new world order. If we are bigoted, prejudiced, un-American, etc., so were George Washington, Thomas Jefferson, Abraham Lincoln and our other illustrious forebears who believed in segregation. We choose the old paths of our founding fathers and refuse to destroy their ancient landmarks to appease anyone, even the internationalists. This integregation scheme ties right in with the new, one world, one creed, one race philosophy fostered by the ultra-idealists and international left-wingers. The fate of our great nation may well rest in the hands of the Southern white people today. If we submit to this unconstitutional, judge-made integration law, the malignant powers of atheism, communism and mongrelization will surely follow, not only in our Southland but throughout our nation. To falter would be tragic; to fail would be fatal. The white people of the South will again stand fast and preserve an unsullied race as our forefathers did eighty years ago. We will not be integrated, either suddenly or gradually. Mississippi is considered a poor state in cash values. Yet we have only one known communist, the best record of any state in the union. This year a Mississippi boy was elected President of Boy’s Nation and a Mississippi girl was elected President of Girl’s Nation at the national convention in Washington. Our youth, then, of both races is our wealth and our proven defense against the sinister forces that would destroy our nation. [ 3 ]"
"42003093","L14182_12_11_1957.jpg","AI Generated; Reviewed","Letter from L. B. McCord to W. O. McElveen regarding Citizens Council meeting","high","L. B. McCord","high","","","","","1957-12-11","high","English","high","Letter from L. B. McCord, Superintendent of Education for Clarendon County, to W. O. McElveen of Olanta, South Carolina, acknowledging receipt of an announcement for a Citizens Council meeting scheduled for December 16, 1957, at 7:30 p.m. in the Olanta High School cafeteria. McCord confirms his expected attendance at the meeting.","high","Correspondence | Citizens' advisory committees | White Citizens councils | Educational leadership | Elementary school administration | Citizen participation | Clarendon Centre Site (Oxford, England)","","Letter","high","style: Correspondence | culture: American | period: Mid-20th century | location: Clarendon County, South Carolina","","medium: Paper | technique: Typed | material: Typewritten letter on paper | measurements: N/A","","","","Paper","high","Typed","high","Typewritten letter on paper","low","","high","Correspondence","high","American","high","Mid-20th century","high","Clarendon County, South Carolina","high","L. B. McCord | W. O. McElveen | Clarendon County | Olanta High School","medium","Citizens Council | education administration | Clarendon County | Olanta High School | meeting correspondence","high","Images","","December 11, 1957 Mr. W. O. McElveen Olanta, S. C. Dear Mr. McElveen: Yours just received announcing the Citizens Council meeting on December 16, 1957 at 7:30 o'clock in the Olanta High School Cafeteria. You may expect me at that time. Yours truly, L. B. McCord Supt. of Education Clarendon County LBM:blb"
