SSID,Filename,Tags,Title,Title Confidence,Creator,Creator Confidence,Volume,Volume Confidence,Issue,Issue Confidence,Date,Date Confidence,Language,Language Confidence,Description,Description Confidence,Subject,Subject Confidence,Type,Type Confidence,Coverage,Coverage Confidence,Format,Format Confidence,Publisher,Publisher Confidence,Medium,Medium Confidence,Technique,Technique Confidence,Material,Material Confidence,Measurements,Measurements Confidence,Style,Style Confidence,Culture,Culture Confidence,Period,Period Confidence,Location,Location Confidence,Named Entities,Named Entities Confidence,Keywords,Keywords Confidence,Resource Type,Resource Type Confidence
42003054,L14182_11_24_1951a.jpg,AI Generated,Letter from South Carolina Conference of NAACP to County Superintendent of Education Regarding Educational Equality,medium,South Carolina Conference of NAACP | James M. Hinton,high,,,,,1951-11-24,high,English,high,"Letter from the South Carolina Conference of the National Association for the Advancement of Colored People, signed by President James M. Hinton, addressed to L. B. McCord, County Superintendent of Education in Manning, South Carolina. The letter expresses support for the Negro patrons of School District #2 in their appeal for equitable distribution of school funds and equal educational facilities. It references disparities between schools for Black and white children in the Manning District and invokes the majority decision in the Clarendon County Case, urging equal treatment. The letter requests attention to the petition and a reply.",high,Segregation in education | Civil rights | Educational equalization | School budgets | Racial justice in education | Social justice and education,,Letter,high,"style: Prose | culture: American | period: Early 1950s | location: Columbia, South Carolina, United States",,medium: Paper | technique: Typed | material: Typed letter on letterhead | measurements: 8.5 x 11 inches,,South Carolina Conference of NAACP,high,Paper,high,Typed,high,Typed letter on letterhead,medium,8.5 x 11 inches,low,Prose,high,American,high,Early 1950s,high,"Columbia, South Carolina, United States",high,South Carolina Conference of NAACP | James M. Hinton | L. B. McCord | Clarendon County | Manning School District,high,Educational Equality | School Funding | Civil Rights | NAACP | South Carolina | Segregation | Manning | Clarendon County Case,high,Images,
42003097,L14182_CitizensCouncil_03.jpg,AI Generated,Why Does Your Community Need a Citizens' Council?,high,,,,,,,undated,medium,English,high,"Pamphlet advocating for the formation of Citizens' Councils in Southern communities, positioning them as a response to racial integration efforts and organizations such as the NAACP. The text argues against racial integration, promotes white racial solidarity, and frames Citizens' Councils as defenders of segregation and traditional Southern values. The pamphlet appeals to local white communities to organize in opposition to civil rights initiatives and federal integration laws.",low,White Citizens councils | Segregation | White supremacy movements | Southern States | Civil rights | Race relations,,Pamphlet,high,style: Prose | culture: American | period: Mid-20th Century | location: Southern United States,,medium: Printed text | technique: Printed | material: Paper | measurements: 2 pages,,,,Printed text,low,Printed,medium,Paper,high,2 pages,low,Prose,high,American,high,Mid-20th Century,high,Southern United States,high,NAACP | George Washington | Thomas Jefferson | Abraham Lincoln | Mississippi,medium,Citizens' Council | segregation | Southern United States | NAACP | racial integration | white supremacy | civil rights opposition,high,Images,
42003093,L14182_12_11_1957.jpg,AI Generated; Reviewed,Letter from L. B. McCord to W. O. McElveen regarding Citizens Council meeting,high,L. B. McCord,high,,,,,1957-12-11,high,English,high,"Letter from L. B. McCord, Superintendent of Education for Clarendon County, to W. O. McElveen of Olanta, South Carolina, acknowledging receipt of an announcement for a Citizens Council meeting scheduled for December 16, 1957, at 7:30 p.m. in the Olanta High School cafeteria. McCord confirms his expected attendance at the meeting.",high,"Correspondence | Citizens' advisory committees | White Citizens councils | Educational leadership | Elementary school administration | Citizen participation | Clarendon Centre Site (Oxford, England)",,Letter,high,"style: Correspondence | culture: American | period: Mid-20th century | location: Clarendon County, South Carolina",,medium: Paper | technique: Typed | material: Typewritten letter on paper | measurements: N/A,,,,Paper,high,Typed,high,Typewritten letter on paper,low,N/A,high,Correspondence,high,American,high,Mid-20th century,high,"Clarendon County, South Carolina",high,L. B. McCord | W. O. McElveen | Clarendon County | Olanta High School,medium,Citizens Council | education administration | Clarendon County | Olanta High School | meeting correspondence,high,Images,
42005785,Figg01.jpg,AI Generated,"Interim Report of South Carolina School Committee, July 28, 1954",high,South Carolina School Committee | L. Marion Gressette | Wayne W. Freeman,medium,,,,,1954-07-28,high,English,high,"A printed interim report prepared by the South Carolina School Committee, also known as the Committee of Fifteen, addressing the state's educational policies and the implications of federal court decisions affecting segregated schooling. The report outlines the committee's scope, approach, recommendations, and future activities, emphasizing the need to study and correlate data regarding public education and legislative responses. Supplementary correspondence from 1956 includes letters from the Charleston County Department of Education and Emory University discussing school surveys and community educational issues in South Carolina.",low,Public schools | School integration | Educational law and legislation | Educational surveys | Community education | School reports,,Report,high,"style: administrative | culture: American | period: 20th century | location: Columbia, South Carolina",,medium: paper | technique: printed | material: government-issued paper | measurements: 60 pages,,South Carolina School Committee,high,paper,high,printed,high,government-issued paper,medium,60 pages,high,administrative,medium,American,high,20th century,high,"Columbia, South Carolina",high,South Carolina School Committee | L. Marion Gressette | Wayne W. Freeman | Charleston County Department of Education | G. Creighton Frampton | John A. Griffin | Emory University,high,public education | school segregation | South Carolina | educational policy | federal court decisions | school committee | school surveys | community education,high,Images,
42005788,S548002_02_09_1955-1.jpg,AI Generated,Senate Bill S. 1016 and Correspondence on Appellate Jurisdiction in Public School Cases,medium,Strom Thurmond,high,,,,,1955-02-09,high,English,high,"A set of documents including a letter from Senator Strom Thurmond to South Carolina Governor George Bell Timmerman, Jr., the full text of Senate Bill S. 1016, and a statement by Senator Thurmond. The bill seeks to limit the appellate jurisdiction of the United States Supreme Court and courts of appeals in cases related to the establishment, maintenance, or operation of public schools, except where substantial inequality of physical facilities or other tangible factors is claimed. The correspondence discusses the legislative intent and the support of South Carolina officials for the bill, referencing the aftermath of the Supreme Court's 1954 decision on school desegregation.",medium,"Public schools | Appellate courts | Segregation in education | Educational law and legislation | Jurisdiction | Supreme Court Building (Washington, D.C.)",,Legislation,medium,"style: legal | culture: American | period: 20th century | location: Washington, D.C.",,medium: paper | technique: typed | material: government-issued paper | measurements: 5 pages,,United States Senate,high,paper,high,typed,high,government-issued paper,high,5 pages,high,legal,high,American,high,20th century,high,"Washington, D.C.",high,"Strom Thurmond | George Bell Timmerman, Jr. | United States Senate | South Carolina General Assembly",high,appellate jurisdiction | public schools | Supreme Court | school segregation | federal courts | South Carolina | education law,high,Images,
42003081,L14182_03_01_1958.jpg,AI Generated; Reviewed,Letter from M. A. Woodson to Citizens' Councils of South Carolina Regarding Organization of Ministers Against Racial Integration,medium,M. A. Woodson | The Association of Citizens' Councils of South Carolina,high,,,,,1958-03-01,high,English,high,"Letter from M. A. Woodson, Pastor of Bethel Baptist Church and recently appointed Chairman for The Association of Citizens' Councils of South Carolina, requesting cooperation in compiling names and addresses of ministers in South Carolina who support racial segregation. The letter outlines plans to organize ministers within the framework of the Citizens' Councils, hold separate meetings, and notify ministers of future events. The letter seeks to rally support among ministers for the organization's segregationist agenda.",medium,Segregation | White Citizens councils | Correspondence | Ministerials | Citizens' associations | Race relations,,Letter,high,"style: Prose | culture: American | period: Mid-20th century | location: Olanta, South Carolina",,medium: Paper | technique: Typed | material: Letterhead stationery | measurements: 8.5 x 11 inches,,The Association of Citizens' Councils of South Carolina,high,Paper,high,Typed,high,Letterhead stationery,low,8.5 x 11 inches,medium,Prose,low,American,high,Mid-20th century,high,"Olanta, South Carolina",low,M. A. Woodson | Bethel Baptist Church | The Association of Citizens' Councils of South Carolina | South Carolina,high,Segregation | Citizens' Councils | Ministers | South Carolina | Racial integration | Organizational correspondence | Bethel Baptist Church,high,Images,
42003096,L14182_11_25_1947.jpg,AI Generated; Reviewed,Letter from Harold R. Boulware to L. B. McCord regarding Levi Pearson's petition on school bus transportation,high,Harold R. Boulware,high,,,,,1947-11-25,high,English,high,"A letter from Harold R. Boulware, attorney-at-law, addressed to L. B. McCord, Superintendent of Education for Clarendon County, South Carolina. The letter informs McCord that Levi Pearson has retained Boulware to represent his interest concerning a petition filed in July 1947 regarding school bus transportation for Pearson's children. Boulware requests a hearing of the petition at the next regular meeting and asks to be advised when it will be possible to meet with the board. The letter is carbon copied to Jesse T. Anderson, Secretary of the State Board of Education, and E. C. Stukes, Chairman of the Board of Trustees for District #26, Clarendon County.",high,School buses | Segregation in transportation | Segregation | Petitions | Legal correspondence | Correspondence,,Letter,high,"style: Correspondence | culture: American | period: Mid 20th century | location: Columbia, South Carolina",,medium: Paper | technique: Typed | material: Ink on paper | measurements: 1 page,,,,Paper,high,Typed,high,Ink on paper,low,1 page,low,Correspondence,high,American,high,Mid 20th century,medium,"Columbia, South Carolina",high,Harold R. Boulware | L. B. McCord | Levi Pearson | Jesse T. Anderson | E. C. Stukes | Clarendon County | State Board of Education | Board of Trustees District #26,high,School Bus Transportation | Petition | Levi Pearson | Clarendon County | Education | Segregation | Legal Correspondence,high,Images,
42003053,L14182_11_24_1951b.jpg,AI Generated,Letter from the Negro Patrons' Committee of Clarendon County School District Number Two to Educational Authorities on School Funding and Transportation,low,"Negro Patrons' Committee, School District Number Two, Clarendon County, South Carolina",high,,,,,1951-11-08,high,English,high,"A formal letter from the Negro Patrons' Committee of School District Number Two, Clarendon County, South Carolina, addressed to the Trustee Board of Schools, Clarendon County Board of School Trustees, Clarendon County Delegation, and State Officials of Education. The letter appeals for equitable distribution of educational resources for Black children, citing lack of representation and inadequate school facilities and transportation. It requests an increase in the number of school buses and highlights the need for alternative transportation to ensure uninterrupted access to education.",medium,African American students | Segregation in education | Bus travel | School districts | Civil rights | Right to education,,Letter,high,"style: Formal correspondence | culture: African American | period: Mid-20th century | location: Manning, South Carolina",,medium: Paper | technique: Typed | material: Typewritten letter | measurements: 1 page,,,,Paper,high,Typed,high,Typewritten letter,low,1 page,low,Formal correspondence,low,African American,high,Mid-20th century,medium,"Manning, South Carolina",high,Negro Patrons' Committee | School District Number Two | Clarendon County | State Officials of Education,medium,School segregation | Educational equality | Bus transportation | Clarendon County | African American education | School funding | Civil rights,high,Images,
42003094,L14182_ExecComm1958.jpg,AI Generated; Reviewed,The Citizens Council Putting on Membership Drive,high,L. B. McCord | Clarendon Citizens Council,medium,,,,,1957-11-29,high,English,high,"Announcement by the Executive Committee of the Clarendon Citizens Council regarding the initiation of a membership campaign beginning November 29 and continuing through December 10, 1957. The document outlines the planned meeting to receive membership committee reports, lists committee members responsible for different regions, and encourages community members to join the council. The membership fee and term are specified, and the chairman assures the constructive goals of the organization.",low,Membership campaigns | Community organization | Membership | Local government | Community leadership,,Organizational announcement,low,"style: prose | culture: American | period: 20th century | location: Clarendon County, South Carolina",,medium: paper | technique: typed | material: typewritten paper | measurements: 1 page,,Clarendon Citizens Council,high,paper,high,typed,high,typewritten paper,low,1 page,high,prose,medium,American,high,20th century,medium,"Clarendon County, South Carolina",high,L. B. McCord | Clarendon Citizens Council | Ernest K. Mathis | George R. Jones | Ben J. Staton | J. C. Phillips | P. C. Johnson | Charlton McLeod,high,membership campaign | community organization | Clarendon Citizens Council | local governance,medium,Images,
42005790,Hollings-01.jpg,AI Generated,"Interviews Regarding School Petition Signatures in Summerton, South Carolina",medium,J. Leon Gasque,high,,,,,1959,high,English,high,"A series of typed interview transcripts conducted by investigator J. Leon Gasque with African American residents of Summerton, South Carolina, concerning their signatures on a petition related to local school conditions. The interviews explore the circumstances under which individuals signed the petition, their understanding of its purpose, attitudes toward school integration, and interactions with community members and officials. The document reflects community perspectives on education, segregation, and activism in the context of the Civil Rights era.",medium,Interviews | Petitions | School integration | Segregation in education | Civil rights | African American students | Racial justice in education,,Interview transcript,high,"style: prose | culture: American | period: mid-20th century | location: Summerton, South Carolina",,medium: paper | technique: typed | material: typewritten document | measurements: 33 pages,,,,paper,low,typed,high,typewritten document,low,33 pages,high,prose,low,American,high,mid-20th century,high,"Summerton, South Carolina",high,J. Leon Gasque | Ladson Stukes | Lee Richardson | Blease C. Gibson | Frances Gibson | Billy Flemming | Lawyer Jenkins | Reverend Richburg | Reverend Seals | Summerton | Manning | Chicago | New York | South Carolina,high,school desegregation | petitions | African American education | civil rights | Summerton | South Carolina | community interviews | segregation | integration,high,Images,
