"Description"
"An application to be a Newsboy for the Afro-American submitted by Mrs. C. B. Berry."
"A blank Lighthouse and Informer receipt."
"A solicitor's record, home office order, and subscriber's report made by the Lighthouse."
"The back of a remittance envelope for the Lighthouse."
"The front of a Lighthouse remittance envelope."
"An ad about the Chicken Special for the Pig Trail Inn."
"A letter from Harold R. Washington about the Lighthouse and Harold's Tailoring."
"A prospectus of the Lighthouse with permanent publication schedules, operational procedures, and planned promotions."
"Temporary and Permanent Operating Costs including office printing supplies, rent, phone, heat, travel commissions, printing, manager, bookkeeper, advertising manager, editorial department, circulation department, weekly printing, and license."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman with three names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Alexander with two names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Brown with fourt names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Brown with four names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Kennedy with six names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Woods with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Williams with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Miller with four names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Lybraud with two names."
"The Lighthouse Data Ad Sales People including the first edition report, rates, measurements, deadlines, market, and staff and personnel."
"A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."
"A business card for John H. McCray, editor and publisher, of the Lighthouse."
"A letter from Lighthouse Editorials about surrending ro race mongering."
"A data sheet for ad sales people about the Lighthouse with a first edition report, rates, measurements, deadlines, market, staff, and personnel."
"A statement form for the service, edition, and charges for the Lighthouse."
"A business card for the Lighthouse."
"A blank letter form from the Lighthouse Executive Office."
"An envelope from the Lighthouse."
"A blank newspaper order form from the Lighthouse."
"A document listing the different papers, trains, and zones in South Carolina."
"A card detailing the rates for the Lighthouse including advertising space, deadlines, mechanics, and subscriptions."
""
"A letter from Franklin H. Whittaker to Mr. John McCray, Sr. about McCray's circulation work and his pay."
"The Pittsburg Courier Distributor's weekly report sheet on January 1, 1961."
"A letter from John H. McCray to Franklin H. Whittaker on January 14, 1961."
"A letter from Hannah Fletcher to Mr. John H. McCray, Sr on January 18, 1961."
"A letter from John H. McCray to Mr. Franklin H. Whittaker on January 27, 1961."
"A statement of paper account of Mr. John McCray."
"The Pittsburg Courier Distributor's weekly report sheet on February 4, 1961."
"The Pittsburg Courier Distributor's weekly report sheet on February 11, 1961."
"The Pittsburg Courier Distributor's weekly report sheet on February 18, 1961."
"A certificate in recognition of distinguished service to America's Armed Forces to the Pittsburg Courier on February 12, 1961."
"A letter from Hannah Fletcher to Mr. John H. McCray, Sr on February 20, 1961."
"A letter from Esther M. Moore to Mrs. Lena Williams on February 21, 1961."
"The account ledger of Mrs. Lena Williams from Batesburg, S. C."
"A letter from P. L. Prattis to John H. McCray on February 23, 1961."
"The  Pittsburg Courier Distributor's weekly report sheet on February 25, 1961."
"A letter from Margaret Gordon to the editor of the Lighthouse and Informer on March, 5, 1961."
"A letter from John H. McCray to Mr. J. B. Blayton on March 6, 1961."
"A letter from Arthur I. Morris to Mr. John H. McCray on March 9, 1961."
"The account ledger of Mr. W. J. Nelson, Jr., from Sumter, South Carolina."
"The Pittsburg Courier Distributor's weekly report sheet on March 11, 1961."
"A letter from Mr. W. J. Nelson Jr. to Miss Esther M. Moore"
"A letter sent on March 16, 1961."
"A letter sent from Arthur I. Morris to Mr. John H. McCray on March, 16, 1961."
"The Pittsburg Courier Distributor's weekly report sheet on March 18, 1961."
"A letter from Arthur I. Morris to Mr. John H. McCray on March 24, 1961."
"The account ledger of John H. McCray from Columbia, S. C."
"A letter from John H. McCray to A. I. Morris on March 25, 1961."
"The Pittsburg Courier's publisher's statement."
"A Western Union Telegraph from John H. McCray."
"The  Pittsburg Courier Distributor's weekly report sheet on April 1, 1961."
"A document detailing an interview done by John H. McCray on April 5, 1961 to April 8, 1961."
"The  Pittsburg Courier Distributor's weekly report sheet on April 15, 1961."
"A letter sent on April 29, 1961."
"A letter sent from A. J. Whittenburg to E. z. Bavaise on April 28, 1961."
"A letter sent from Esther M. Moore to Mr. John H. McCray on May 2, 1961."
"The account ledger of Bura Walker."
"A letter from Esther M. Moore to Mr. Lorenzo Hill on May 19, 1961."
"A letter from Norbert A. Theodore to the Honorable Harold R. Boulware sent on May, 26, 1961."
"A letter from Norbert A. Theodore to the Honorable Henry H. McCray sent on May, 26, 1961."
"A letter sent to John H. McCray sent on May 28, 1961."
"The resume of Eugune A. R. Montgomery."
"A check for $10.00 to Earl H. Kinard from the Lighthouse Publishers signed by John H. McCray on January 3, 1963."
"A check for $5.60 to Mr. R. S. Dunn from the Lighthouse Publishers signed by John H. McCray on January 7, 1964."
"A check for $15.00 to Paul W. Griffin from the Lighthouse Publishers signed by John H. McCray on January 8, 1964."
"A check for $5.60 to Mr. Oscar C. Robinson from the Lighthouse Publishers signed by John H. McCray on January 7, 1964."
"A check for $2.80 to Mr. Solomon Seabrook from the Lighthouse Publishers signed by John H. McCray on January 7, 1964."
"A letter from Charles Butts to Mr. John McCray sent on January 4, 1964 about expanding into other areas of mass media in the cut-off South."
"A letter from John H. Wrighten to Mr. John H. McCray, Editor of the Lighthouse sent on January 9, 1964 about the progress of the Lighthouse."
"A check for $15.00 to Earl L. Kinard from the Lighthouse Publishers signed by John H. McCray on January 14, 1964."
"A check for $10.00 to Paul W. Griffin from the Lighthouse Publishers signed by John H. McCray on January 16, 1964."
"Don't Blame It on the Youths, Who Speaks for Whom?, and Faith for Young People, an editorial written by John H. McCray on January 18, 1964."
"A check for $10.00 to Paul W. Griffin from the Lighthouse Publishers signed by John H. McCray on January 20, 1964."
"A check for $10.00 to Cash from the Lighthouse Publishers signed by John H. McCray on January 25, 1964."
"A check for $10.00 to Earl H. Kinard from the Lighthouse Publishers signed by John H. McCray on January 28, 1964."
"A document about the American Teachers Association launching a program for improvement of teacher-competency on January 30, 1964."
"The statement of your account with State Bank and Trust Company for the Lighthouse Publishers."
"A letter to Mr. John H. McCray sent on February 17, 1964 about sending a favorable reply."
"A letter from Lincoln C. Hilburn to Mr. McCray sent on March 2, 1964 about an magazine article using the same information from an article McCray wrote in the Courier."
"A letter from Dorothy Sterling to Mr. McCray sent on May 12, 1964."
"A check for $4.50 to the Postmaster, Columbia, South Carolina, from the Lighthouse Publishers signed by John H. McCray on December 31, 1963."
"A check for $15.00 to Paul W. Griffin from the Lighthouse Publishers signed by John H. McCray on December 31, 1963."
"A check for $57.50 to the Murtiashaw Realty Co. from the Lighthouse Publishers signed by John H. McCray on December 31, 1963."
"The Statement of Paper Account of Mr. John H. McCray."
"A letter from P. L. Prattis to Mr. John H. McCray sent on June 16,1961."
"A Letter from John H. McCray to Mr. Arthur I. Morris."
"A letter from William G. Hunn, Sr. to John McCray on June 3, 1961."
"A letter from John H. McCray to K. W. Baxter Agency on August 7, 1961."
"A letter from William Shields Jr. to Mr. John McCray on August 12, 1961."
"A letter from Harold Keith to all branch office editors on August 14, 1961."
"A copy of the Pittsburg Courier, Vol. 32, No. 36, Sept. 9, 1961."
"A letter from Mrs. A. T. Mims to Mr. McCray sent on September 8, 1961."
"A letter from William G. Hunn, Sr. to his branch heads sent on October 10, 1961."
"A letter from John H. McCray to Mr. Lorenzo Hill and Mr. Johnny Johnson on October, 13, 1961."
"A letter from Harold L. Keith to all branch offices sent on October 31, 1961."
"A letter from John W. Johnson to Mr. John McCray sent on November 3, 1961."
"A letter from John W. Johnson to Mr. Wilson Miles, November 3, 1961."
"A letter from John W. Johnson to Mr. John H. McCray sent on November 9, 1961."
"The Pittsburg Courier Distributor's Weekly Report Sheet for November 11, 1961."
"A letter from John W. Johnson to Mr. John H. McCray sent on November 15, 1961."
"A letter from John W. Johnson to all solictors and advertising supervisory personnel on November 16, 1961."
"The Pittsburg Courier Distributor's Weekly Report Sheet for November 18, 1961."
"A letter from George A. Singleton to Mr. John H. McCray sent on November 25, 1961."
"The Pittsburg Courier Distributor's Weekly Report Sheet for November 25, 1961."
"The Pittsburg Courier Distributor's Weekly Report Sheet."
"Business Card of the Editor-Director of the Pittsburg Courier Carolina Edition, John H. McCray."
"A check to the Pittsburgh Courier made on November 25, 1961."
"A letter from William G. Nunn, Sr. to John H. McCray sent on November 27, 1961."
"A letter from John W. Johnson to all advertising personnel sent on November 28, 1961."
"A letter from John W. Johnson to Branch Offices and Consolidated Publishers on November 28, 1961"
"The Pittsburg Courier Distributor's Weekly Report Sheet for November 1961."
"A letter from Mrs. E. S. Abel to Mr. John H. McCray sent on December 1, 1961."
"A letter from John W. Johnson to All Advertising Personnel of Branch Office and National sent on December 1, 1961."
"A document detailing the rates of the Pittsburgh Courrier that are effective December 1, 1961."
"A document containing math and other information related to the Pittsburgh Courier."
"The Pittsburgh Courier Distributor's Weekly Report on December 2, 1961."
