Title,Creator,Contributors,Extent,Date,Source,Subject,Description,Digital Collection,Website,Contributing Institution,Rights,Time Period,Geographic Location,Language,Digitization Specifications,Date Digital,Type,Format,Media Type,Identifier,Note,Digital Assistant,Transcript,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"Letter, 1954 January 17, W.L. Foxworth Sr. to Adams requesting donations to the Ebenezer AME Church County Rally",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea24-01,,,"l^U Seaboard Ave.
Mullins, S. C.
January 17, 19^
Rev. E. A. Adams
Lady Street Columbia, S. C.
Dear Rev. Adams:
Je are having a County Rally at Ebenezer A. M. E. Church-Mullins, S. C. for the church debt. I am a captain. Please send me a contribution toward this effort. Will be very grateful to you for any contribution. Hope you and yours are enjoying the very best of health.",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/0,0,1.jp2,/adamsea/image/1.jp2
"Postcard, 1954 January 20, President M. Citron to members of the Board of Trustees of Good Samaritan Waverly Hospital announcing a special meeting",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Postcards;Correspondence,adamsea24-02,,,"#25?
O JW /
A special meeting of the Board of Trustees of Good Samaritan - Waverly Hospital will be held Friday afternoon January 22, l^, at 4:00 oclock.
M. Citron, President.
C. A. Johnson, Secretaiy,",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/1,1,2.jp2,/adamsea/image/2.jp2
"Flyer, no date, announcing the hiring of a geriatric nurse at Pine Whispers Rest Home for Convalescents and Elderly People",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Fliers;Announcements,adamsea24-03,,,"PINE WHISPERS
Rest Home For ConvaIescents And Elderly People
IS PROUD TO ANNOUNCE
The Addition To Their Staff Of A Special Nurse ror Older People, rormerly Of The Baptist Hospital in Columbia, S C
PINE WHISPERS REST HOME
Has Been Heartily Endorsed By The Physicians of Myrtle Beach
Operated By
Mrs Florrie 0 Sandstrom Mrs Ollie S Winingder Mrs. Grace BoI and,""Nurse
24 HOUR NURSES SERVICE Visiting Hours From
2 to 9'P. M. Daily
Located on Calhoun Road
MYRTLE BEACH, SOUTH CAROLINA Phone 4349 P. 0, Box 1649",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/2,2,3.jp2,/adamsea/image/3.jp2
"Letter, 1954 January 28, Rev. H.R. Hughes to Adams thanking him for participating in Hughes' father's funeral",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea24-04,,,"8-357
^^ ^^ ^syj
OFFICE:
Phone SA. 2-3969
HOURS: IO A.M. TO 4 P.M.
RESIDENCE: 400 CONVENT AVE., N. Y. C. PHONE: AD. 4-8158
Emmanuel A. ■. f. fturrh
STEWARDS
MR. ALONZO Robinson
Mr. Frank T. Davis
Mrs. Olivia Harris
MR. WILLIAM MOORE
Mr. Emerson Camper
37-41 WEST 119th STREET NEW YORK 26, N. Y.
REV. H. R. HUGHES, Minister
January 28,19^
MR. Clarence Averhart
Mr. William Alexander
Mrs. Katie Armstead
Rev. GEORGE N. Robinson
Mr. Alfred Floyd
mr. Frank Kelley
MRS. HANNIE James
MRS. MARY MURROUGH
MR. GIDEON WEBB
MR. H. A. HATHAWAY
Mrs. c. J. Kelley Dr. E. A. Adams
2113 Lady Street
Columbia, South Carolina
TRUSTEES rev. Paul J. MORRISON MR. FRANK T. Davis mr. Alonzo Robinson Mr. Davis M. Jaudon mr. William Alexander MR. JOSEPH L. Ladson Miss Edith Barnett Mrs. Fannie Cooper Mr. John Brown Mr. Herbert George mr. Leon Gibson Mr. Marion W. bovian Mr. Frank Kelley MRS. MARY Kitt Mr. Joseph Taylor MR. MABEL Stewart Mr. Martin Womack
Dear Dr. Adams:
I am simply writing to express thanks and deep appreciation to you for myself, my mother and the entire family for your presence and the very fine part that you played at my father’s funeral. My father thought so much of you and took pleasure in speaking of how much he enjoyed your presence and services. You have not disappointed us.
Mrs. Hughes joins me is sending the very best to
you, Mrs. Adams and family.
Respectfully yours,
Rev. H. R. Hughes
HRH: eg",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/3,3,4.jp2,/adamsea/image/4.jp2
"Letter, 1954 February 10, Rembert Stokes of Payne Theological Seminary to Adams confirming the naming of a memorial pew",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea24-05,,,"3357
//0 F£B zfsyj
REMBERT STOKES, Dean
EXECUTIVE AND BUILDING COMMITTEE
BISHOP G. W. BABER, President Board of Directors
BISHOP JOHN H. CLAYBORN, Vice President
JJagiu' ^rolojiral ^minarg
Wilberforce University
WILBERFORCE, OHIO
Send Your Sons — Give Prophets for Tomorrow
February 10, 195b
BISHOPS
G. W. Baber
D. Ward Nichols
A. J. Alien
J. H. Clayborn
D. O. Walker
MINISTERS
J. A. Charleston
J. P. Q. Wallace
J. W. Collier
R. N. Nelson
H. M. Green
Dear Dr. Adams:
Because of magnanimi you and others last June, Memorial Pews and Memoria
sed in pledges and gifts by gratefully report that the
^hrnishings for the Payne Chapel, ^2,700.00 1/3 down payment, will
We would there-
ordered last Oct. 12 with a be ready for installation in a matter of weeks
fore appreciate your remittance in full by March 1
If the name of the person to be memorialized does not appear of appears incorrectly, please send complete information to us for ordering the name plates.
you sincerely
Amt.
/r^^>f<c Memorialise'
Rs /vlr",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/4,4,5.jp2,/adamsea/image/5.jp2
"Letter, 1954 March 8, E.F. Johnson to Adams requesting advice on addressing late paychecks, page 1",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea24-06,,,,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/5,5,6.jp2,/adamsea/image/6.jp2
"Letter, 1954 March 8, E.F. Johnson to Adams requesting advice on addressing late paychecks, page 2",,,,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,,adamsea24-07,,,,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/6,6,7.jp2,/adamsea/image/7.jp2
"Letter, 1954 March 8, John H. Adams to father [Adams], thanking him for a check and updating him on the quarter's progress",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea24-08,,,,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/7,7,8.jp2,/adamsea/image/8.jp2
"Receipt, 1954 March 6, Payne Seminary to Adams for a $2500 loan; enclosed with letter of March 8",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Receipts;Financial records,adamsea24-09,,,,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/8,8,9.jp2,/adamsea/image/9.jp2
"Voucher, 1954 March 4, Victory Savings Bank to Payne Theological Seminary announcing the due date of a $2500 loan repayment",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Vouchers;Financial records,adamsea24-10,,,,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/9,9,10.jp2,/adamsea/image/10.jp2
