Reference URL,Year,text
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/0,,"[Title]: ""Letter, 1954 January 17, W.L. Foxworth Sr. to Adams requesting donations to the Ebenezer AME Church County Rally""
[Transcript]: ""l^U Seaboard Ave.
Mullins, S. C.
January 17, 19^
Rev. E. A. Adams
Lady Street Columbia, S. C.
Dear Rev. Adams:
Je are having a County Rally at Ebenezer A. M. E. Church-Mullins, S. C. for the church debt. I am a captain. Please send me a contribution toward this effort. Will be very grateful to you for any contribution. Hope you and yours are enjoying the very best of health."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/1,,"[Title]: ""Postcard, 1954 January 20, President M. Citron to members of the Board of Trustees of Good Samaritan Waverly Hospital announcing a special meeting""
[Transcript]: ""#25?
O JW /
A special meeting of the Board of Trustees of Good Samaritan - Waverly Hospital will be held Friday afternoon January 22, l^, at 4:00 oclock.
M. Citron, President.
C. A. Johnson, Secretaiy,"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/2,,"[Title]: ""Flyer, no date, announcing the hiring of a geriatric nurse at Pine Whispers Rest Home for Convalescents and Elderly People""
[Transcript]: ""PINE WHISPERS
Rest Home For ConvaIescents And Elderly People
IS PROUD TO ANNOUNCE
The Addition To Their Staff Of A Special Nurse ror Older People, rormerly Of The Baptist Hospital in Columbia, S C
PINE WHISPERS REST HOME
Has Been Heartily Endorsed By The Physicians of Myrtle Beach
Operated By
Mrs Florrie 0 Sandstrom Mrs Ollie S Winingder Mrs. Grace BoI and,""Nurse
24 HOUR NURSES SERVICE Visiting Hours From
2 to 9'P. M. Daily
Located on Calhoun Road
MYRTLE BEACH, SOUTH CAROLINA Phone 4349 P. 0, Box 1649"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/3,,"[Title]: ""Letter, 1954 January 28, Rev. H.R. Hughes to Adams thanking him for participating in Hughes' father's funeral""
[Transcript]: ""8-357
^^ ^^ ^syj
OFFICE:
Phone SA. 2-3969
HOURS: IO A.M. TO 4 P.M.
RESIDENCE: 400 CONVENT AVE., N. Y. C. PHONE: AD. 4-8158
Emmanuel A. ■. f. fturrh
STEWARDS
MR. ALONZO Robinson
Mr. Frank T. Davis
Mrs. Olivia Harris
MR. WILLIAM MOORE
Mr. Emerson Camper
37-41 WEST 119th STREET NEW YORK 26, N. Y.
REV. H. R. HUGHES, Minister
January 28,19^
MR. Clarence Averhart
Mr. William Alexander
Mrs. Katie Armstead
Rev. GEORGE N. Robinson
Mr. Alfred Floyd
mr. Frank Kelley
MRS. HANNIE James
MRS. MARY MURROUGH
MR. GIDEON WEBB
MR. H. A. HATHAWAY
Mrs. c. J. Kelley Dr. E. A. Adams
2113 Lady Street
Columbia, South Carolina
TRUSTEES rev. Paul J. MORRISON MR. FRANK T. Davis mr. Alonzo Robinson Mr. Davis M. Jaudon mr. William Alexander MR. JOSEPH L. Ladson Miss Edith Barnett Mrs. Fannie Cooper Mr. John Brown Mr. Herbert George mr. Leon Gibson Mr. Marion W. bovian Mr. Frank Kelley MRS. MARY Kitt Mr. Joseph Taylor MR. MABEL Stewart Mr. Martin Womack
Dear Dr. Adams:
I am simply writing to express thanks and deep appreciation to you for myself, my mother and the entire family for your presence and the very fine part that you played at my father’s funeral. My father thought so much of you and took pleasure in speaking of how much he enjoyed your presence and services. You have not disappointed us.
Mrs. Hughes joins me is sending the very best to
you, Mrs. Adams and family.
Respectfully yours,
Rev. H. R. Hughes
HRH: eg"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/4,,"[Title]: ""Letter, 1954 February 10, Rembert Stokes of Payne Theological Seminary to Adams confirming the naming of a memorial pew""
[Transcript]: ""3357
//0 F£B zfsyj
REMBERT STOKES, Dean
EXECUTIVE AND BUILDING COMMITTEE
BISHOP G. W. BABER, President Board of Directors
BISHOP JOHN H. CLAYBORN, Vice President
JJagiu' ^rolojiral ^minarg
Wilberforce University
WILBERFORCE, OHIO
Send Your Sons — Give Prophets for Tomorrow
February 10, 195b
BISHOPS
G. W. Baber
D. Ward Nichols
A. J. Alien
J. H. Clayborn
D. O. Walker
MINISTERS
J. A. Charleston
J. P. Q. Wallace
J. W. Collier
R. N. Nelson
H. M. Green
Dear Dr. Adams:
Because of magnanimi you and others last June, Memorial Pews and Memoria
sed in pledges and gifts by gratefully report that the
^hrnishings for the Payne Chapel, ^2,700.00 1/3 down payment, will
We would there-
ordered last Oct. 12 with a be ready for installation in a matter of weeks
fore appreciate your remittance in full by March 1
If the name of the person to be memorialized does not appear of appears incorrectly, please send complete information to us for ordering the name plates.
you sincerely
Amt.
/r^^>f<c Memorialise'
Rs /vlr"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/13,,"[Title]: ""Booklet, no date, Youth Congress Songs of the Episcopal District, front cover""
[Transcript]: ""83^f
r/r^s ?
CONGRESS
50IWA
souTH CimoLDa^"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/14,,"[Title]: ""Booklet, no date, Youth Congress Songs of the Episcopal District, page 2-3""
[Transcript]: ""_^_j. M TO KEEP !
A.charge to keep I have, 1 God to glorify?
A never dying soul to save. And fit it for thy sky.
To serve the present age, Iy calling to fulfill; 0 may it all my powers ' engage. To do my Master’s will.
Arm me with jealous care, A& in^Thy sight to live’' And 0, thy servant,Lord, prepare, A strict account to give.
Help me to natch and'pray. And on Thyself rely ;
Assur’d, if I my trust betray, I shall forever die.
.365,
^-^F0R A HEART TO BRAISE Iff GOP.
fora health to praise my God, heart from sin set free? heart the alwys feels thy ood. So freely spilt for me.
eart resigned, submissive, P^ ly great Redeemer’s throne; re.'only Christ is heard to ak. Where Jesus reigns alone.
0'for a lowly, contrite heart, Believing,true and clean? Which neither life nor daeth can pa; From him that dwells within.
A heart 'in every thought renev/rd? Arid full of love' divine? Perfect,arid right, and'pure and good A. copy. Lord, of Thine.
^M*0_F0R A THOUSAHD TONGUES TO SING,
or a. thousand tongues to sing, Iy great Redeemer’s praise, e glories of my God and King, The triumph of His grace.
■..y gracious Easter and my God,Assist me to proclaim, To spread through all the earth abroad, The honors of Thy name.
Jesus,the name that charms our fears, That bids our sorrows cease, Elis music in the sinners ears, ’Tis life, and health, and peace.
He breaks the pow’r of canceled sin,He sets the prisoner free? 1; s; blood can make the foulest clean ; His blood availed for me.
'• -ra Him^ye deaf?His praise, ye dumb, Your Loosened tongues employ; Yh blind, behold your Saviour come? And leap, ye lame for joy.
U99. JESUS IS ALL TIE TORLD TO IE.
Jesus is all the World to me, Iy life, ray joy, my all, He is ray strength, from day to day, Without Him I would fall,. When I am sad, to Him I go, No'other one can cheer me so; When I am sad He makes me glad, He’s my Friend,
Jesus is all the world to me, Iy Friend in trials sore; I go to Him for blessings, and He gives them o’er and o’er. „ He sends the sunshine and therain. He sends the harvest golden grain;Suns hine and rain, harvest of grain. Ha’s my Friend.
JeSus is all the world to roe, And true to Him I’ll be;
Oh, how could I this Friend deny, When He’s so true to me ? Following Him I know I’m right, He watches over’me day and night Following Him, by day and night, He’s my Friend.
Jesus is all the world to me, I vrant^o better friend;
I trust Him now, 1*11 trust Him Life s fleeting days shall end. Beautiful life rath'such a Friend; Beautiful' life that has no end; Eternal life, eternal joy, He’s my Friend.
182.  PASS IE NOT, 0 GENTIE SAVIOUR.
Pass me not, 0 Gentle Saviour, Hear ray humble cry;
While on others Thou art calling, Do not pass me by.
REFRAIN
Saviour, Saviour,; Hear ray'humble cry; While on others Thou art calling, Do not pass me by.
Let me at Thy throne of mercy, Find a sweet relief;' Kneeling there in deep contrition, Help ray unbelief.
Trusting only in Thy merit, Would I seek TRy face;
Heal my wounded, broken spirit, Save me by Tly grace.
Thou the spring of all ray comfort, Hore than life to me, Whom have I on earth beside Thee ? Whom in heaven but Thee ?"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/15,,"[Title]: ""Booklet, no date, Youth Congress Songs of the Episcopal District, page 4-5""
[Transcript]: ""227* JUST AS I All, THINE M TO S.
Just as I am. Thine own to' fed, Friend of the young, who lovest me, To consecrate nyself to Thee, . 0 Jesus Christ , I come»
In the glad morning of uy day, ly life to give, my vows to pay, hith no reserve and no delay, With all my heart I come<
I would, live ever in the light, I would work ever forthe right, ’ „ I would serve Thee witl all my might, Therefore, to T,ee, I come.
Just as I am, young, strong, 'and free, To be the best that I can be, lor truth, and righteousness, and Thee, Lord of my life, I come*
UPRISE UP,0 TEN OF GOD,
Rise up, 0 men of God ’, Have done with lesser things 5 Give heart and soul and mind and strength, To serve the King of kings*
Lise up, O men of God I His kingdom tarries long; Bring in the day of brotherhood, And end the night of wrong*
rise up, 0 men of God J The Church for you doth wait; Her* strength unequal to her task, Rise up, and make her great*
Alee up, O men of God I Trdad where' his feet have trod; Asl brofhtEB of the Son of Fan, Rise up, O men of God I A-IEN,
I love Thy kingdon, lord, The house'of Thine abode,	*♦ The Church our blest Redeemer saved, With Ids own precious blood,
I love Tty Church, 0 God,'Her walls before Type stand. Dear as the apple of Thine eye. And graven on Thy hand.
For ter ray tears shall fall, For ter ry -pcayox® ascend. To her my cares and toils be given, Till toils and cares shall end*
Beyound my highest joy I prize her heavenly ways, Her sweet communion, solemn vows, Her hymns of love and praise*
3^jl^..................................-
I need Thee every hour; Host gracious Lord, N^ tender voice like: Thine, Can peace afford 'REFRAIN^
I need Thee, 0'1 need T^c' ,Every h^ I need Thee, 0 bless me now, m^ Saviour, I come to Thee, A-IEN,
I need T^e every hour; Stay Th^u nea^ by. Temptations loose their power - Vhen Thou art ni^,
’^ ?®e ^^ hom5 In & or pain; Some quickly and abide, O^- Tire is vain*
1 ^eed Thee every hou£; Teach me Thy will; And Thy rich promises In me Tab'll,
582* TIE ID NOT ^ TCI STATION._________________
Yield not to temptation, For yielding is sin, Each Victory will help you Some other to win; Fight manfully onward, Dark passions subdue. Look ever to Jesus He’ll carry you through,
ILIIRAIN '
Ask the Saviour to help you, Comfort; strengthen, and keet you; He is willing to help you, -e will carry you througl
Shun evil companions, Bad language disdain, God’s, name hold in reverence, Nor take it in vain; Be thoughtful and earnest, Kind-hearted and true, Look ever* to Jesus He’ll carry you through,'
To 1dm that overcometh, God giveth a crown, Through faith we shall conquer, Though often cast dorm; He viho is our Saviour, Our strength will renew. Looklever to Jesus, He’ll carry you through."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/16,,"[Title]: ""Booklet, no date, Youth Congress Songs of the Episcopal District, page 6-7""
[Transcript]: ""179. FAITH LOOKS UP TO TIRE,
Iy faith looks up to Thee, Thou Lamb of Calvary, Saviour divine; Now hear me when I pray, Tdko 'all my sin away, 0 let me from tills day, ^e Th oily Thine.
Nay Thy'rich grace impart. Strength to me fainting heart, ly Zeal inspire; As Thou'hast died for me,""O may my love to Thee, Pure, warm, and changeless he, A living fire.
While life's dark maze I tread, And grief around me spread, Be The my Guide; Bid darkness turn to day, Wipe sorrow’s tears away Not let me ever stray From Thee aside.
When ends life’s transient dream, Phen death’s cold, sullen stream Shall o’er me roll, Blest Saviour 1 then in love,""Fear and distrust removes; Oh, bear me safe above; A ransomed soul.
Sit. HARK TIE VOICE OF JESUS CALLING.
Lhrk J the voice' of Jesus calling, Who will go and work today J Fields are white, the harvest -waiting, Who will bear the sheaves 'CHORUS
Long and loud the Tester Calleth, Rich reward Jte offers free i Who -nil! answer, gladly saying, ”■ Here am I, send me, send me, ♦
Let none hear you idly saying, There is nothing I can do; While' the souls of men are dying, And the Faster calls for you.
Take the task ^ gives you gladly. Let His work your' pleasure ’_be Answer quickly when ^ calleth,-” Here am I, send me, send me.
BL HAVE THINE CMN WAY, LORD j
192. 0 GOD OUR HELP .
0 God, our help in ages past, Before the hills in order stood. Our hope for years to come; Or earth received her frame; From Our shelter from the stormy blast, everlasting thou art God, And our eternal home.	To endless years the same.
Under the shadow of thy throne, Still may we dwell secure;
Suffieient is th ine arm' alone. And our defense is sure.
A thousand ages, in tly sight. Are like and evening gone, Short' as the watch that ends the night, Before the rising sun.
0 God our help in ages past, Our hope for years to come;
Be thou our guard while, life shall last, And our perpetual home.
297 a- DOXOLOGY L.H.
[Save Thine onnway, Lord I Have Thine own way 's Thou art the Potter, [ am the clay.
'lould me and make me, After Thy will,
Thile I am-waiting, fielded and still.
Save Thine own way, Lord 1 lave Thine oral way X' Search' me and"" try me, Taster, to-day;""'
Whiter than snow, Lord, fash me Just now,""' is in Thy presence, iurnbly I bow.
Have Thine own Way,’ Lord 1 Have Thine own way J
Wounded and weary, Help ire, I pray J Power - all power;-Surely is Thine 2 Touch me and head me, Saviour divine.
Have This® own way, Lord I Have Thine own way J Holdover my being, Absolute swgy I
Fill with Thy spirit, Till all shall see,' Christ only, ’always, Living in me.
Praise God; from whom all blessings flow;
Praise him, all ’ creatures here below;
Praise him above, ye heavenly host;
Praise Father, Son, and Holy Ghost ."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/17,,"[Title]: ""Booklet, no date, Youth Congress Songs of the Episcopal District, back cover""
[Transcript]: ""612. MEDITATION H1A1ER
Hush I Hush 1 ly soul, be calm and still.
Gone blessed Saviour enter in and forgive our sins; Heal, all our ills. Give strength for tasks. Give peace of mind And make our spirits wholly Thine — And we shall praise Thee ever more, A-ren, A-ren, A-men,
APOSTLE’S CREED
I believe in God the Fatter Almighty, Maker of heaven and earth; and in Jesus Christ, llis only Son, who was conceived by the Holy Ghost, bom of the Virgin Nary, suffered under Pontius Pilate, was crucified, dead and buried; he descended into hell; the third day He arose from the’ dead; He ascended into heaven, and sitteth on the right hand of God, the Father Almighty: from thence He shall come to judge the quick and the deal I believe in the Holy Ghost, the holy Catholic Church, the communion of saints, the forgiveness of ""sin, the resurrection of the body and life everlasting, AA EN,
190, UHf>T AJWIDJ^M^ IN jESUS^
What a Friend we have in Jesus, All our sins and griefs to bear. That a privilege to carry Everything to God in prayer 1 0 what peace we often forfeit, 0'what needless pains we'bear, All because we do not carry Everything to God in prayer,
Have we trials and temptations' ? Is there trouble any-where ?' We should never be discouraged, ""Take it to the Lord in prayer, Can we find a Friend so faithful Who will all our sorrows share Jesus knows our every weakness, Tate it to the Lord in prayer.
Are we weak and heavy-laden, Cumbered rath a load of care ? Precious Saviour, still our refuge. Take it to the Lord in pra; Do thy friends despise, forsake thee ?Take it to the Lord in pi In His arms he’ll take and shield thee, Thou wilt find a solac< there. A—IEN,"""
