Reference URL,Year,text
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/0,,"[Title]: ""Letter, 1954 January 17, W.L. Foxworth Sr. to Adams requesting donations to the Ebenezer AME Church County Rally"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/1,,"[Title]: ""Postcard, 1954 January 20, President M. Citron to members of the Board of Trustees of Good Samaritan Waverly Hospital announcing a special meeting"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/2,,"[Title]: ""Flyer, no date, announcing the hiring of a geriatric nurse at Pine Whispers Rest Home for Convalescents and Elderly People"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/3,,"[Title]: ""Letter, 1954 January 28, Rev. H.R. Hughes to Adams thanking him for participating in Hughes' father's funeral"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/4,,"[Title]: ""Letter, 1954 February 10, Rembert Stokes of Payne Theological Seminary to Adams confirming the naming of a memorial pew"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/13,,"[Title]: ""Booklet, no date, Youth Congress Songs of the Episcopal District, front cover"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/14,,"[Title]: ""Booklet, no date, Youth Congress Songs of the Episcopal District, page 2-3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/15,,"[Title]: ""Booklet, no date, Youth Congress Songs of the Episcopal District, page 4-5"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/16,,"[Title]: ""Booklet, no date, Youth Congress Songs of the Episcopal District, page 6-7"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/17,,"[Title]: ""Booklet, no date, Youth Congress Songs of the Episcopal District, back cover"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/18,,"[Title]: ""Program, 1950 August 24, Welcome Program of Bethel A.M.E. Church"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/19,,"[Title]: ""Receipt, 1950 November 13, Department of Education of A.M.E. Church to Payne Seminary for repayment of $2000 loan"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/20,,"[Title]: ""Letter, no date, Good Samaritan Waverly Hospital to Department of Education of A.M.E. Church, request for loan, page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/21,,"[Title]: ""Letter, no date, Good Samaritan Waverly Hospital to Department of Education of A.M.E. Church, request for loan, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/22,,"[Title]: ""Booklet, no date, Youth Congress Songs for the 7th Episcopal District, front cover"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/23,,"[Title]: ""Booklet, no date, Youth Congress Songs for the 7th Episcopal District, page 2-3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/24,,"[Title]: ""Booklet, no date, Youth Congress Songs for the 7th Episcopal District, page 4-5"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/25,,"[Title]: ""Booklet, no date, Youth Congress Songs for the 7th Episcopal District, page 6-7"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/26,,"[Title]: ""Booklet, no date, Youth Congress Songs for the 7th Episcopal District, page 8-9"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/27,,"[Title]: ""Booklet, no date, Youth Congress Songs for the 7th Episcopal District, back cover"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/28,,"[Title]: ""Letter, 1951 February 9, C. A. Gibbs of the Fourteenth Episcopal District of the A.M.E. Church to Adams, detailing the enclosure of a check"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/29,,"[Title]: ""Letter, 1951 February 14, Presiding Bishop in Georgia R.R. Wright Jr. to Adams, notice of leadership change on Education Board of A.M.E. Church"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/30,,"[Title]: ""Program, 1951 February 28-March 2, Founders Day Celebration of the Seventh Episcopal District of the A.M.E. Church, front cover"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/31,,"[Title]: ""Program, 1951 February 28-March 2, Founders Day Celebration of the Seventh Episcopal District of the A.M.E. Church, page 2-3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/32,,"[Title]: ""Letter, 1951 March 14, Mrs. A.B. Lynem to Mrs. Adams describing enclosure of committee assignment lists"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/33,,"[Title]: ""List, 1951 March 14, committee membership in the Thirteenth Episcopal District of A.M.E. Church Women's Missionary Society; enclosed with letter of same date"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/35,,"[Title]: ""Roster, 1951 July 7-12, list of officers and committee members, presumably of the Women's Missionary Society of the A.M.E. Church"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/36,,"[Title]: ""Roster, 1951 July 7-12, list of officers and committee members, presumably of the Women's Missionary Society of the A.M.E. Church"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/37,,"[Title]: ""Speech, 1951 July 7-12, introduction by Carrie C. Sims of the Third Episcopal District discussing signs of hope"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/38,,"[Title]: ""Speech, 1951 July 7-12, memoriam for departed missionaries"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/39,,"[Title]: ""Speech, 1951 July 7-12, memoriam for departed missionaries"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/40,,"[Title]: ""Handout, 1951 July 7-12, scriptural prayers and introduction of the Prayer Room"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/41,,"[Title]: ""Handout, 1951 July 7-12, scriptural prayers and introduction of the Prayer Room"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/42,,"[Title]: ""Handout, 1951 July 7-12, scriptural prayers and introduction of the Prayer Room"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/43,,"[Title]: ""Notes, 1951 July 7-12, draft of admission prices list"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/44,,"[Title]: ""Roster, 1951 July 7-12, list of 13th District Delegates to W.M.S. Quadrennial Convention, page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/45,,"[Title]: ""Roster, 1951 July 7-12, list of 13th District Delegates to W.M.S. Quadrennial Convention, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/46,,"[Title]: ""List, 1951 July 7-12, handwritten list of officials to attend meeting"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/47,,"[Title]: ""List, 1951 July 7-12, handwritten list of committee members, page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/48,,"[Title]: ""Speech, 1951 July 7-12, introduction by Carrie C. Sims of the Third Episcopal District discussing signs of hope, page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/49,,"[Title]: ""Speech, 1951 July 7-12, introduction by Carrie C. Sims of the Third Episcopal District discussing signs of hope, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/50,,"[Title]: ""List, 1951 July 7-12, handwritten list of committee members, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/51,,"[Title]: ""List, 1951 July 7-12, handwritten list of committee members, page 3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/52,,"[Title]: ""Roster, 1951 July 7-12, list of bishops and supervisors"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/53,,"[Title]: ""Roster, 1951 July 7-12, list of bishops and supervisors"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/54,,"[Title]: ""Roster, 1951 July 7-12, list of workshops and participants, page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/55,,"[Title]: ""Roster, 1951 July 7-12, list of workshops and participants, page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/56,,"[Title]: ""Roster, 1951 July 7-12, list of workshops and participants, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/57,,"[Title]: ""Roster, 1951 July 7-12, list of workshops and participants, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/58,,"[Title]: ""Roster, 1951 July 7-12, list of committee members and their districts, page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/59,,"[Title]: ""Roster, 1951 July 7-12, list of committee members and their districts, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/60,,"[Title]: ""Roster, 1951 July 7-12, list of committee members and their districts, page 3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/61,,"[Title]: ""Roster, 1951 July 7-12, list of committee members and their districts, page 4"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/62,,"[Title]: ""Roster, 1951 July 7-12, list of committee members and their districts, page 5"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/63,,"[Title]: ""Roster, 1951 July 7-12, list of committee members and their districts, page 6"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/64,,"[Title]: ""Roster, 1951 July 7-12, list of committee members and their districts, page 7"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/65,,"[Title]: ""Roster, 1951 July 7-12, list of committee members and their districts, page 8"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/66,,"[Title]: ""Roster, 1951 July 7-12, list of committee members and their districts, page 9"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/81,,"[Title]: ""Invitation, 1953 December 6, to C.A. Johnson High School's third annual presentation of Handel's ""Messiah"""""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/82,,"[Title]: ""Financial record, 1953 December 6, financial records of Wilberforce University"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/86,,"[Title]: ""Letter, 1953 December 31, Executive Vice President C. Mays Earle of Five Points Building & Loan Association to investors announcing credit of semi-annual dividend"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/89,,"[Title]: ""Handout, 1953 December 16, Bishop & Mrs. Gibbs to church members offering holiday greetings and blessings"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/94,,"[Title]: ""Letter, 1958 February 4, Benson Y. Landis to Statisticians of Religious Bodies in the National Council of Churches about receiving information about the total number of baptized children"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/95,,"[Title]: ""Program, 1958 February 6, Memorial Program for the late Reverend Alfred Lee Peterson held at Ebenezer Baptist Church, front cover"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/96,,"[Title]: ""Program, 1958 February 6, Memorial Program for the late Reverend Alfred Lee Peterson held at Ebenezer Baptist Church, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/97,,"[Title]: ""Program, 1958 February 6, Memorial Program for the late Reverend Alfred Lee Peterson held at Ebenezer Baptist Church, page 3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/98,,"[Title]: ""Program, 1958  February 9, Meeting Program from the First Annual Meeting of the Women's' Auxiliary of Good Samaritan-Waverly Hospital, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/99,,"[Title]: ""Program, 1958  February 9, Meeting Program from the First Annual Meeting of the Women's' Auxiliary of Good Samaritan-Waverly Hospital, front cover"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/100,,"[Title]: ""Program, 1958 February 9, Church Program from the St. James  A.M.E. Church, front cover"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/101,,"[Title]: ""Program, 1958 February 9, Church Program from the St. James  A.M.E. Church, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/102,,"[Title]: ""Program, 1958 February 9, Church Program from the St. James  A.M.E. Church, page 3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/103,,"[Title]: ""Program, 1958 February 9, Church Program from the St. James  A.M.E. Church, page 4"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/104,,"[Title]: ""Letter, 1958 February 11,  S. S. Norris to colleague about the General Officer's Council meeting in New Orleans"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/105,,"[Title]: ""Program, 1958 February 13, Allen University Annual Founders' Day Celebration, front cover"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/106,,"[Title]: ""Program, 1958 February 13, Allen University Annual Founders' Day Celebration, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/107,,"[Title]: ""Program, 1958 February 13, Allen University Annual Founders' Day Celebration, page 3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/108,,"[Title]: ""Program, 1958 February 13, Allen University Annual Founders' Day Celebration, page 4"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/109,,"[Title]: ""Program, 1958 February 13, Allen University Annual Founders' Day Celebration, page 5"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/110,,"[Title]: ""Program, 1958 February 13, Allen University Annual Founders' Day Celebration, page 6"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/111,,"[Title]: ""Program, 1958 February 13, Allen University Annual Founders' Day Celebration, page 7"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/112,,"[Title]: ""Program, 1958 February 13, Allen University Choir in Extravaganza Classique, front cover"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/113,,"[Title]: ""Program, 1958 February 13, Allen University Choir in Extravaganza Classique, page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/114,,"[Title]: ""Program, 1958 February 13, Allen University Choir in Extravaganza Classique, page 3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/115,,"[Title]: ""Program, 1958 February 13, Allen University Choir in Extravaganza Classique, page 4"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/116,,"[Title]: ""Program, 1958 February 13, Allen University Choir in Extravaganza Classique, page 5"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/117,,"[Title]: ""Program, 1958 February 13, Allen University Choir in Extravaganza Classique, page 6"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/118,,"[Title]: ""Letter, 1958 February 13, John D. Bowman of the greater Columbia A. U. Club  to Alumnus about collecting Founders' Day contributions."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/119,,"[Title]: ""Letter, 1958 February 14, Bishop I. H. Bonner to the members of the General Trustee Board of Allen University  reminding about an upcoming meeting of the General Trustee Board"""
