SSID,Filename,Tags,Title,Title Confidence,Creator,Creator Confidence,Volume,Volume Confidence,Issue,Issue Confidence,Date,Date Confidence,Language,Language Confidence,Description,Description Confidence,Subject,Subject Confidence,Type,Type Confidence,Coverage,Coverage Confidence,Format,Format Confidence,Publisher,Publisher Confidence,Medium,Medium Confidence,Technique,Technique Confidence,Material,Material Confidence,Measurements,Measurements Confidence,Style,Style Confidence,Culture,Culture Confidence,Period,Period Confidence,Location,Location Confidence,Named Entities,Named Entities Confidence,Keywords,Keywords Confidence,Resource Type,Resource Type Confidence
42035475,isleevy-009.jpg,AI Generated,Marriage Invitation for Mary E. Kirkland and Isaac S. Leevy Jr.,high,Mr. and Mrs. Levi Kirkland,high,,,,,1909-06-23,high,English,high,"Invitation to the marriage of Mary E. Kirkland and Isaac S. Leevy Jr., hosted by Mr. and Mrs. Levi Kirkland, held at A. M. E. Zion Church in Westville, South Carolina, on June 23, 1909, at 10:30 a.m., with a reception at Y. M. C. A. Hall in Columbia.",high,"Marriage | Weddings | Wedding cards | 20th century | South Carolina State House (Columbia, S.C.)",,Invitation,high,"style: formal | culture: American | period: 20th century | location: Westville, South Carolina",,medium: paper | technique: printed | material: paper | measurements: N/A,,,,paper,high,printed,high,paper,low,N/A,medium,formal,high,American,high,20th century,low,"Westville, South Carolina",high,Mary E. Kirkland | Isaac S. Leevy Jr. | Mr. and Mrs. Levi Kirkland | A. M. E. Zion Church | Y. M. C. A. Hall | Westville | Columbia,high,marriage | wedding | invitation | South Carolina | early 20th century,high,Images,
42035482,isleevy-020.jpg,AI Generated,Memorial Obsequies Program for Isaac Samuel Leevy,high,Unknown,medium,,,,,1968-12-12,high,English,high,"Memorial program for Isaac Samuel Leevy, including a black-and-white portrait photograph, the poem 'Crossing the Bar' by Alfred Tennyson, a detailed order of service held at Allen University Auditorium on December 12, 1968, and an obituary summarizing Leevy's life, education, honors, and civic contributions in South Carolina. The program lists the names of participants in the service, honorary and active pallbearers, and acknowledges the support shown to the Leevy family.",medium,"Memorial service programs | Obituaries | African American civic leaders | Civic leaders | Funeral service | Businesspeople, Black | Memorialization",,Funeral Program,low,"style: memorial program | culture: American | period: 20th century | location: Columbia, South Carolina, United States",,medium: printed paper | technique: letterpress printing | material: ink on paper | measurements: Unknown,,,,printed paper,medium,letterpress printing,medium,ink on paper,high,Unknown,high,memorial program,medium,American,high,20th century,high,"Columbia, South Carolina, United States",high,"Isaac Samuel Leevy | Allen University | Allen University Choir | John Hunter | J. M. Hinton | L. C. Jenkins, Sr. | Lester L. Bates | Matthew D. McCollom | F. G. C. Dubose | WOIC | Benedict College | Mather Academy | Hampton Institute | South Carolina State College | Morris College | Sumter | Columbia | Lincoln Cemetery | Kershaw County | Orangeburg",medium,Isaac Samuel Leevy | memorial | funeral program | obituary | Allen University | South Carolina | African American history | civic leader | businessman | community service | 1968,high,Images,
42035496,isleevy-037.jpg,AI Generated,Leevy's Standard Furniture Company Rental Agreement Forms and Associated Business Documents,low,Leevy's Standard Furniture Company | I. S. Leevy,high,,,,,1920s,high,English,high,"A set of business documents related to Leevy's Standard Furniture Company and I. S. Leevy, Merchant Tailor, based in Columbia, South Carolina. Included are a blank rental agreement form for furniture rental, a business letterhead for I. S. Leevy, a decorative notecard addressed to Mary from I. S. Leevy, and a blank applicant information sheet requesting personal, occupational, and reference details. The forms reflect the business practices and documentation of an African American-owned enterprise in the early twentieth century.",medium,Business records | Lease and rental services | African American business enterprises | Furniture | Tailors | Employment references | Business enterprises,,Business records,low,"style: administrative | culture: American | period: early 20th century | location: Columbia, South Carolina",,medium: paper | technique: printed | material: paper | measurements: 4 pages,,Leevy's Standard Furniture Company,high,paper,high,printed,high,paper,medium,4 pages,medium,administrative,medium,American,high,early 20th century,medium,"Columbia, South Carolina",high,Leevy's Standard Furniture Company | I. S. Leevy | Mary | Columbia | South Carolina,high,furniture rental | merchant tailor | business forms | Columbia | South Carolina | African American business | rental agreement | personal references,high,Images,
42035494,isleevy-030.jpg,AI Generated,"Leevy's Funeral Home, Inc. promotional hand fan",medium,"Leevy's Funeral Home, Inc.",high,,,,,ca. 1970,high,English,high,"Promotional hand fan advertisement for Leevy's Funeral Home, Inc., featuring a halftone image of the funeral home building, a portrait of I. S. Leevy, and text promoting air-conditioned limousines and superior service. The fan lists the address at 1831 Taylor St., Columbia, South Carolina, and includes the phrase 'A Temple of Service.'",medium,Funeral homes | Advertising | African American businesspeople | African American self-employed | Funeral service | Advertising campaigns | Columbia (Symbolic character),,Promotional Hand Fan,low,"style: commercial advertising | culture: American | period: 20th century | location: Columbia, South Carolina, United States",,medium: printed paper | technique: halftone printing | material: ink on paper | measurements: Unknown,,,,printed paper,high,halftone printing,low,ink on paper,high,Unknown,medium,commercial advertising,low,American,high,20th century,medium,"Columbia, South Carolina, United States",high,"Leevy's Funeral Home, Inc. | I. S. Leevy | Columbia | South Carolina",medium,funeral home | advertising | African American business | Columbia | South Carolina | I. S. Leevy,high,Images,
42035464,isleevy-003.jpg,AI Generated,"Postcards sent to Mary Kirkland, 1906–1908",medium,Unknown | J. S. Leary | Johns Filamore Price,low,,,,,1906–1908,high,English,high,"A group of six early twentieth-century postcards sent to Miss Mary Kirkland in South Carolina between 1906 and 1908. The postcards feature a variety of illustrated and embossed designs, including a racially stereotyped caricature captioned 'Disturbing the Piece,' botanical imagery such as red currants, and a floral motif with the phrase 'To My Pet.' Several cards include handwritten messages and postal marks from Westville and Asheville, South Carolina, and are addressed to Mary Kirkland. Some messages are signed by J. S. Leary and Johns Filamore Price.",medium,Postcards | Correspondence | Embossing (Printing) | Racism in art | Caricature | Botanical illustration | Twentieth century,,Postcard,high,"style: Early 20th-century American postcard | culture: American | period: Early 20th century | location: South Carolina, United States",,"medium: printed and embossed postcards with handwritten ink inscriptions | technique: chromolithography, embossing, and ink handwriting | material: ink and chromolithograph on cardstock | measurements: Unknown",,,,printed and embossed postcards with handwritten ink inscriptions,low,"chromolithography, embossing, and ink handwriting",low,ink and chromolithograph on cardstock,low,Unknown,medium,Early 20th-century American postcard,low,American,high,Early 20th century,high,"South Carolina, United States",high,Mary Kirkland | J. S. Leary | Johns Filamore Price | Westville | Camden | Asheville,high,postcard | Mary Kirkland | South Carolina | Westville | Asheville | racist caricature | botanical illustration | embossed postcard | early 20th century | correspondence,high,Images,
42035476,isleevy-013.jpg,AI Generated,Leevy's Funeral Home Undertaking and Embalming Advertisement,high,Leevy's Funeral Home,high,,,,,ca. 1940s,high,English,high,"An advertisement for Leevy's Funeral Home in Columbia, South Carolina, promoting undertaking and embalming services. The document highlights features such as ambulances available anytime and anywhere, superior service and equipment, lower prices, and a policy of not refusing deserving poor. The ad lists I. S. Leevy as manager and provides the business address and phone number.",high,Advertising | Funeral homes | Embalming | Funeral service | African American business enterprises | African American self-employed | Columbia (Symbolic character),,Advertisement,high,"style: advertising | culture: American | period: 20th century | location: Columbia, South Carolina",,medium: paper | technique: printed | material: paper | measurements: 1 page,,Leevy's Funeral Home,high,paper,high,printed,high,paper,low,1 page,low,advertising,low,American,high,20th century,high,"Columbia, South Carolina",high,"Leevy's Funeral Home | I. S. Leevy | Columbia, S.C.",high,funeral home | undertaking | embalming | advertisement | Columbia | South Carolina | African American business,high,Images,
42035488,isleevy-028.jpg,AI Generated,"The Columbia Record, Columbia, South Carolina, Saturday, December 14, 1968",high,"Montgomery, John A. | Jenkins, H. Harrison",high,,,,,1968-12-14,high,English,high,"Obituary and tribute to Isaac Samuel Leevy, a prominent South Carolinian recognized for his dedication to public service, business, and education. The article details his instrumental role in founding schools, organizing civic enterprises, and advancing racial equality, including his involvement with the State Fair Association, NAACP, and the S.C. Race Relations Commission. Leevy's contributions to both primary and higher education are highlighted, as well as his recognition by several state colleges. The article reflects on his 91-year life, his legacy in social justice, and his perspective as a mortician. The page also includes a 'Moment of Meditation' featuring a biblical passage selected by Rev. James Rowland, vicar of The Episcopal Church of The Holy Comforter, Columbia.",medium,"Obituaries | Social justice | Race relations | Education, Primary | Education, Higher | Mortuary technicians | Meditations",,Newspaper,high,"style: journalism | culture: American | period: 1960s | location: Columbia, South Carolina, United States",,medium: paper and ink | technique: letterpress printing | material: newsprint | measurements: unknown,,The Columbia Record,high,paper and ink,low,letterpress printing,medium,newsprint,high,unknown,high,journalism,low,American,high,1960s,high,"Columbia, South Carolina, United States",high,"Isaac Samuel Leevy | State Fair Association | NAACP | S.C. Race Relations Commission | Waverly School | Carver School | Booker Washington School | State Industrial School for Negro Girls | Richland County Tuberculosis Hospital at Ridgewood | State College in Orangeburg | S.C. State College | Morris College | Allen University | Benedict College | Rev. James Rowland | The Episcopal Church of The Holy Comforter, Columbia",high,Isaac Samuel Leevy | public service | education | South Carolina | obituary | social justice | NAACP | State Fair Association | S.C. Race Relations Commission | schools | mortician | Moment of Meditation | Rev. James Rowland,high,Images,
42035484,isleevy-026.jpg,AI Generated,"I. S. Leevy, Columbia Business Man, Gets Service Award For Ten Years Service",high,Unknown,high,,,,,/ca. 1939/,low,English,high,"Newspaper clipping featuring a portrait of I. S. Leevy, a prominent business man of Columbia, South Carolina, who received a bronze award for ten years of outstanding service from the Standard Oil Company of New Jersey. The article details Leevy's business ventures, including the opening of the Leevy Service Station at 1831 Taylor St. in 1929, his earlier teaching career, and his entrepreneurial activities in department stores and furniture sales. The article also notes his community involvement, relationships with local leaders, and his operation of a modern funeral home with the assistance of his family and employees.",medium,African American businesspeople | Awards | Service stations | Funeral homes | Award presentations | African American self-employed,,Newspaper clipping,high,"style: journalistic | culture: American | period: 20th century | location: Columbia, South Carolina",,medium: newsprint | technique: printed | material: ink on paper | measurements: approx. 28 cm x 6 cm,,,,newsprint,medium,printed,low,ink on paper,high,approx. 28 cm x 6 cm,low,journalistic,high,American,high,20th century,high,"Columbia, South Carolina",high,I. S. Leevy | Standard Oil Company of New Jersey | Leevy Service Station | Gershaw County | Mather at Camden | Hampton | Maysville | Rev. Richard Carrol | Columbia,medium,I. S. Leevy | Columbia | Standard Oil Company of New Jersey | service award | Leevy Service Station | African American business | funeral home | Gershaw County | Mather at Camden | Hampton | Maysville | Richard Carrol,high,Images,
42035516,isleevy-132.jpg,AI Generated,Compositions: History Notes by I. S. Leevy,medium,I. S. Leevy,high,,,,,undated,low,English,high,"A handwritten notebook containing historical notes and outlines on topics such as the nebular hypothesis, atomic theory, Grecian history, and references to various historical texts and figures. The notebook appears to be a student's compilation of lecture notes, reading lists, and thematic outlines spanning subjects in world history, science, and literature.",low,"History | History, Ancient | Atomic theory | Education, Secondary | Reading interests | History students",,Notebook,high,style: prose | culture: American | period: late 19th century | location: United States,,medium: paper | technique: handwritten | material: lined paper | measurements: 105 pages,,,,paper,high,handwritten,high,lined paper,low,105 pages,medium,prose,high,American,high,late 19th century,medium,United States,high,I. S. Leevy | E. Pool | Dr. Gordon | U.S. Department of Agriculture,medium,history | lecture notes | Grecian history | atomic theory | reading lists | education,high,Images,
42035474,isleevy-012.jpg,AI Generated,Christmas and New Year Greeting Card from Goodwin Lumber & Supply Co.,high,Goodwin Lumber & Supply Co.,high,,,,,undated,high,English,high,"A printed greeting card expressing appreciation for customers' confidence and extending wishes for a joyful Christmas and a prosperous New Year. The card is issued by Goodwin Lumber & Supply Co. of Columbia, South Carolina.",high,Christmas | Greeting cards | New Year | Christmas cards | Holidays,,Greeting card,high,"style: prose | culture: American | period: 20th century | location: Columbia, South Carolina",,medium: paper | technique: printed | material: cardstock | measurements: N/A,,Goodwin Lumber & Supply Co.,high,paper,high,printed,high,cardstock,medium,N/A,high,prose,high,American,high,20th century,high,"Columbia, South Carolina",high,Goodwin Lumber & Supply Co. | 1527 Lyon St. | Columbia | S. C.,medium,Christmas | New Year | business appreciation | holiday greeting | Goodwin Lumber & Supply Co.,high,Images,
