"Title","Creator","Contributors","Date","Approximate Date","Source","Subject","Local Subject","S.C. County","Description","Extent","Digital Collection","Website","Contributing Institution","Rights","Time Period","Geographic Location","Language","Digitization Specifications","Date Digital","Type","Format","Media Type","Identifier","Note","Digital Assistant","OCLC number","Date created","Date modified","Reference URL","CONTENTdm number","CONTENTdm file name","CONTENTdm file path","Year","Original Transcript","Original Len","Special Pattern","General Pattern","Repeat Chars","Short/No Transcript","Quality","Issue Types","Detected Artifacts"
"The Lighthouse Remittance Envelope(Back)","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Lighthouse and Informer","","","The back of a remittance envelope for the Lighthouse.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2018-08","text","image/jpeg","Documents (object genre)","mccrayjh02-01-004","","Joshua Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3",3.0,"4.jp2","/p17173coll38/image/4.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Letter from Harold R. Washington to Advertisement Manager at the Lighthouse","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Lighthouse and Informer","","","A letter from Harold R. Washington about the Lighthouse and Harold's Tailoring.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2018-08","text","image/jpeg","Documents (object genre)","mccrayjh02-01-007","","Joshua Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/6",6.0,"7.jp2","/p17173coll38/image/7.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Business Card, John Henry McCray, Editor and Publisher, The Lighthouse","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Lighthouse and Informer","","","A business card for John H. McCray, editor and publisher, of the Lighthouse.","1 item ; side 2 of 2","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2018-08","text","image/jpeg","Documents (object genre)","mccrayjh02-01-024","","Joshua Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/23",23.0,"24.jp2","/p17173coll38/image/24.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Letter, March 16, 1961","","McCray, John Henry, 1910-1987","1961-03-16 00:00:00","","Manuscripts; Accession 11294.","Pittsburgh Courier","","","A letter sent on March 16, 1961.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-02-027","","Joshua Schutzenhofer","","2020-05-06","2020-05-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/70",70.0,"71.jp2","/p17173coll38/image/71.jp2","1961","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Account Ledger of John Henry McCray","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburgh Courier","","","The account ledger of John H. McCray from Columbia, S. C.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-02-031","","Joshua Schutzenhofer","","2020-05-06","2020-05-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/74",74.0,"75.jp2","/p17173coll38/image/75.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Letter, April 29, 1961","","McCray, John Henry, 1910-1987","1961-04-29 00:00:00","","Manuscripts; Accession 11294.","Pittsburgh Courier","","","A letter sent on April 29, 1961.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-02-047","","Joshua Schutzenhofer","","2020-05-06","2020-05-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/90",90.0,"91.jp2","/p17173coll38/image/91.jp2","1961","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Account Ledger of John Henry McCray","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburgh Courier","","","The account ledger of John H. McCray from Columbia, S. C.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-02-051","","Joshua Schutzenhofer","","2020-05-06","2020-05-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/94",94.0,"95.jp2","/p17173coll38/image/95.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Account Ledger of Bura Walker","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Pittsburgh Courier","","","The account ledger of Bura Walker.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-02-052","","Joshua Schutzenhofer","","2020-05-06","2020-05-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/95",95.0,"96.jp2","/p17173coll38/image/96.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Account Ledger of John Henry McCray","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-02-054","","Joshua Schutzenhofer","","2020-05-06","2020-05-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/97",97.0,"98.jp2","/p17173coll38/image/98.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Check for $10.00 to Cash from the Lighthouse Publishers signed by John Henry McCray, January 25, 1964","","McCray, John Henry, 1910-1987","1964-01-25 00:00:00","","Manuscripts; Accession 11294.","The Lighthouse","","","A check for $10.00 to Cash from the Lighthouse Publishers signed by John H. McCray on January 25, 1964.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-08-015","","Joshua Schutzenhofer","","2020-03-09","2020-03-09","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/117",117.0,"118.jp2","/p17173coll38/image/118.jp2","1964","",0,False,False,False,True,False,"['Empty Transcript']","[]"
