"Title","Creator","Contributors","Date","Approximate Date","Source","Subject","Local Subject","S.C. County","Description","Extent","Digital Collection","Website","Contributing Institution","Rights","Time Period","Geographic Location","Language","Digitization Specifications","Date Digital","Type","Format","Media Type","Identifier","Note","Digital Assistant","OCLC number","Date created","Date modified","Reference URL","CONTENTdm number","CONTENTdm file name","CONTENTdm file path","Year","Original Transcript","Original Len","Special Pattern","General Pattern","Repeat Chars","Short/No Transcript","Quality","Issue Types","Detected Artifacts"
"The Lighthouse, Business Card","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Lighthouse and Informer","","","A business card for the Lighthouse.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2018-08","text","image/jpeg","Documents (object genre)","mccrayjh02-01-030","","Joshua Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/29",29.0,"30.jp2","/p17173coll38/image/30.jp2","","The Lighthouse  ""Shedding Light for a Growing Race""  P. O. BOX 4011  COLUMBIA. S. C. 29204",72,False,False,False,False,True,"[]","[]"
"The Lighthouse, Envelope","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Lighthouse and Informer","","","An envelope from the Lighthouse.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2018-08","text","image/jpeg","Documents (object genre)","mccrayjh02-01-034","","Joshua Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/33",33.0,"34.jp2","/p17173coll38/image/34.jp2","","The Lighthouse  ""Shedding Light for a Growing Race""  P. O. BOX 4011  COLUMBIA. S. C. 29204",72,False,False,False,False,True,"[]","[]"
"Pittsburg Courier Distributor's Weekly Report Sheet, November 11, 1961","","McCray, John Henry, 1910-1987","1961-11-11 00:00:00","","Manuscripts; Accession 11294.","Pittsburg Courier","","","The Pittsburg Courier Distributor's Weekly Report Sheet for November 11, 1961.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-03-051","","Joshua Schutzenhofer","","2020-05-07","2020-05-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/184",184.0,"185.jp2","/p17173coll38/image/185.jp2","1961","Pittsburgh Courier Distributor's  Weekly   Report   Sheet  Herewith find.  Dollars and.  Distributor's name  .Cents for issue dated   Address   City  State  Newsboy's report on last week's sales is as  follows  NAME AND ADDRESS OF NEWSBOYS  COPIES  RECEIVED  RETURNS  COPIES  SOLD  AMOUNT  DUE  AMOUNT  PAID  BALANCE  DUE",250,False,False,False,False,True,"[]","[]"
"Pittsburgh Courier Distributor's Weekly Report Sheet, January 20, 1962","","McCray, John Henry, 1910-1987","1962-01-20 00:00:00","","Manuscripts; Accession 11294.","The Pittsburgh Courier","","","The Pittsburgh Courier Distributor's Weekly Report Sheet for the week of January 20, 1962.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-04-029","","Joshua Schutzenhofer","","2020-05-14","2020-05-14","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/592",592.0,"593.jp2","/p17173coll38/image/593.jp2","1962","Pittsburgh Courier Distributor's  Weekly   Report   Sheet  Herewith find.  Dollars and.  Distributor's name  .Cents for issue dated   Address   City  State  Newsboy's report on last week's sales is as  follows  NAME AND ADDRESS OF NEWSBOYS  COPIES  RECEIVED  RETURNS  COPIES  SOLD  AMOUNT  DUE  AMOUNT  PAID  BALANCE  DUE",250,False,False,False,False,True,"[]","[]"
"The Afro-American City Weekly Report, Page 1","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","The Afro-American Company","","","A blank weekly report for the Afro-American.","1 item ; Page 1 of 2","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Baltimore, Maryland, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-10-065","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/769",769.0,"770.jp2","/p17173coll38/image/770.jp2","","THE AFRO-AMERICAN COMPANY  CITY WEEKLY REPORT  Name  Address",50,False,False,False,False,True,"[]","[]"
"The Afro-American City Weekly Report, Page 1","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","The Afro-American Company","","","A blank weekly report for the Afro-American.","1 item ; Page 1 of 2","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Baltimore, Maryland, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-10-068","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/772",772.0,"773.jp2","/p17173coll38/image/773.jp2","","THE AFRO-AMERICAN COMPANY  CITY WEEKLY REPORT  Name  Address",50,False,False,False,False,True,"[]","[]"
"Newspaper Boys of America, Inc., name, address, and payment book, Page 23","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Newspaper Boys of America, Inc.","","","Name, address, and payment book of the Newspaper Boys of America, Inc.","1 item ; Page 23 of 36","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-11-023","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/815",815.0,"816.jp2","/p17173coll38/image/816.jp2","","JUNE  SAT.   3  SAT. 10  SAT. 17  SAT. 24  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  JULY  SAT.   1  SAT. 8  SAT. 15  SAT. 22  SAT. 29  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  AUGUST  SAT.   5  SAT. 12  SAT. 19  SAT. 26  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  SEPTEMBER  SAT.   2  SAT. 9  SAT. 16  SAT. 23  SAT. 30  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  OCTOBER  SAT.   7  SAT. 14  SAT. 21  SAT. 28  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  NAME  ADDRESS  DATE OF PAYMENT:",312,False,False,False,False,True,"[]","[]"
"Newspaper Boys of America, Inc., name, address, and payment book, Page 33","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Newspaper Boys of America, Inc.","","","Name, address, and payment book of the Newspaper Boys of America, Inc.","1 item ; Page 33 of 36","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-11-033","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/825",825.0,"826.jp2","/p17173coll38/image/826.jp2","","JUNE  SAT.   3  SAT. 10  SAT. 17  SAT. 24  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  JULY  SAT.   1  SAT. 8  SAT. 15  SAT. 22  SAT. 29  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  AUGUST  SAT.   5  SAT. 12  SAT. 19  SAT. 26  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  SEPTEMBER  SAT.   2  SAT. 9  SAT. 16  SAT. 23  SAT. 30  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  OCTOBER  SAT.   7  SAT. 14  SAT. 21  SAT. 28  Owe  Pd.  Owe  Pd.  Owe  Pd.  Owe  Pd.  NAME  ADDRESS  DATE OF PAYMENT:",312,False,False,False,False,True,"[]","[]"
"Names and addresses, Page 1","","McCray, John Henry, 1910-1987","1946","","Manuscripts; Accession 11294.","The Lighthouse and Informer","","","Pages out of a small notebook with names and addresses on it.","1 item ; Page 1 of 2","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Post-War America (1946-1954)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-12-058","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1067",1067.0,"1068.jp2","/p17173coll38/image/1068.jp2","1946","4",1,False,False,False,True,False,"['Low Char Count']","[]"
"Letter to Mr. McCray, May 23, 1945, Page 3","","McCray, John Henry, 1910-1987","1945-05-23 00:00:00","","Manuscripts; Accession 11294.","","","","A letter to Mr. McCray sent on May 23, 1945.","1 item ; Page 3 of 4","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","World War II (1939-1945)","Charleston, Charleston County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-09","Text","image/jpeg","Documents (object genre)","mccrayjh02-24-050","","Joshua Schutzenhofer","","2021-09-17","2021-09-17","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1925",1925.0,"1926.jp2","/p17173coll38/image/1926.jp2","1945","3",1,False,False,False,True,False,"['Low Char Count']","[]"
