"Title","Creator","Contributors","Date","Approximate Date","Source","Subject","Local Subject","S.C. County","Description","Extent","Digital Collection","Website","Contributing Institution","Rights","Time Period","Geographic Location","Language","Digitization Specifications","Date Digital","Type","Format","Media Type","Identifier","Note","Digital Assistant","OCLC number","Date created","Date modified","Reference URL","CONTENTdm number","CONTENTdm file name","CONTENTdm file path","Year","Original Transcript","Original Len","Special Pattern","General Pattern","Repeat Chars","Short/No Transcript","Quality","Issue Types","Detected Artifacts","Semi-clean Transcript","% English","Non-AlphaNum %"
"The Lighthouse and Informer paper notes, October 19, 1941, Page 1","","McCray, John Henry, 1910-1987","1941-10-19 00:00:00","","Manuscripts; Accession 11294.","The Lighthouse & Informer","","","The Lighthouse and Informer paper notes made on February 6, 1944.","1 item ; Page 1 of 2","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","World War II (1939-1945)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-09-031","","Josh Schutzenhofer","","2020-05-22","2020-05-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/998",998.0,"999.jp2","/p17173coll38/image/999.jp2",1941.0,"\\\\\\\\J^AAyuAJ- ┬úlaa-Ji  -     C$UZ^lt?terV) -  Bryb /&lt;?, jg^  I   l-O:  f  \\\\\\\\s\\\\\\\\tf\\\\\\\\jhL fcul^d kjp^v1^^ taw 3&ia& cOaj  jjj&gt;/     Cv┬úum ""foe OsLtf teaeqtuJ 5&*~ zpa &x ^th * Cuyi^-  hP  W  k^oui^ud- !     wj┬úA4rtis j*us┬ú*M&gt; w2^-  /^-CU^i^  I &lt; U       V /",197,True,True,True,False,False,"['Special Char Artifacts', 'General Artifacts', 'Repeat Chars']","['\\\\\\\\\\\\\\\\', '┬ú', '\\\\\\\\\\\\\\\\', '\\\\\\\\\\\\\\\\', '\\\\\\\\\\\\\\\\', '^^', '┬ú', '&*~', '┬ú', '┬ú*', 'J^AAyuAJ', 'C$UZ^lt?terV', 'fcul^d', 'kjp^v1', '3&ia', 'jjj&gt', 'k^oui^ud', 'j*us┬ú*M&gt', 'CU^i', 'j']"," laa-Ji
Bryb &lt; jg I l-O: f stfjhL taw cOaj
Cvum ""foe OsLtf teaeqtuJ 5 zpa &x Cuyi hP W
wjA4rtis w2
I &lt; U
V ",100.0,15.384615384615385
"The Lighthouse and Informer paper notes, February 6, 1944, Page 1","","McCray, John Henry, 1910-1987","1944-02-06 00:00:00","","Manuscripts; Accession 11294.","The Lighthouse & Informer","","","The Lighthouse and Informer paper notes made on February 6, 1944.","1 item ; Page 1 of 4","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","World War II (1939-1945)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-09-033","","Josh Schutzenhofer","","2020-05-22","2020-05-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1000",1000.0,"1001.jp2","/p17173coll38/image/1001.jp2",1944.0,"top ."" qqu\\\\\\\\ UJachdsooih  2)&u?vi   l^~ G&rmfrvu^fo&gt;7c6┬░ '  ""^fiA^t -fLtuLojr $a^a 2duM^Ur^ CAjjtLcm ""  A4- ^ft^iAjL IouJUaaJI fofaJjL.  C^a^T^'^^ct^Jr  b^jfryVY^c on S&┬ú#(axas3   v dlypi^o -tlcUJ) Ui^ttX^  (JhXMixdb^   /tlobjTuAt)  %AaU  Po&lcJI Γûá     cyu^f fa^    'Γûá  Clujj1     U , U .%Ayt'XS",240,True,True,False,False,False,"['Special Char Artifacts', 'General Artifacts']","['\\\\\\\\\\\\\\\\', '^~', '┬░', '^^', '&┬ú#', 'Γûá', 'Γûá', '2)&u?vi', 'G&rmfrvu^fo&gt;7c6', 'fiA^t', 'a^a', '2duM^Ur', 'ft^iAjL', ""C^a^T^'^^ct^Jr"", 'b^jfryVY^c', 'S&┬ú#(axas3', 'dlypi^o', 'Ui^ttX', 'Po&lcJI', 'cyu^f']","top qqu UJachdsooih
l
-fLtuLojr CAjjtLcm A4- IouJUaaJI fofaJjL.
on S(axas3 v -tlcUJ) (JhXMixdb /tlobjTuAt) %AaU
fa
Clujj1
U U %Ayt'XS",100.0,15.126050420168067
"The Lighthouse and Informer paper notes, February 6, 1944, Page 2","","McCray, John Henry, 1910-1987","1944-02-06 00:00:00","","Manuscripts; Accession 11294.","The Lighthouse & Informer","","","The Lighthouse and Informer paper notes made on February 6, 1944.","1 item ; Page 2 of 4","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","World War II (1939-1945)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-09-034","","Josh Schutzenhofer","","2020-05-22","2020-05-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1001",1001.0,"1002.jp2","/p17173coll38/image/1002.jp2",1944.0,"p I  rlyAjxJi CUx Uaama^ ^ Clx^ilwterv) *-.fat, H CwMvvu.  PVLtTL  rCLA^ %uJy   tf    Vl O^-   ^U^M^   UAaAtClU  Γûá UAd e^oJr * m oJc* A^. &lt;%ZPv&gt; m dwhuAvi office cy  ^4/^/1^*^ A*-    &lt;L0^n^ UAsrJyT   J)  -fop cu par 2-:    "" l^CXsfc^yUy^&gt;x^(JU COum^(P&lt;A^cjpi -fo J^e. lcula^j  ..T&hSiyAj  Pco^t-ujoru   {mask* f^jUyji^JlA^!'  Do/yv^lVL ┬úrv\\\\\\\\   t\\\\\\\\Oyy^t ~=fr-GVOtr ┬úpAs3ylMyi┬úy&gt;L^  ^X-cvnDxj",328,True,True,False,False,False,"['Special Char Artifacts', 'General Artifacts']","['Γûá', '^*^', '^&', '┬ú', '\\\\\\\\\\\\\\\\', '\\\\\\\\\\\\\\\\', '~=', '┬ú', '┬ú', 'Clx^ilwterv', 'U^M', 'e^oJr', 'lt;%ZPv&gt', '4/^/1', 'lt;L0^n', 'l^CXsfc^yUy^&gt;x^(JU', 'COum^(P&lt;A^cjpi', 'J^e', 'lcula^j', 'T&hSiyAj', 'Pco^t-ujoru', 'f^jUyji^JlA', 'Do/yv^lVL', 't\\\\\\\\\\\\\\\\Oyy^t', 'úpAs3ylMyi┬úy&gt;L']","p I rlyAjxJi CUx Uaama .fat, H CwMvvu. PVLtTL rCLA %uJy tf
Vl O
UAaAtClU UAd m oJc* A m dwhuAvi office cy A*
UAsrJyT J) -fop cu par 2-
-fo
{mask*
rv
fr-GVOtr -cvnDxj",100.0,15.217391304347828
"The Lighthouse and Informer paper notes, February 6, 1944, Page 4","","McCray, John Henry, 1910-1987","1944-02-06 00:00:00","","Manuscripts; Accession 11294.","The Lighthouse & Informer","","","The Lighthouse and Informer paper notes made on February 6, 1944.","1 item ; Page 4 of 4","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","World War II (1939-1945)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-09-036","","Josh Schutzenhofer","","2020-05-22","2020-05-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1003",1003.0,"1004.jp2","/p17173coll38/image/1004.jp2",1944.0,"-7  Jy^U^xyMJSLs-; ciaviA- Q-iA^(yr\\\\\\\\y7ou^j ΓÇó    OiL^n to, /tf&lt;/3  1*1 N.  v  ' &gt;      ΓÇö 7  ΓÇö-C^  ^u^L/csy-iyv^ ItSw** ~Tfr┬ú&lt;i   fa   ^W7  S^tf- ^\\\\\\\\/00^.-^c^?u,    ' (7k  \\\\\\\\.\\\\\\\\OoUtnn   4t&lt;Mt^^   iU&lt;^i^^  f/tlJ ^ ┬ú'┬úa^^ ~  .     (*).(/&",193,True,True,False,False,False,"['Special Char Artifacts', 'General Artifacts']","['\\\\\\\\\\\\\\\\', 'ΓÇó', 'ΓÇö', 'ΓÇö', '**', '┬ú&', '^\\\\\\\\\\\\\\\\', '\\\\\\\\\\\\\\\\', '\\\\\\\\\\\\\\\\', '^^', '^^', '┬ú', '┬ú', '^^', 'Jy^U^xyMJSLs', 'Q-iA^(yr\\\\\\\\\\\\\\\\y7ou^j', 'OiL^n', 'tf&lt;/3', 'u^L/csy-iyv', 'Tfr┬ú&lt;i', 'S^tf', '00^.-^c^?u', '4t&lt;Mt', 'iU&lt;^i']","-7 ciaviA-
to,
N. v &gt;
7 -C ItSw ~Tfrlt;i fa
",100.0,32.5
"New Subscriptions, 1964, Page 1","","McCray, John Henry, 1910-1987","1946","","Manuscripts; Accession 11294.","The Lighthouse and Informer","","","A document listing the new subscriptions made in 1964.","1 item ; Page 1 of 4","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Post-War America (1946-1954)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-12-009","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1018",1018.0,"1019.jp2","/p17173coll38/image/1019.jp2",1946.0,"York  Holly Hill  Holly Hill  City  A i k en  Gresham  Gresham  City  Aiken  Charleston  1.75  2.80  2.80  2.10  1.75  1.75  1.05  2.80  1.31  1.31  2.80  1.05  3.00",116,False,False,False,False,True,"[]","[]","York Holly Hill Holly Hill City A i k en Gresham Gresham City Aiken Charleston 1.75 2.80 2.80 2.10 1.75 1.75 1.05 2.80 1.31 1.31 2.80 1.05 3.00",100.0,11.206896551724139
"New Subscriptions, 1964, Page 3","","McCray, John Henry, 1910-1987","1946","","Manuscripts; Accession 11294.","The Lighthouse and Informer","","","A document listing the new subscriptions made in 1964.","1 item ; Page 3 of 3","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Post-War America (1946-1954)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-12-011","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1020",1020.0,"1021.jp2","/p17173coll38/image/1021.jp2",1946.0,"APRlL,   1946  Richard Corley  New Haven,   Conn.  W.   Fields  Summerville  W.  J.   Gilliam  City  John Baily  City  William Parker  Manning  J.   Johnson  Montgomery  T.   McGraw  Manning  R.   B.  Ruffin  Brunson  Macedonia SE.   S.  Blackville  J.   R.  White  Blackville  It.  B.  Rivers  Charleston  N.   P.   Grant  Walterboro  A.   S.  Parker  Remenl  Wright  Orangeburg  Hank Wilson  Atlanta,  Ga  A.L.  Green  Florence  A.  Brown  New Jersey  John Fleming  Charleston  Dr.   Massey  Charleston  W.   M.  Wright  Charleston  MAY,   1946  Dr.   Evans  Moncks Corner  Saddie  St.   Stephens  R.   H.   Hill  Winnsboro  A.   B.Evans  City  A.   P.  Williams  City  E.  W.   Cromartie  City  A.   M.   Bacote  i' immonsville  A.  M.  Anderson  Summwrton  M.  B.  McKelly  Townsville  A Bourne  Charles con  M.   M.  Hopkins  Orangeburg  M.  Johnson  Charleston  S.   B.  Mackey  Charleston  P.   M.  Mitchell  Charleston  Allen Smalls  Charleston  Blair Hall  Charleston  JUKE,   1946  A.  W.  Hill  Florence  L.   F.Scott  City  D.   M.  Dublin  Charleston  M.  Woods  Timmonsville  A.   L.   Alford  Georgetown  J .  W.  Brunson  City  J .   C.   Byrd  WHltmire  E.   Manoney  Sumter  C    W.   Maxwell  Philadelphia,  Pa.  R.   K.   Gordon  Dillon  Adam Mlkel  Cottageville  T .  T .  Hoibmes  B-rnwell  N.J.  Humphries  New York City  Luella Moore  Aiken  J.  M.  Hinton  City  G.   B. Williams  Camden,   N, J.  W.  H.  Hubert  City  A.   E.   Saunders  Sumter  H.   S.   Smiley  Greenville  W.   G.   Saunders  Sharon  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  1.75  2.80  2.80  2.80  2.80  2.80  2.80  1.75  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  1.75  2.80  2.80  2.80  2.00  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  2.80  1.05",1291,False,False,False,False,True,"[]","[]","APRlL, 1946 Richard Corley New Haven, Conn. W. Fields Summerville W. J. Gilliam City John Baily City William Parker Manning J. Johnson Montgomery T. McGraw Manning R. B. Ruffin Brunson Macedonia SE. S. Blackville J. R. White Blackville It. B. Rivers Charleston N. P. Grant Walterboro A. S. Parker Remenl Wright Orangeburg Hank Wilson Atlanta, Ga A.L. Green Florence A. Brown New Jersey John Fleming Charleston Dr. Massey Charleston W. M. Wright Charleston MAY, 1946 Dr. Evans Moncks Corner Saddie St. Stephens R. H. Hill Winnsboro A. B.Evans City A. P. Williams City E. W. Cromartie City A. M. Bacote i' immonsville A. M. Anderson Summwrton M. B. McKelly Townsville A Bourne Charles con M. M. Hopkins Orangeburg M. Johnson Charleston S. B. Mackey Charleston P. M. Mitchell Charleston Allen Smalls Charleston Blair Hall Charleston JUKE, 1946 A. W. Hill Florence L. F.Scott City D. M. Dublin Charleston M. Woods Timmonsville A. L. Alford Georgetown J W. Brunson City J
C. Byrd WHltmire E. Manoney Sumter C
W. Maxwell Philadelphia, Pa. R. K. Gordon Dillon Adam Mlkel Cottageville T T Hoibmes B-rnwell N.J. Humphries New York City Luella Moore Aiken J. M. Hinton City G. B. Williams Camden, N, J. W. H. Hubert City A. E. Saunders Sumter H. S. Smiley Greenville W. G. Saunders Sharon 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 1.75 2.80 2.80 2.80 2.80 2.80 2.80 1.75 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 1.75 2.80 2.80 2.80 2.00 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 2.80 1.05",100.0,11.326609775019394
"Special offer for Mrs. S. Bailey","","McCray, John Henry, 1910-1987","1946","","Manuscripts; Accession 11294.","The Lighthouse and Informer","","","A special offer for Mrs. S. Bailey from the Lighthouse and Informer.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Post-War America (1946-1954)","Sumter, Sumter County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-12-013","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1022",1022.0,"1023.jp2","/p17173coll38/image/1023.jp2",1946.0,"SPECIAL OFFER  /  Good Until Friday July 22  this  Summer school students may subscribe to the LIGHTHOUSE AND  week for only $3.00. Regular price $3.75-  INFORMER  Fill out the blank spaces below stating exactly where you would havo  it mailed each week, and hand this blank to the Registrar or Director of tho  summer school, By paying as much as $1┬½00 by Friday, you will reserve the  right to purchase the paper one year for the reduced price.  ( )  I enclose 03.00 for one year's subscription.  ( )  I encloso 2.00 for half year's subscription.  &lt;f&gt;  I enclose 1.00 to reserve reduced price. Balance will paid $1.00  be paid  John H. HcCray, Pub.  Please send paper to:",544,True,True,False,False,False,"['Special Char Artifacts', 'General Artifacts']","['┬½', 'lt;f&gt']","SPECIAL OFFER
Good Until Friday July 22 this Summer school students may subscribe to the LIGHTHOUSE AND week for only $3.00. Regular price $3.75- INFORMER Fill out the blank spaces below stating exactly where you would havo it mailed each week, and hand this blank to the Registrar or Director of tho summer school, By paying as much as $100 by Friday, you will reserve the right to purchase the paper one year for the reduced price.
I enclose 03.00 for one year's subscription.
I encloso 2.00 for half year's subscription.
I enclose 1.00 to reserve reduced price. Balance will paid $1.00 be paid John H. HcCray, Pub. Please send paper to:",100.0,5.451127819548872
"Letter to Rev. James Hinton from Asa Reeves","","McCray, John Henry, 1910-1987","1946","","Manuscripts; Accession 11294.","The Lighthouse and Informer","","","A letter to Reverand James Hinton from Asa Reeves.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Post-War America (1946-1954)","Whiteville, Columbus County, North Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-12-017","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1026",1026.0,"1027.jp2","/p17173coll38/image/1027.jp2",1946.0,"Reeves' Barber Shop  1 Street  Whiteville, North Car.  Rev. James Hinton  c/o Lighthouse &  Informer Newspaper  Columbia, South Carolina.  Dear Reverend Hinton:  Each year our Citizens Committee of Whiteville, N. C. of which I  am Chairman present an outstanding speaker at one of our Churches  in the hope that we might keep our public awakened to its sense  of Civic Duty.  This year, I have been asked by our group to contact you to find  out if you can accept an invitation to speak to us on a subgiect  of your choice. We would like to have you serve on any Sunday  afternoon in December which you find convenient at 3.00 P. M.  We'd be pleased if you could serve us on the Sunday selected by  you and we'd also like to know what your honorarium will be on  that day.  Thank you in advance, and our heartfelt thanks for the fearless,  Christian Leadership you are rendering to our people everywhere.  Very Sincerely Yours,  Asa Reeves, President  Citizens Committee  Whiteville, N. C.  ASA  REEVES",803,False,False,False,False,True,"[]","[]","Reeves' Barber Shop 1 Street Whiteville, North Car. Rev. James Hinton c/o Lighthouse Informer Newspaper Columbia, South Carolina. Dear Reverend Hinton: Each year our Citizens Committee of Whiteville, N. C. of which I am Chairman present an outstanding speaker at one of our Churches in the hope that we might keep our public awakened to its sense of Civic Duty. This year, I have been asked by our group to contact you to find out if you can accept an invitation to speak to us on a subgiect of your choice. We would like to have you serve on any Sunday afternoon in December which you find convenient at 3.00 P. M. We'd be pleased if you could serve us on the Sunday selected by you and we'd also like to know what your honorarium will be on that day. Thank you in advance, and our heartfelt thanks for the fearless, Christian Leadership you are rendering to our people everywhere. Very Sincerely Yours, Asa Reeves, President Citizens Committee Whiteville, N. C. ASA REEVES",100.0,3.4912718204488775
"Blank Lighthouse and Informer check","","McCray, John Henry, 1910-1987","1946","","Manuscripts; Accession 11294.","The Lighthouse and Informer","","","A blank Lighthouse and Informer check.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Post-War America (1946-1954)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-12-018","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1027",1027.0,"1028.jp2","/p17173coll38/image/1028.jp2",1946.0,"No.     2461  Columbia, S.C., ,19ΓÇö  Received Of  THE LIGHTHOUSE and INFORMER  PER",64,True,False,False,False,False,"['Special Char Artifacts']","['ΓÇö']","No.
2461 Columbia, S.C. ,19 Received Of THE LIGHTHOUSE and INFORMER PER",100.0,9.836065573770492
"Letter to the Editor of the Lighthouse and Informer from J. M. Smith, Director of Publicity, Benedict College","","McCray, John Henry, 1910-1987","1946","","Manuscripts; Accession 11294.","The Lighthouse and Informer","","","A letter to the editor of the Lighthouse and Informer from J. M. Smith, the Director of Publicity of Benedict College.","1 item","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Post-War America (1946-1954)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","mccrayjh02-12-019","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1028",1028.0,"1029.jp2","/p17173coll38/image/1029.jp2",1946.0,"Benedict College  Columbia, S. C.  Lighthouse Informer  Columbia, S. C.  Dear Editor,  Bill you please release the enclosed news items  in your February 7-9 edition, since Miss Horteu.se  Love will be presented here at Benedict College on  February 11.  We and her management will appreciate the best  consideration you may give Miss Love as to a picture,  space, and write pp.  Sincerely yours,  J.  M. Smith  Director of Publicity  Benedict College  JMS/ko  enc.  mmt",377,False,False,False,False,True,"[]","[]","Benedict College Columbia, S. C. Lighthouse Informer Columbia, S. C. Dear Editor, Bill you please release the enclosed news items in your February 7-9 edition, since Miss Horteu.se Love will be presented here at Benedict College on February 11. We and her management will appreciate the best consideration you may give Miss Love as to a picture, space, and write pp. Sincerely yours, J. M. Smith Director of Publicity Benedict College JMS/ko enc. mmt",100.0,5.039787798408488
