"Title","Creator","Contributors","Date","Approximate Date","Source","Subject","Local Subject","S.C. County","Description","Extent","Digital Collection","Website","Contributing Institution","Rights","Time Period","Geographic Location","Language","Digitization Specifications","Date Digital","Type","Format","Media Type","Identifier","Note","Digital Assistant","OCLC number","Date created","Date modified","Reference URL","CONTENTdm number","CONTENTdm file name","CONTENTdm file path","Year","Original Transcript","Original Len","Special Pattern","General Pattern","Repeat Chars","Short/No Transcript","Quality","Issue Types","Detected Artifacts"
"John Henry McCray Papers, Box 2, Folder 01, Journalism, The Lighthouse","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","Lighthouse and Informer","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2018-08","text","image/jpeg","Documents (object genre)","","This folder had no date associated with it.","Joshua Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/43",43.0,"44.cpd","/p17173coll38/image/44.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 02, Journalism, January 1961 - May 1961.","","McCray, John Henry, 1910-1987","1961","","Manuscripts; Accession 11294.","Pittsburgh Courier","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-08-06","2020-08-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/102",102.0,"103.cpd","/p17173coll38/image/103.cpd","1961","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 08, Journalism, 1964","","McCray, John Henry, 1910-1987","1964","","Manuscripts; Accession 11294.","The Lighthouse","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/133",133.0,"134.cpd","/p17173coll38/image/134.cpd","1964","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 03, Journalism, June-Dec. 1961.","","McCray, John Henry, 1910-1987","1961","","Manuscripts; Accession 11294.","Pittsburg Courier","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-08-06","2020-08-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/273",273.0,"274.cpd","/p17173coll38/image/274.cpd","1961","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 07, Nov. - Dec. 1963","","McCray, John Henry, 1910-1987","1963-11 - 1963-12","","Manuscripts; Accession 11294.","The Pittsburgh Courier","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-08-06","2020-08-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/357",357.0,"358.cpd","/p17173coll38/image/358.cpd","1963","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 05, Journalism, April - December 1962","","McCray, John Henry, 1910-1987","1962-04 - 1962-12","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-08-06","2020-08-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/450",450.0,"451.cpd","/p17173coll38/image/451.cpd","1962","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 06, Journalism, January - October 1963","","McCray, John Henry, 1910-1987","1963-01 - 1963-10","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-08-06","2020-08-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/563",563.0,"564.cpd","/p17173coll38/image/564.cpd","1963","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 04, Journalism, January - March 1962.","","McCray, John Henry, 1910-1987","1962-01 - 1962-03","","Manuscripts; Accession 11294.","The Pittsburgh Courier","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","Civil Rights Era (1955-1969)","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Joshua Schutzenhofer","","2020-08-06","2020-08-06","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/662",662.0,"663.cpd","/p17173coll38/image/663.cpd","1962","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 10, Journalism, n. d., Afro-American","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Baltimore, Maryland, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/792",792.0,"793.cpd","/p17173coll38/image/793.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"John Henry McCray Papers, Box 2, Folder 11, Journalism, n. d., General","","McCray, John Henry, 1910-1987","","","Manuscripts; Accession 11294.","General","","","","1 Folder","John Henry McCray Papers, 1929-1989","https://digital.library.sc.edu/collections/john-henry-mccray-papers-1929-1989/","University of South Carolina. South Caroliniana Library","Copyright Not Evaluated. For further information please contact The University of South Carolina, South Caroliniana Library, Columbia, SC 29208.","","Columbia, Richland County, South Carolina, United States","English","300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, primary archival file is a TIFF","2016-08","text","image/jpeg","Documents (object genre)","","","Josh Schutzenhofer","","2020-10-22","2020-10-22","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/967",967.0,"968.cpd","/p17173coll38/image/968.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
