Reference URL,Year,text
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/0,,"[Title]: ""Afro-American Newsboy Application signed by Mrs. C. B. Berry""
[Description]: ""An application to be a Newsboy for the Afro-American submitted by Mrs. C. B. Berry."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/1,,"[Title]: ""Lighthouse Informer receipt""
[Description]: ""A blank Lighthouse and Informer receipt."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2,,"[Title]: ""The Lighthouse Solicitor's Record, Home Office Order, Subscriber's Receipt""
[Description]: ""A solicitor's record, home office order, and subscriber's report made by the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4,,"[Title]: ""The Lighthouse Remittance Envelope(Front)""
[Description]: ""The front of a Lighthouse remittance envelope."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/5,,"[Title]: ""Advertisment, Chicken Special at the Pig Trail Inn""
[Description]: ""An ad about the Chicken Special for the Pig Trail Inn."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/7,,"[Title]: ""The Lighthouse Solicitor's Record, Home Office Order, Subscriber's Receipt""
[Description]: ""A solicitor's record, home office order, and subscriber's report made by the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/8,,"[Title]: ""The Lighthouse Prospectus""
[Description]: ""A prospectus of the Lighthouse with permanent publication schedules, operational procedures, and planned promotions."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/9,,"[Title]: ""The Lighthouse Temporary and Permanent Operating Costs""
[Description]: ""Temporary and Permanent Operating Costs including office printing supplies, rent, phone, heat, travel commissions, printing, manager, bookkeeper, advertising manager, editorial department, circulation department, weekly printing, and license."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/10,,"[Title]: ""Letter, Lighthouse Newspaper Sign-up Sheet sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman""
[Description]: ""A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman with three names."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/11,,"[Title]: ""Letter, Lighthouse Newspaper Sign-up Sheet sent by J. W. Witherspoon to Mrs. Alexander""
[Description]: ""A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Alexander with two names."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/12,,"[Title]: ""Letter, Lighthouse Newspaper Sign-up Sheet sent by J. W. Witherspoon to Miss Kennedy""
[Description]: ""A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Brown with fourt names."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/13,,"[Title]: ""Letter, Lighthouse Newspaper Sign-up Sheet sent by J. W. Witherspoon to Mrs. Brown""
[Description]: ""A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Brown with four names."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/14,,"[Title]: ""Letter, Lighthouse Newspaper Sign-up Sheet sent by J. W. Witherspoon to Miss Kennedy""
[Description]: ""A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Kennedy with six names."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/15,,"[Title]: ""Letter, Lighthouse Newspaper Sign-up Sheet sent by J. W. Witherspoon to Mr. Woods""
[Description]: ""A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Woods with five names."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/16,,"[Title]: ""Letter, Lighthouse Newspaper Sign-up Sheet sent by J. W. Witherspoon to Miss Williams""
[Description]: ""A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Williams with five names."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/17,,"[Title]: ""Letter, Lighthouse Newspaper Sign-up Sheet sent by J. W. Witherspoon to Mrs. Miller""
[Description]: ""A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Miller with four names."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/18,,"[Title]: ""Letter, Lighthouse Newspaper Sign-up Sheet sent by J. W. Witherspoon to Mrs. Lybraud""
[Description]: ""A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Lybraud with two names."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/19,,"[Title]: ""Letter, The Lighthouse Data Sheet for Ad Sales People""
[Description]: ""The Lighthouse Data Ad Sales People including the first edition report, rates, measurements, deadlines, market, and staff and personnel."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/20,,"[Title]: ""Letter, The Lighthouse to Mr. John McCray""
[Description]: ""A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/21,,"[Title]: ""Letter, The Lighthouse to Mr. John McCray""
[Description]: ""A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/22,,"[Title]: ""Business Card, John Henry McCray, Editor and Publisher, The Lighthouse""
[Description]: ""A business card for John H. McCray, editor and publisher, of the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/24,,"[Title]: ""Letter, From Lighthouse Editorials""
[Description]: ""A letter from Lighthouse Editorials about surrending ro race mongering."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/25,,"[Title]: ""The Lighthouse, Data Sheet for Ad Sales People""
[Description]: ""A data sheet for ad sales people about the Lighthouse with a first edition report, rates, measurements, deadlines, market, staff, and personnel."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/26,,"[Title]: ""The Lighthouse, Edition, Service, and Charges Statement""
[Description]: ""A statement form for the service, edition, and charges for the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/27,,"[Title]: ""The Lighthouse, Edition, Service, and Charges Statement""
[Description]: ""A statement form for the service, edition, and charges for the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/28,,"[Title]: ""The Lighthouse, Business Card""
[Description]: ""A business card for the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/29,,"[Title]: ""The Lighthouse, Business Card""
[Description]: ""A business card for the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/30,,"[Title]: ""The Lighthouse, Executive Office Letter Form""
[Description]: ""A blank letter form from the Lighthouse Executive Office."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/31,,"[Title]: ""The Lighthouse, Envelope""
[Description]: ""An envelope from the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/32,,"[Title]: ""The Lighthouse, Newspaper Order Form""
[Description]: ""A blank newspaper order form from the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/34,,"[Title]: ""The Lighthouse, Executive Office Letter Form""
[Description]: ""A blank letter form from the Lighthouse Executive Office."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/35,,"[Title]: ""The Lighthouse, Newspaper Order Form""
[Description]: ""A blank newspaper order form from the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/36,,"[Title]: ""The Lighthouse, Edition, Service, and Charges Statement""
[Description]: ""A statement form for the service, edition, and charges for the Lighthouse."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/37,,"[Title]: ""South Carolina Papers, Trains and Zones""
[Description]: ""A document listing the different papers, trains, and zones in South Carolina."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/38,,"[Title]: ""South Carolina Papers, Trains and Zones""
[Description]: ""A document listing the different papers, trains, and zones in South Carolina."""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/39,,"[Title]: ""South Carolina Papers, Trains and Zones""
[Description]: ""A document listing the different papers, trains, and zones in South Carolina."""
