Reference URL,Year,text
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/0,1948.0,"[Title]: ""Letter to Alice N. Spearman from J. M. Dabbs Concerning the Health Committee Member List, February 1, 1948""
[Date]: ""1948-02-01 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/1,1948.0,"[Title]: ""Letter to the South Carolina Division of the Southern Regional Council, Inc. from Wilton E. Hall Regarding Committee Service, February 3, 1948""
[Date]: ""1948-02-03 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/2,1948.0,"[Title]: ""Letter to J. M. Dabbs Regarding Board Meeting Concerns, February 2, 1948, Page 1""
[Date]: ""1948-02-02 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/3,1948.0,"[Title]: ""Letter to J. M. Dabbs Regarding Board Meeting Concerns, February 2, 1948, Page 2""
[Date]: ""1948-02-02 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/4,1949.0,"[Title]: ""Letter to Alice Spearman from Rebecca Reid Concerning the SRC, October 4, 1949""
[Description]: ""This is a letter to Alice Spearman from Rebecca Reid on October 4, 1949 concerning various SRC matters. She mentions the possibility of a Negro heading up the SRC, The Jewish Welfare Campaign, the membership list, and David Burgess possibly joining.""
[Date]: ""1949-10-04 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/6,1948.0,"[Title]: ""Letter to Edwin G. Seibels from Alice N. Spearman Concerning Letter Delay, February 4, 1948""
[Date]: ""1948-02-04 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/7,1948.0,"[Title]: ""Letter from Edwin G. Seibels Concerning the South Carolina Division of the Southern Regional Council, February 4, 1948, Page 1""
[Date]: ""1948-02-04 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/9,1947.0,"[Title]: ""Letter to Alice N. Spearman from Edwin G. Seibels Concerning the Regional Council Office, August 21, 1947""
[Date]: ""1947-08-21 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/10,1948.0,"[Title]: ""Letter to Mrs. Anderson Concerning the S.C. Division of the S.R.C., February 6, 1948""
[Date]: ""1948-02-06 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/11,1947.0,"[Title]: ""Annual Meeting Schedule for the South Carolina Division of the Southern Regional Council, Inc., April 17, 1947""
[Date]: ""1947-04-17 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/12,1948.0,"[Title]: ""Letter to Mrs. George Davis from J. M. Dabbs Concerning District Meetings of the Southern Regional Council, February 6, 1948""
[Description]: ""This is a letter to Mrs. George Davis from J. M. Dabbs on February 6, 1949 concerning District Meetings of the Southern Regional Council. He mentions wanting to hold meetings in several towns across the State.""
[Date]: ""1948-02-06 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/13,1948.0,"[Title]: ""Letter to Alice N. Spearman from J. M. Dabbs Concerning Salaries, February 6, 1948, Page 1""
[Date]: ""1948-02-06 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/14,1948.0,"[Title]: ""Letter to Alice N. Spearman from J. M. Dabbs Concerning Salaries, February 6, 1948, Page 2""
[Date]: ""1948-02-06 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/15,1948.0,"[Title]: ""Letter to Alice N. Spearman from J. M. Dabbs Concerning the Chairman of the Finance Committee, February 6, 1948""
[Date]: ""1948-02-06 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/16,1948.0,"[Title]: ""Letter to Dr. John P. Burgess from Emily Sanders Concerning Southern Regional Council Membership, February 6, 1948""
[Date]: ""1948-02-06 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/17,1948.0,"[Title]: ""Letter to Alice N. Spearman from J. M. Dabbs Concerning Resolutions Committee, February 7, 1948""
[Date]: ""1948-02-07 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/18,1948.0,"[Title]: ""Letter to Mr. Regnery from Edwin G. Seibels Concerning the South Carolina Division of the Southern Regional Council, February 7, 1948""
[Date]: ""1948-02-07 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/19,1948.0,"[Title]: ""Letter to Senator Olin D. Johnston from J. M. Dabbs Concerning President Truman's Civil Rights Message, February 8, 1948""
[Description]: ""This is an open letter to Senator Olin D. Johnston from J. M. Dabbs on  February 8, 1948. He writes concerning Johnston's remarks on President Truman's Civil Rights message.""
[Date]: ""1948-02-08 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/22,1948.0,"[Title]: ""Letter to A. C. Flora Concerning the February 24th Richland County Chapter Meeting, February 10, 1948""
[Description]: ""This is a letter to A. C. Flora on February 10, 1948 from the office of Alice N. Spearman. The letter mentions the February 24th Richland County Chapter open meeting. Mr. Flora was asked to be involved in a sectional meeting on health.""
[Date]: ""1948-02-10 00:00:00"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll43/id/23,1948.0,"[Title]: ""Letter to A. T. Butler from Alice N. Spearman Concerning the Program of the Education Group Meeting, February 10, 1948""
[Description]: ""This is a letter to A. T. Butler from Alice N. Spearman on February 10, 1948 concerning the program of the education group meeting. Butler was asked to be a discussant.""
[Date]: ""1948-02-10 00:00:00"""
