"Title","Creator","Contributors","Date","Extent","Source","Keywords","Description","Digital Collection","Website","Contributing Institution","SC County","Rights","Language","Digitization Specifications","Date Digital","Type","Format","Media Type","Identifier","Digital Assistant","Series","OCLC number","Date created","Date modified","Reference URL","CONTENTdm number","CONTENTdm file name","CONTENTdm file path","Year","Original Transcript","Original Len","Special Pattern","General Pattern","Repeat Chars","Short/No Transcript","Quality","Issue Types","Detected Artifacts"
"Selective Service Registration and Health Cards for Ernest Garnes, Page 1","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00318","","","","2020-11-09","2020-11-09","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/406",406.0,"407.jp2","/mmsimkins/image/407.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Selective Service Registration and Health Cards for Ernest Garnes, Page 2","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00319","","","","2020-11-09","2020-11-09","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/407",407.0,"408.jp2","/mmsimkins/image/408.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Leaflet encouraging people to register to vote","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00370","","","","2020-11-09","2020-11-09","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/457",457.0,"458.jp2","/mmsimkins/image/458.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Postcard from Eugene from Tyrol, Austria, Page 1","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00231","","","","2020-10-30","2020-10-30","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/485",485.0,"486.jp2","/mmsimkins/image/486.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Postcard to Meredes Hart from Modjeska Simkins, featuring Benedict College, Page 1","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00233","","","","2020-10-30","2020-10-30","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/487",487.0,"488.jp2","/mmsimkins/image/488.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Postcard from a Friend Visiting China, dated May 2, 1913, Page 1","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00244","","","","2020-10-30","2020-10-30","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/497",497.0,"498.jp2","/mmsimkins/image/498.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Probate Court Record for the Estate of William Lawrences Garnes, Page 1","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00246","","","","2020-10-30","2020-10-30","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/499",499.0,"500.jp2","/mmsimkins/image/500.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Probate Court Record for the Estate of William Lawrences Garnes, Page 2","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00247","","","","2020-10-30","2020-10-30","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/500",500.0,"501.jp2","/mmsimkins/image/501.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Postcard from Austria for Modjeska Simkins and Her Husband, Andrew, Page 1","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00248","","","","2020-10-30","2020-10-30","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/501",501.0,"502.jp2","/mmsimkins/image/502.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Postcard from W.L. Peay, dated Sept. 2, 1920, Page 1","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00252","","","","2020-10-30","2020-10-30","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/505",505.0,"506.jp2","/mmsimkins/image/506.jp2","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
