"Title","Creator","Contributors","Date","Extent","Source","Keywords","Description","Digital Collection","Website","Contributing Institution","SC County","Rights","Language","Digitization Specifications","Date Digital","Type","Format","Media Type","Identifier","Digital Assistant","Series","OCLC number","Date created","Date modified","Reference URL","CONTENTdm number","CONTENTdm file name","CONTENTdm file path","Year","Original Transcript","Original Len","Special Pattern","General Pattern","Repeat Chars","Short/No Transcript","Quality","Issue Types","Detected Artifacts"
"Modjeska Simkins Papers, General Papers, 1940-1949","Simkins, Modjeska Monteith, 1899-1992","","1940-1949","55 items","Modjeska Simkins Papers. Series: General Papers. South Carolina Political Collections.","Olin D. (Olin Dewitt), 1896-1965; Graham, Frank Porter, 1886-1972; Taft, Robert A. (Robert Alphonso), 1889-1953; Lindeman, Eduard; Southern Negro Youth; sharecroppers; Congress; Southern Congress on Human Welfare; National Association for the Advancement of Colored People;","In addition to several personal letters from Simkins to her step-children and in-laws, this folder contains materials related to her care for, and death of, an elderly friend named Earnest Garnes. Of special interest are an open letter in which she challenges Governor Olin Johnston to debate his racist views, letters from North Carolina Senator Frank Graham and educational pioneer Eduard Lindeman asking her to contribute to the Natoinal Sharecroppers Fund, and a letter from Ohio Senator Robert Taft thanking her voting for him at the 1948 Republican National Convention. During the 1940s, Simkins became State Secretary for the NAACP and became more active in voter registration drives and regional politics. Letters related to her involvement with the Southern Conference on Human Welfare and the Southern Negro Youth Congress also appear in this folder. There is also a letter from a committe that included Paul Robeson, Benjamin Mays, and W.E.B. DuBois inviting her to a meeting of black leaders in New York on November 8, 1947.","Modjeska Simkins Papers, 1909-1992","https://digital.library.sc.edu/collections/modjeska-monteith-simkins-papers-1909-1992/","University of South Carolina. South Carolina Political Collections","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","English","300ppi, 8-bit depth grayscale, Mekel microfilm scanner with Quantum Scan software, Archival Master file is a TIFF.","2012","Text","image/jpeg","Manuscripts","00314","Nathan Joseph Saunders","General papers","","2020-11-21","2020-11-21","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/484",484.0,"485.cpd","/mmsimkins/image/485.cpd","1940","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Modjeska Simkins Papers, General Papers, 1909-1938","Simkins, Modjeska Monteith, 1899-1992","","1909-1938","46 items","Modjeska Simkins Papers. Series: General Papers. South Carolina Political Collections.","Roosevelt, Franklin D. (Franklin Delano), 1882-1945; Roosevelt, Eleanor, 1884-1962; Johnston, Olin D. (Olin Dewitt), 1896-1965; tuberculosis; Benedict College","This folder contains several personal letters to and from Modjeska Simkins. Some of these letters deal with her husband Andrew's family affairs. Items of interest include a letter to Eleanor Roosevelt asking her for an audience during her visit to Columbia. There are also two letters to Franklin Roosevelt asking him to remember Gov. Olin Johnston's racism when consulting him on federal appointments. Finally, there are several letters related Simkins's job with the Negro Program for the South Carolina Tubercolisis Association. in addition to the letters, the folder contains a few postcards, including one showing the Benedict College campus during hte 1910s.","Modjeska Simkins Papers, 1909-1992","https://digital.library.sc.edu/collections/modjeska-monteith-simkins-papers-1909-1992/","University of South Carolina. South Carolina Political Collections","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","English","300ppi, 8-bit depth grayscale, Mekel microfilm scanner with Quantum Scan software, Archival Master file is a TIFF.","2012","Text","image/jpeg","Manuscripts","00231","Nathan Joseph Saunders","General papers","","2020-10-30","2020-10-30","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/558",558.0,"559.cpd","/mmsimkins/image/559.cpd","1909","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Modjeska Simkins Papers, General Papers, 1970-1972","Simkins, Modjeska Monteith, 1899-1992","","1970-1972","64 items","Modjeska Simkins Papers. Series: General Papers. South Carolina Political Collections.","","","Modjeska Simkins Papers, 1909-1992","https://digital.library.sc.edu/collections/modjeska-monteith-simkins-papers-1909-1992/","University of South Carolina. South Carolina Political Collections","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","English","300ppi, 8-bit depth grayscale, Mekel microfilm scanner with Quantum Scan software, Archival Master file is a TIFF.","2012","Text","image/jpeg","Manuscripts","00800","Nathan Joseph Saunders","General papers","","2020-10-19","2020-10-19","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/636",636.0,"637.cpd","/mmsimkins/image/637.cpd","1970","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Modjeska Simkins Papers, General Papers, 1980-1982","Simkins, Modjeska Monteith, 1899-1992","","1980-1982","63 items","Modjeska Simkins Papers. Series: General Papers. South Carolina Political Collections.","","","Modjeska Simkins Papers, 1909-1992","https://digital.library.sc.edu/collections/modjeska-monteith-simkins-papers-1909-1992/","University of South Carolina. South Carolina Political Collections","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","English","300ppi, 8-bit depth grayscale, Mekel microfilm scanner with Quantum Scan software, Archival Master file is a TIFF.","2012","Text","image/jpeg","Manuscripts","01082","Nathan Joseph Saunders","General papers","","2020-10-19","2020-10-19","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/741",741.0,"742.cpd","/mmsimkins/image/742.cpd","1980","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Modjeska Simkins Papers, General Papers, 1987-1992","Simkins, Modjeska Monteith, 1899-1992","","1987-1992","59 items","Modjeska Simkins Papers. Series: General Papers. South Carolina Political Collections.","","","Modjeska Simkins Papers, 1909-1992","https://digital.library.sc.edu/collections/modjeska-monteith-simkins-papers-1909-1992/","University of South Carolina. South Carolina Political Collections","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","English","300ppi, 8-bit depth grayscale, Mekel microfilm scanner with Quantum Scan software, Archival Master file is a TIFF.","2012","Text","image/jpeg","Manuscripts","01333","Nathan Joseph Saunders","General papers","","2020-10-19","2020-10-19","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/863",863.0,"864.cpd","/mmsimkins/image/864.cpd","1987","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Modjeska Simkins Papers, General Papers, 1950-1956","Simkins, Modjeska Monteith, 1899-1992","","1950-1956","46 items","Modjeska Simkins Papers. Series: General Papers. South Carolina Political Collections.","","","Modjeska Simkins Papers, 1909-1992","https://digital.library.sc.edu/collections/modjeska-monteith-simkins-papers-1909-1992/","University of South Carolina. South Carolina Political Collections","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","English","300ppi, 8-bit depth grayscale, Mekel microfilm scanner with Quantum Scan software, Archival Master file is a TIFF.","2012","Text","image/jpeg","Manuscripts","00399","Nathan Joseph Saunders","General papers","","2020-11-20","2020-11-20","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/928",928.0,"929.cpd","/mmsimkins/image/929.cpd","1950","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Modjeska Simkins Papers, General Papers, 1967-1969","Simkins, Modjeska Monteith, 1899-1992","","1967-1969","54 items","Modjeska Simkins Papers. Series: General Papers. South Carolina Political Collections.","","","Modjeska Simkins Papers, 1909-1992","https://digital.library.sc.edu/collections/modjeska-monteith-simkins-papers-1909-1992/","University of South Carolina. South Carolina Political Collections","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","English","300ppi, 8-bit depth grayscale, Mekel microfilm scanner with Quantum Scan software, Archival Master file is a TIFF.","2012","Text","image/jpeg","Manuscripts","00707","Nathan Joseph Saunders","General papers","","2021-04-01","2021-04-01","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1013",1013.0,"1014.cpd","/mmsimkins/image/1014.cpd","1967","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Modjeska Simkins Papers, General Papers, No Date, Part 2","Simkins, Modjeska Monteith, 1899-1992","","","68 items","Modjeska Simkins Papers. Series: General Papers. South Carolina Political Collections.","","","Modjeska Simkins Papers, 1909-1992","https://digital.library.sc.edu/collections/modjeska-monteith-simkins-papers-1909-1992/","University of South Carolina. South Carolina Political Collections","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","English","300ppi, 8-bit depth grayscale, Mekel microfilm scanner with Quantum Scan software, Archival Master file is a TIFF.","2012","Text","image/jpeg","Manuscripts","01586","Nathan Joseph Saunders","General papers","","2020-10-19","2020-10-19","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1135",1135.0,"1136.cpd","/mmsimkins/image/1136.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Modjeska Simkins Papers, General Papers, 1964-1966","Simkins, Modjeska Monteith, 1899-1992","","1964-1966","54 items","Modjeska Simkins Papers. Series: General Papers. South Carolina Political Collections.","Russell, Donald; Bates, Lester; Aptheker, Herbert; Watson, Albert; employmnet discrimination; Democratic Party","This folder features many items pertaining to Simkins's political activity. She frequently helped those who felt their civil rights had been violated. For example, she wrote letters to the U.S. Department of Justice regarding unfair employment practices at both Ft. Jackson and the State Mental Hospital. Simkins herself ran for the city council and for the South Caraolina House of Representatives 1966. This folder also features letters pertaining to the controversy over her support of Herbert Aptheker, a Marxist historian. She befriended Aptheker while he was stationed at Ft. Jackson during World War II. Finally, the folder contains some letters to and from such well-known South Carolina political figures as Governor Donald Russell and Columbia Mayor Lester Bates. Although neither man was a staunch supporter of African American rights, both men counted on African American votes to win election.","Modjeska Simkins Papers, 1909-1992","https://digital.library.sc.edu/collections/modjeska-monteith-simkins-papers-1909-1992/","University of South Carolina. South Carolina Political Collections","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","English","300ppi, 8-bit depth grayscale, Mekel microfilm scanner with Quantum Scan software, Archival Master file is a TIFF.","2012","Text","image/jpeg","Manuscripts","00603","Nathan Joseph Saunders","General papers","","2021-01-20","2021-01-20","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1221",1221.0,"1325.cpd","/mmsimkins/image/1325.cpd","1964","",0,False,False,False,True,False,"['Empty Transcript']","[]"
"Modjeska Simkins Papers, General Papers, No Date, Part 1","Simkins, Modjeska Monteith, 1899-1992","","","58 items","Modjeska Simkins Papers. Series: General Papers. South Carolina Political Collections.","","","Modjeska Simkins Papers, 1909-1992","https://digital.library.sc.edu/collections/modjeska-monteith-simkins-papers-1909-1992/","University of South Carolina. South Carolina Political Collections","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","English","300ppi, 8-bit depth grayscale, Mekel microfilm scanner with Quantum Scan software, Archival Master file is a TIFF.","2012","Text","image/jpeg","Manuscripts","01489","Nathan Joseph Saunders","General papers","","2020-10-19","2020-10-19","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1310",1310.0,"1414.cpd","/mmsimkins/image/1414.cpd","","",0,False,False,False,True,False,"['Empty Transcript']","[]"
