"Title","Creator","Contributors","Date","Extent","Source","Keywords","Description","Digital Collection","Website","Contributing Institution","SC County","Rights","Language","Digitization Specifications","Date Digital","Type","Format","Media Type","Identifier","Digital Assistant","Series","OCLC number","Date created","Date modified","Reference URL","CONTENTdm number","CONTENTdm file name","CONTENTdm file path","Year","Original Transcript","Original Len","Special Pattern","General Pattern","Repeat Chars","Short/No Transcript","Quality","Issue Types","Detected Artifacts"
"List of names and addresses, Page 1","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins01659","","","","2015-11-13","2015-11-13","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1081",1081.0,"1082.jp2","/mmsimkins/image/1082.jp2","","Jfc  &lt;*t&gt;e*x &gt;/M^&  A^fy(JCPXeAU\\\\A\\\\ J   Z2^C^    aLO-iaLa^  &gt;j.. _ms. a   s u-(,n  j^i^^B^^  C  & loo  B.  O^",91,True,True,False,False,False,"['Special Char Artifacts', 'General Artifacts']","['^&', '\\\\\\\\', '\\\\\\\\', '^^', '^^', 'lt;*t&gt;e*x', 'A^fy(JCPXeAU\\\\\\\\A', 'Z2^C', 'j^i^^B']"
"List of names and addresses, Page 2","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins01659","","","","2015-11-13","2015-11-13","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1082",1082.0,"1083.jp2","/mmsimkins/image/1083.jp2","","Jfc  &lt;*t&gt;e*x &gt;/M^&  A^fy(JCPXeAU\\\\A\\\\ J   Z2^C^    aLO-iaLa^  &gt;j.. _ms. a   s u-(,n  j^i^^B^^  C  & loo  B.  O^",91,True,True,False,False,False,"['Special Char Artifacts', 'General Artifacts']","['^&', '\\\\\\\\', '\\\\\\\\', '^^', '^^', 'lt;*t&gt;e*x', 'A^fy(JCPXeAU\\\\\\\\A', 'Z2^C', 'j^i^^B']"
"Anonymous letter accusing Second Congressional District representative Albert Watson of being a Klansmen, Page 2","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00628","","","","2021-01-20","2021-01-20","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1159",1159.0,"1263.jp2","/mmsimkins/image/1263.jp2","","3 party around like a football + laughing about it. If he wins this heâ€™ll run with Thurmond for the Senate seat in 1966. If Callison can win this one, then both Thurmond + Watson will be beaten in 1966. If you have any connection in Washington please, for goodness sake, get the national Democratic Congressional Committee on the ball with some financial help to get the vote in the boxes. Watson is getting all the financial help he needs from the Goldwater surplus from the last Campaign. Callison is not everything you might want but he is at least on the right side + is the chance we have to (illegible) the Thurmond -Watson combination.",529,True,False,False,False,False,"['Special Char Artifacts']","['â€™']"
"Anonymous letter accusing Second Congressional District representative Albert Watson of being a Klansmen, Page 3","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00629","","","","2021-01-20","2021-01-20","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1160",1160.0,"1264.jp2","/mmsimkins/image/1264.jp2","","3 party around like a football + laughing about it. If he wins this heâ€™ll run with Thurmond for the Senate seat in 1966. If Callison can win this one, then both Thurmond + Watson will be beaten in 1966. If you have any connection in Washington please, for goodness sake, get the national Democratic Congressional Committee on the ball with some financial help to get the vote in the boxes. Watson is getting all the financial help he needs from the Goldwater surplus from the last Campaign. Callison is not everything you might want but he is at least on the right side + is the chance we have to (illegible) the Thurmond -Watson combination.",529,True,False,False,False,False,"['Special Char Artifacts']","['â€™']"
"Essay on civil rights grievances in Columbia, Page 7","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins01581","","","","2015-11-13","2015-11-13","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1306",1306.0,"1410.jp2","/mmsimkins/image/1410.jp2","","/",1,False,False,False,True,False,"['Low Char Count']","[]"
"Letter to James M. Hinton from Harold R. Boulware regardgin the Ellorree case","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00476","","","","2020-12-07","2020-12-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1645",1645.0,"1955.jp2","/mmsimkins/image/1955.jp2","","HAROLD R. BOULWARE ATTORNEY-AT-LAW 1109 1-2 WASHINGTON STREET COLUMBIA 1, S. C. TELEPHONE 2-0344 January 29, 1957 Mr. James M. Hinton P.O. Box 904 Augusta, Georgia Dear Little Flower: I enclose a copy of the letter which I sent to the Clerk of Court. I talked to Bob Carter yesterday and he is now making preparations to appeal the Elloree Case. He advises that he will send me all of the necessary papers for filing and instructions as to what I will have to do with regard to it. I will keep you advised at all times regarding these cases. Very truly yours, Harold R. Boulware HRB:drs",480,False,False,False,False,True,"[]","[]"
"Letter from Thomas Goodman of Lynchburg, SC asking for help in paying his farm mortgage, Page 1","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins00477","","","","2020-12-07","2020-12-07","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/1646",1646.0,"1956.jp2","/mmsimkins/image/1956.jp2","","HAROLD R. BOULWARE ATTORNEY-AT-LAW 1109 1-2 WASHINGTON STREET COLUMBIA 1, S. C. TELEPHONE 2-0344 January 29, 1957 Mr. James M. Hinton P.O. Box 904 Augusta, Georgia Dear Little Flower: I enclose a copy of the letter which I sent to the Clerk of Court. I talked to Bob Carter yesterday and he is now making preparations to appeal the Elloree Case. He advises that he will send me all of the necessary papers for filing and instructions as to what I will have to do with regard to it. I will keep you advised at all times regarding these cases. Very truly yours, Harold R. Boulware HRB:drs",480,False,False,False,False,True,"[]","[]"
"Donation from a woman in Detroit","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins05351","","","","2016-02-01","2016-02-01","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/4720",4720.0,"5030.jp2","/mmsimkins/image/5030.jp2","","/",1,False,False,False,True,False,"['Low Char Count']","[]"
"Program, NAACP 74th birthday celebration and first special membership campaign rally, February 12, 1983, Page 11","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins06379","","","","2016-02-19","2016-02-19","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/5288",5288.0,"5598.jp2","/mmsimkins/image/5598.jp2","","â€¢",3,True,False,False,True,False,"['Special Char Artifacts', 'Low Char Count']","['â€¢']"
"Materials related to a NAACP lawsuit focused on legislative reapportionment, Page 79","","","","","","","","","","","","Copyright Not Evaluated. For further information please contact the University of South Carolina, South Carolina Political Collections, Columbia, SC 29208.","","","","","","","mmsimkins06126","","","","2016-02-19","2016-02-19","http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/5440",5440.0,"5750.jp2","/mmsimkins/image/5750.jp2","","election to the positions of Members of the Richland County  Council under the existing at-large electoral structure and  practice.  Upon further information and belief, under the totality of  the circumstances existing in Richland County, the at-large  method of election for membership on the Richland County Council  results in the denial or abridgement of voting rights of black  citizens of equal opportunity to participate in the political  processes and to elect representatives of their choice in  violation of Section 2 of the Voting Rights Act, as amended.  4.  Upon further information and belief, I will suffer irreparable harm to my constitutional and other legal rights if  the June 16, 1988, primary election and the November 8, 1988,  general election for members of the Richland County Council are  allowed to proceed as scheduled by the Defendants, their agents,  officers, servants, employees, assigns, surrogates or attorneys  and those persons acting in concert with them; and I am informed and believe that I am entitled to the protection of  this Court by the grant of preliminary and permanent relief to  enjoin and restrain the conduct of the scheduled June 16, 1988,  primary election and the subsequent November 8, 1988, general  election for members of Richland County Council under the existing at large electoral structure and practice.  -2-",1138,False,False,False,False,True,"[]","[]"
