Reference URL,Year,text
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/402,,"[Title]: ""Letter from Venice T. Springs of the National Youth Administration in Alabama, dated January 25, 1941, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/403,,"[Title]: ""Letter from Venice T. Springs of the National Youth Administration in Alabama, dated January 25, 1942, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/404,,"[Title]: ""Letter to Mary E. Williams, Director of Student Health Services at Voorhees Institute, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/405,,"[Title]: ""Letter to Mary E. Williams, Director of Student Health Services at Voorhees Institute, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/408,,"[Title]: ""Last Will and Testamnet of Ernest Garnes, dates August 5, 1943"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/409,,"[Title]: ""Adjustment to life insurance policy of Fannie Garnes, dated August 5, 1943"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/410,,"[Title]: ""A rather pointed letter, dated Nov. 15, 1945, from Modjeska Simkins to her step-daughter Francis, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/411,,"[Title]: ""A rather pointed letter, dated Nov. 15, 1945, from Modjeska Simkins to her step-daughter Francis, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/412,,"[Title]: ""A rather pointed letter, dated Nov. 15, 1945, from Modjeska Simkins to her step-daughter Francis, Page 3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/413,,"[Title]: ""A rather pointed letter, dated Nov. 15, 1945, from Modjeska Simkins to her step-daughter Francis, Page 4"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/414,,"[Title]: ""Certificate of award from the Social Security Administration, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/415,,"[Title]: ""Certificate of award from the Social Security Administration, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/416,,"[Title]: ""Letter to Dr. Marion Wyman regarding life insurance for Ernest Garnes, dated Jan. 27, 1944"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/417,,"[Title]: ""Letter from Modjeska Simkins to her step-daughter, Julia, dated February 11, 1944, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/418,,"[Title]: ""Letter from Modjeska Simkins to her step-daughter, Julia, dated February 11, 1944, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/419,,"[Title]: ""Letter from Modjeska Simkins to her step-daughter, Julia, dated February 11, 1944, Page 3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/420,,"[Title]: ""Letter from Modjeska Simkins to her step-daughter, Julia, dated February 11, 1944, Page 4"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/421,,"[Title]: ""Letter from Ernst Garnes to his former employers at the Jefferson Hotel"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/422,,"[Title]: ""Letter to Modjeska Simkins, dated March 30, 1941 to her friend Erriene regarding the death of Ernest Garnes, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/423,,"[Title]: ""Letter to Modjeska Simkins, dated March 30, 1941 to her friend Erriene regarding the death of Ernest Garnes, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/424,,"[Title]: ""Letter dated April 7, 1944 regarding the death of Mrs. Atrope, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/425,,"[Title]: ""Letter dated April 7, 1944 regarding the death of Mrs. Atrope, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/426,,"[Title]: ""Letter from the Social Security Administration pertaining to Enest Garnes"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/427,,"[Title]: ""Letter from Modjeska Simkins, dated April 16, 1944, to her friend Erriene, regarding the death of Ernest Garnes"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/428,,"[Title]: ""Letter to Governor Olin Johnston, dated April 17, 1944, challenging him to debate the validity of the concept of white supremacy, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/429,,"[Title]: ""Letter to Governor Olin Johnston, dated April 17, 1944, challenging him to debate the validity of the concept of white supremacy, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/430,,"[Title]: ""Letter to Modjeska Simkins, dated April 20, 1944, after the death of Mrs. Artope, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/431,,"[Title]: ""Letter to Modjeska Simkins, dated April 20, 1944, after the death of Mrs. Artope, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/432,,"[Title]: ""Letter from the Washington National Insurance Company, dated April 24, 1944, conveying Ernest Garnes's death benefit to Modjeska Simkins"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/433,,"[Title]: ""Letter from P.B. Young, editor of the Norfolk Journal and Guide, congratulaing Modjeska Simkins on her courage in challenging Gov. Johnston to a debate"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/434,,"[Title]: ""Letter to Modjeska Simkins regarding the death and illness of Mary Artope, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/435,,"[Title]: ""Letter to Modjeska Simkins regarding the death and illness of Mary Artope, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/436,,"[Title]: ""Letter from Dr. Marion Wyman, dated May 21, 1944, thanking Modjeska Simkins for taking care of Ernest Garnes"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/437,,"[Title]: ""Poster announcing Modjeska Simkins appearnce at the Second Presbyterian Church in Cheraw on May 20, 1945"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/438,,"[Title]: ""Letter from Attorney Monroe Schiffman to Andrew Simkins regarding his liquer store"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/439,,"[Title]: ""Letter from a friend in Ridge Spring, SC, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/440,,"[Title]: ""Letter from a friend in Ridge Spring, SC, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/441,,"[Title]: ""Letter from a friend in Ridge Spring, SC, Page 3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/442,,"[Title]: ""Letter from a friend in Ridge Spring, SC, Page 4"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/443,,"[Title]: ""Letter from a friend in Ann Arbor, Michigan, dated Feb. 5, 1946, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/444,,"[Title]: ""Letter from a friend in Ann Arbor, Michigan, dated Feb. 5, 1946, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/445,,"[Title]: ""Letter from a friend in Ann Arbor, Michigan, dated Feb. 5, 1946, Page 3"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/446,,"[Title]: ""Letter from a friend in Ann Arbor, Michigan, dated Feb. 5, 1946, Page 4"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/447,,"[Title]: ""Letter from a friend in Ann Arbor, Michigan, dated Feb. 5, 1946, Page 5"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/448,,"[Title]: ""Letter from Carl van Doren of the """"Committee of 100,"""" a civil rights organization"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/449,,"[Title]: ""Letter from Frank P. Graham, President of the University of North Carolina and advocate of southern industrialization, asking for contributions to the National Sharecroppers Fund"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/450,,"[Title]: ""Letter calling for participants in a leadership seminar conducted by the Southern Negro Youth Congress"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/451,,"[Title]: ""Letter to Adele Minahan on the problems that African Americans face in Columbia"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/452,,"[Title]: ""Letter from B.F. Jones of Philadelphia promising funds for a campaign, Page 1"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/453,,"[Title]: ""Letter from B.F. Jones of Philadelphia promising funds for a campaign, Page 2"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/454,,"[Title]: ""Letter to Judge Richard Foster regarding the possibility of promoting independent candidates in local elections"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/455,,"[Title]: ""Letter to Judge Richard Foster on the mechanics of the electoral process in South Carolina"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/456,,"[Title]: ""Letter from Richard Foster to Modjeska Simkins regarding the selection of independent candidates"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/458,,"[Title]: ""Letter from Andres Simkins to his brother Roger regarding a memorial for their mother"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/459,,"[Title]: ""Letter from education pioneer Eduard C. Lindeman asking for funds for the Southern Tenant Farmers Union"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/460,,"[Title]: ""Letter from Harold D. Meyer, Director of the North Carolina Recreation Commission"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/461,,"[Title]: ""Letter of congratulations regarding Modjeska Simkins's election to the board for the Southern Conference on Human Welfare"""
http://cdm17173.contentdm.oclc.org/cdm/ref/collection/mmsimkins/id/462,,"[Title]: ""Letter regareding the account books for what appears to be the Good Samaritan-Waverly Hospital"""
