"CONTENTdm number","Reference URL","Title","Description","Year","Transcript"
2242.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/2242","Memorandum to executive officers of the Progressive Democratic Party, Page 2","A memorandum to executive officers of the Progressive Democratic Party.",1946.0,"(Psge Two)    covered in 8 full report to ell executive end unit officers we  hope to submit within the next ton days. Dut it writes ""finis""  to the several decades of unfortunate political operations which,  principally among Southern States, have make 8 great mockery of  the very word ""Demoeracy"".    At the moment, it technically effects only South Carolina.    However, it may well affect pending or expected actions in several  other Southern States,    Believe me as,    Cordially yours,  Joim H. KcCray    PROGRESSIVE DEMOCRATIC PARTY    1022? Wellington Street    Columbia 2Q,S.C.    Telephone 2-7079"
3112.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3112","Letter from John Henry McCray sent on January 22, 1948","A letter from John H. McCray sent on January 22, 1948.",1948.0,"% P fr\\_    19 y    City Democratic Executive Committee    City    Columbia,S.c.    The Progressiv  that ShHxSxiy pro  forthcoming city  decisions. We wo  which did not in    ay Chairman  Democratic Party    Jo hn  Pro gr e    Party  fo r.rf  w    fully suggests    to vote in the  ecent federal court  imary conducted now    In compliance with recent federal court decisions, we  respectfully request that provisions be made for Negroes to vote  in the forthcoming city primary. We would not accept or consider as  valid any primary conducted now which did not include all citizens.    Progressive Democratic Party    John H. Mcuray, chairman"
3121.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3121","Letter to Mr. McCray from J. Howard McGrath, March 1, 1948","A letter to Mr. McCray from J. Howard McGrath on March 1, 1948.",1948.0,"DEMOCRATIC NATIONAL COMMITTEE    RING BUILDING  1200 EIGHTEENTH STREET, N.W.  WASHINGTON 6, D. C.    J. HOWARD M9GRATH    CHAIRMAN    March 1, 1948    Dear Mr. McCray:    I appreciate receiving the  expression of your views with respect  to the very controversial Civil Rights  Message of the President.            Sincerely,    Mr. H. McCray    Columbia    South Carolina"
3129.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3129","Letter to Mr. John Henry McCray from Mrs. Thomasina W. Johnson, June 10, 1948","A letter to Mr. John H. McCray from Mrs. Thomasina W. Johnson sent on June 10, 1948.",1948.0,"DEPARTMENT OF LABOR  UNITED STATES EMPLOYMENT SERVICE  WASHINGTON 25    June 10, 1948    Mr. John H. McCray    State Chairman    Progress ire Democratic Party    1022-g- Washington Street    Columbia 20, South Carolina    Dear Mr. McCrays    Thank you for your letter of June 7. I had expected to  see you during my last visit to Columbia but upon my  arrival I was informed that you were out of towm.    Would you be good enough to send me a copy of the  grievances and complaints referred to in your letter.    I shall be very pleased to go over these and give such  assistance as I am capable of on the merits of your  proposal.    With sincerest admiration and best wishes for success  in your relentless efforts to win the battle of democracy  with ballots, I am,    Sincerely yours,    (Mrs.) Thomasina W. Johnson  Minority Groups Confit ant"
3147.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3147","Letter to Mrs. Thomasina W. Johnson from John Henry McCray, June 29, 1948","A letter to Mrs. Thomasina W. Johnson from John H. McCray sent on June 29, 1948.",1948.0,"SPECIAL DELIVERY    430 Irving Street, Northwest  Washington, D.C.    June 29, 1948    Mr. John H. McCray    1022^ Washington Street    Columbia 20, South Carolina    Dear Mr. McCray:    Thank you for your letter of June 28. I look forward  with much interest to learning your contentions in relation  to the Democratic Party of South Carolina.    I shall be in Washington on Friday, July 2 but leave on  Saturday morning, July 3. I shall be in my office, the  Department of Labor, 14th and Constitution, N.W., Room 4305,  telephone Executive 2420, extensions 851 or 860. If you are  coming in on Thursday evening, I shall be at home - telephone  Taylor 6497.    I presume that you have talked to Congressman William L. Dawson,  Assistant to the Chairman of the Democratic National Committee  and, in this event, I am sure you will have no difficulty in  seeing Mr. McGrath.    I look forward to discussing the whole    situation with you.    Sincer    yours    (Mrs.) Thomasina W. J-    son"
3233.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3233","Letter to Mr. C. Arthur Pompey from John Henry McCray, August 21, 1948, Page 1","A letter to Mr. C. Arthur Pompey from John H. McCray sent on August 21, 1948.",1948.0,"August 21,1948    Jir. C. Arthur ibmpey    1615 ftayne Street    Columbia, South Carolina    Dear Mr. Pompey*    iir. James M. Binton has passed along your statements about me  in a letter to him, signed by you, under date, August 16. I am plaasea. to  take note of those statements, as setforth immediately, herewith*    I am sure Hinton can and will ably acquit himself in this  instance as be has on many occasions, though for an entirely different cause.  However, I do think your letter was a most unfortunate thing, one I am informed  was written by another person and, in finality, was based on rank ignorance  or a malicious, wilfull and deliberate attempt to malign, defame, abuse and  hold in contempt persona and notions which do not deserve them. I am sure  ignorance of fact over-balances its evil import.    As count number (1) one, that is your that I tevo set ay self  up as some sort of dictator, permit me to say that only ths pruriginous could  make such an assertion. Far the 13 years I have been out of college, most of  my time has been given to tna thankless task of helping taoaa among us who  felt as I did to conquering towering problems* Th do this, it has meant a huge  expenditure of time, resources, what little money I could earn and much in  personal energy and health.    fou of course would not know now much it costs in money alone  to keep up correspondence, telephone hill a and even personal contributions for  those in distress* And I dare add, you obviously are not concerned about it*  But in all of these years, I have never asked any person for even a penny with  wnich to help, and I have not received one penny, in fact, I would not have  accepted had it been so offered*    I run the newspaper, as a matter of course* I own it, pay it  bills and solve its problems * I could be called a dictator over it, but only in  the business sense and manner of any similarly operated business * I have kept it  available, however, to any person or agency wishing to use it, thought/ at times  I may have personally disapproved their objectives and attempts*    But I get the impression that you would call s?e ndictatar"" over  the personal properties and wishes of some of our people* I am coalman of the  Progressive Democrats, and have been since their inauguration in 1944* They have  unanimously re-elected me, without opposition, on two occasions, and fully aware  while so doing that I woulu have welcomed relief from the cuties the office  imposes, and the opportunity to settle down to ay sole livelihood* These fine"
3241.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3241","Letter to Mr. T. E. Garaty from John Henry McCray, September 14, 1948","A letter to Mr. T. E. Garaty from John H. McCray sent on September 14, 1948.",1948.0,"September 14,1948    Mr* T.K. Garety    1316 Washington Street    Columbia, South Carolina    Dear Mr, Garetyj    As a follow through on our tale phone conversation  earlier today, I am inclosing a check in ths amount of one hundred  dollars, ($100,00), with the hope that it oan find a place in the  excellent and deserving program you and associates are undertaking    Another contribution should be forthcoming before  the week-end and, from time to time thereafter up to the time of  the election*    We feel deeply honored to pool our little mites  for assistance in so noble a cause. If we oan be of any service  whatsoever, please do not hesitate to call on us.    Cordially yours,    John H* McCray    P.S, The inclosed check is from funds being collected for the  express purpose of helping to re-elect the prasident."
3247.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3247","Letter to Mr. W. J. Hunter from John Henry McCray, October 15, 1948","A letter to Mr. W. J. Hunter from John H. McCray sent on October 15, 1948.",1948.0,"October 15, 1948    Mr. W. J, Hunter    696 South. Main Street    Darlington, South Carolina    Dear Mr. Hunters    Thank you very meh for your contribution of $100.00  from ^regressive Democrats in Darlington County toward  the Re-elect Truman Campaign.    We believe that you have all done your best, and want  you to know that we appreciate your efforts in this  Drive,    If you have a list of namea of those who contributed  seuu this in and we shall be glad to publish these as  soon as space is available.    The ballots which we will use for the November 2 e-  lection are being printed, and we shall send you a  supply within a few days.    Sincerely yours,    John H, McCray    JHMcC/dd"
3271.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3271","Letter to Mr. McCray from P. Robinson, November 15, 1948","A letter to Mr. McCray from P. Robinson sent on November 15, 1948.",1948.0,"(Morris IBrnfun (Unllege    (Atlanta, (genrgia    PUBLIC RELATIONS    NCV. 15, 1948    Dear Mr. McCray:    Thank you so very much for the loan of the materials contained.  In this package.    As for the other material I am still working on it.    I Indicated to your very efficient agent that I was  so bogged down here in the office that I had been unable  to work on my project. Now I an beginning to see my  way clear to complete the study.    Can you suggest to me the best Itinerary for covering  the State sounding out opinion and consciousness of the  Progressive Democratic Party's program and existence?  Let me hear from you as soon as It Is possible.    P. Robinson    Director, Public Relations"
3337.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/3337","Democratic Party of South Carolina, State Ballot, July 11, 1950","A party ballot of the Democratic Party of South Carolina for the Democratic Primary Election on July 11, 1950.",1950.0,"DEMOCRATIC PARTY  of  SOUTH CAROLINA    STATE BALLOT    Democratic Primary Election,  July 11, 1950    For United States Senate  (Vote for one, scratch other)  OLIN D. JOHNSTON    J. STROM THURMOND    For Governor    (Vote for one, scratch others)  LESTER L. BATES  JAMES F. BYRNES  THOMAS H. POPE  MARCUS A. STONE    For Lieutenant Governor  (Vote for one, scratch other)    FRANK C. OWENS    GEO. BELL TIMMERMAN, JR.    For Secretary of State  (Vote for one, scratch other)    P. T. BRADHAM    O. FRANK THORNTON    For Attorney General  (Vote for one, scratch others)    T. C. CALLISON    LONNIE D. CAUSEY    CHARLES N. PLOWDEN    For Commissioner of Agriculture  (Vote for one, scratch other)    A. W. BETHEA    J. ROY JONES"
