model_path,model_folder,model_name,uses_metadata,epochs,sft_size,training_cfg,lora_rank,prompt,BERTScore_f1,BERTScore_precision,BERTScore_recall,BLEU,Cosine,JSD,Jaccard,Levenshtein,ROUGE_rouge1,ROUGE_rouge2,ROUGE_rougeL,SequenceMatcher
M10,M10,M10,false,,,,,base_p1,0.42854626685380937,0.46384313762187956,0.40603545427322385,0.009556379278657151,0.3485314989136238,0.2507464648010997,0.08293114451051524,0.3017040452645269,0.18626632005115185,0.03539252495982491,0.1257438932998806,0.04364446369757147
M10,M10,M10,false,,,,,base_p2,0.3778844508528709,0.41764512956142424,0.3517230346798897,0.005326696702912574,0.28914345905566324,0.21848027433975678,0.06750510065757374,0.23186766193262615,0.14255638781164034,0.030639450207184026,0.09514238798472473,0.034289142097012636
M10,M10,M10,false,,,,,base_p3,0.41307026863098145,0.4698373681306839,0.3774510142207146,0.00547261619426431,0.25894622804314393,0.2341623385620805,0.06217989916650172,0.2240077374292352,0.12534310659323286,0.02438867093079122,0.08660995598813816,0.03714353896108487
M10,M10,M10,false,,,,,base_p4,0.4283413362503052,0.47259419560432436,0.4007241082191467,0.011940988329833355,0.3128389690399387,0.25074080972558044,0.07700039652383692,0.262380491179906,0.1622445574203396,0.03494662208859316,0.11007163219630019,0.03503170411143611
M10,M10,M10,false,,,,,base_p5,0.42446369051933286,0.47917858123779294,0.38936796367168425,0.005517458745867814,0.2890475949262501,0.2478447106897639,0.0709305315903414,0.25108943568906283,0.14664444803183802,0.02718321144169307,0.10159849787928142,0.03441816413721549
M10,M10,M10,false,,,,,icl_p6,0.3477350690960884,0.42618361085653306,0.3014988794922829,0.0014280402249265698,0.17912998794508606,0.2032907351964384,0.03855249533584181,0.1295863484207748,0.07569458229498117,0.014524166368501257,0.05846005207611846,0.022815461498362114
M10,M10,M10,false,,,,,icl_p7,0.3812623256444931,0.4557657968997955,0.3380517703294754,0.0028008168135421007,0.21472529389727957,0.22582388996445965,0.05090351663847458,0.16788457241233662,0.10220798564040333,0.01869106451488541,0.07099158436649662,0.022572344490397266
M10,M10,M10,false,,,,,icl_p8,0.30867990911006926,0.33781642854213717,0.29406782865524295,0.0018976512199198328,0.14286510158351676,0.195724332059873,0.02933352406426293,0.10890042504918468,0.06880584181108695,0.012907027808750547,0.049496570914546324,0.014410110402164495
M10.NQ1k.01,M10.NQ1k.01,M10,false,,NQ1k,01,,sft_xml,0.3949645131826401,0.4604288810491562,0.35157333880662917,0.0011192631949963703,0.23438394143411717,0.22667392383458357,0.04667199081732932,0.19051289437652597,0.09082500860163262,0.011020138643452651,0.06951980405499097,0.031771871366404476
M10.NQ1k.02,M10.NQ1k.02,M10,false,,NQ1k,02,,sft_xml,0.3913671934604645,0.4521051400899887,0.34886703014373777,0.0009614701482933395,0.2611264875501609,0.2264149315680807,0.045135680452147095,0.1808438903558724,0.08859051666282992,0.01113243799348556,0.07246232487018743,0.02565271355350613
