model_path,model_folder,model_name,uses_metadata,epochs,sft_size,training_cfg,lora_rank,prompt,BERTScore_f1,BERTScore_precision,BERTScore_recall,BLEU,Cosine,JSD,Jaccard,Levenshtein,ROUGE_rouge1,ROUGE_rouge2,ROUGE_rougeL,SequenceMatcher
M10,M10,M10,false,,,,,base_p1,0.3857300391401907,0.39125503476219947,0.39374335354024714,0.012609922178590584,0.21458953370958578,0.20319384652644729,0.06821853595444509,0.2731107697277605,0.14213626985527023,0.03717769819539779,0.11523979150961579,0.1640979994365603
M10,M10,M10,false,,,,,base_p2,0.3889705481252285,0.41363620475085094,0.38081859536845275,0.015004414274514107,0.19467437401204649,0.20463276039456163,0.06744613794825312,0.25547676280403836,0.13574499223480105,0.03741696650610613,0.11349743620033549,0.16354623338492283
M10,M10,M10,false,,,,,base_p3,0.4260945936345091,0.4441410207387173,0.42556620848299276,0.013418969565883551,0.2264600047520321,0.22331357335791246,0.07469732424701113,0.2859191974628875,0.15084193584635208,0.04024273539625636,0.12390685345934495,0.17706475274508676
M10,M10,M10,false,,,,,base_p4,0.42472970308077457,0.44061803290940293,0.42488416875853685,0.01639812043825981,0.22922624698931085,0.22407564607975997,0.07552504293158885,0.28268816095734767,0.1527768841453222,0.03983480113785814,0.1253983117102951,0.17705670214772515
M10,M10,M10,false,,,,,base_p5,0.4198122731964998,0.4424738866211188,0.4148597959617172,0.013148651376606793,0.2110042604577469,0.21984582665939306,0.0686602458522143,0.27839077848762506,0.14122568150501744,0.03680598223992885,0.11691348250257624,0.1709370306713344
M10,M10,M10,false,,,,,icl_p6,0.37482427409803026,0.4399876279060287,0.33798913904512773,0.007105760299186736,0.1443480585402286,0.192737056217949,0.04449420914846835,0.19764849127377765,0.10174475845099885,0.01912014305596772,0.08756405486842579,0.12531864017496824
M10,M10,M10,false,,,,,icl_p7,0.37911963405633214,0.42185669071746595,0.35604039451690633,0.007207869220399117,0.1549132534851301,0.19805595180592328,0.04915150435756928,0.22491506652794938,0.10889098835783279,0.01983243453160561,0.09164945927522573,0.13973333006424857
M10,M10,M10,false,,,,,icl_p8,0.31306102397766983,0.32155765704434325,0.31699014742567083,0.003049675007827984,0.08261383554351957,0.18324350183360066,0.022657957993955397,0.12369758747276029,0.06131461573890122,0.008448395961687593,0.05350743340991499,0.08075125625906797
M10.NQ1k.01,M10.NQ1k.01,M10,false,,NQ1k,01,,sft_xml,0.4190194496602723,0.4569368848294923,0.3974489121123998,0.01077568349435543,0.17732451671193494,0.2160999754718629,0.05934158675947882,0.2902356353602133,0.12505332642695133,0.023326431672581166,0.10731097901693447,0.18482558326308066
M10.NQ1k.02,M10.NQ1k.02,M10,false,,NQ1k,02,,sft_xml,0.40330147890731544,0.4485848183884765,0.3751236230737031,0.00598184478858389,0.14913447720106665,0.20479407297430188,0.04959887421372863,0.25764259275956375,0.10466072813822201,0.014527558880949323,0.09030524378020625,0.17049957852465794
M10.NQ1k.03,M10.NQ1k.03,M10,false,,NQ1k,03,,sft_xml,0.4209279034775917,0.45837337091715646,0.3995902179166524,0.008817256273359931,0.17076310159231928,0.2158776531674943,0.05956759906089125,0.2949029898946196,0.1267799936677041,0.019803996063241996,0.10699699421376405,0.18356181663209065
M10.NQ2k.01,M10.NQ2k.01,M10,false,,NQ2k,01,,sft_xml,0.4055960366822252,0.4496457863335658,0.3782149272133606,0.005591978152240801,0.15345468110593638,0.20565775358980534,0.0493975223990661,0.2699526239800315,0.10899515494169838,0.014883151368076547,0.09244519864563844,0.1678194121383738
M10.NQ2k.02,M10.NQ2k.02,M10,false,,NQ2k,02,,sft_xml,0.3886871905940952,0.4357419658188868,0.35809374692464113,0.006270629390192961,0.11711978508951142,0.1976186945019024,0.040626498405345504,0.23661651254207963,0.08420413177450464,0.01416298038984365,0.0740205994336329,0.15632829694008632
M10.NQ2k.03,M10.NQ2k.03,M10,false,,NQ2k,03,,sft_xml,0.3906158156166173,0.4410575509974451,0.35747979749934844,0.005020590235097841,0.1161734647177365,0.19778398473779557,0.04076039711917595,0.2291482810286669,0.08359604518294489,0.014295362580058152,0.07481013060862408,0.16029417741275762
M10.NQ4k.01,M10.NQ4k.01,M10,false,,NQ4k,01,,sft_xml,0.37988731162716644,0.44656014704343044,0.3369089142842726,0.0031390633062149368,0.11742294896320891,0.19288070282854233,0.0347159070249956,0.211853681914774,0.0769017163827445,0.0122159669860304,0.06949224989589034,0.14929894911152528
M10.NQ4k.02,M10.NQ4k.02,M10,false,,NQ4k,02,,sft_xml,0.37179193584003833,0.44486184604842255,0.32484193916874704,0.0030153637514550103,0.09851268590235035,0.19106395008883648,0.03084013746073834,0.18804418499373068,0.06769310047721125,0.01423823316799546,0.06390857565254311,0.13417424763528485
M10.NQ4k.03,M10.NQ4k.03,M10,false,,NQ4k,03,,sft_xml,0.3662635973607651,0.4347856607250493,0.32280052966541717,0.0032790896278209556,0.09279026149867979,0.18917675728328798,0.02718672590790262,0.18549329655394878,0.0624026775883334,0.012117128604054676,0.058768631273823244,0.1330252288532511
M12,M12,M12,false,,,,,base_p1,0.42309630449462987,0.4546912091333161,0.4161444034216539,0.008830542252948353,0.24074992282633753,0.2207968502068031,0.06640801239602528,0.25515685714226843,0.145473255716192,0.031745224913860344,0.11535312393069751,0.1401835066406086
M12,M12,M12,false,,,,,base_p2,0.33189548544538844,0.35815709606281615,0.323127954261108,0.010334427775559544,0.19306808185814395,0.1781322955338101,0.058258587035020265,0.2026329908577107,0.12296862626817275,0.03379787787875042,0.09870240460572934,0.11986455979617001
M12,M12,M12,false,,,,,base_p3,0.43171396992116606,0.4445415279025552,0.4380881075026854,0.016435677335046524,0.2811189572486378,0.23077715353498354,0.08455074141239174,0.28209849414379606,0.1733141133511978,0.04884561134853488,0.13812521521342458,0.16452408433229238
