model_path,model_folder,model_name,uses_metadata,epochs,sft_size,training_cfg,lora_rank,prompt,BERTScore_f1,BERTScore_precision,BERTScore_recall,BLEU,Cosine,JSD,Jaccard,Levenshtein,ROUGE_rouge1,ROUGE_rouge2,ROUGE_rougeL,SequenceMatcher
M10,M10,M10,false,,,,,base_p1,0.42507105588912963,0.3935683649778366,0.47294271051883696,0.01391461788611895,0.22929745671558607,0.22286507549722134,0.07550100216134088,0.2704806096185239,0.1328166819758952,0.03404942988385591,0.10705639700858448,0.18653512969029676
M10,M10,M10,false,,,,,base_p2,0.3953107577562332,0.38076961517333985,0.42560827016830444,0.01290287672454527,0.2174190858390289,0.20693270860228885,0.07268588963777833,0.24584072963654546,0.13102725090028655,0.04445643549125719,0.1083188355567815,0.16719243167091793
M10,M10,M10,false,,,,,base_p3,0.45781279891729354,0.45833316653966905,0.47614576369524003,0.017599518387610823,0.21779454981580987,0.23101813091051934,0.08874852770169435,0.30685811498350507,0.16703387874963277,0.035257387020325825,0.14144649611695737,0.22525081869157756
M10,M10,M10,false,,,,,base_p4,0.44120858788490297,0.42605930268764497,0.47951045870780945,0.01536133947119481,0.22773745171842372,0.2257914225887099,0.07027778290934268,0.25997570196210046,0.14178135851390875,0.03968147324355777,0.1182448299196714,0.1793165828652263
M10,M10,M10,false,,,,,base_p5,0.44665851444005966,0.44597891688346863,0.46781327843666076,0.010648018286295897,0.2068120257023643,0.22043575639404495,0.06309421350794307,0.294731000823259,0.1329076559247947,0.026847857710397736,0.11420372526542756,0.20769343457442205
M10,M10,M10,false,,,,,icl_p6,0.394799585044384,0.43517490208148957,0.3789543902873993,0.007109117500962817,0.14904277821956963,0.19369727208048265,0.04143106743335924,0.22787105040974445,0.10136972936684317,0.014488143946615349,0.09300534817893258,0.1626563159339285
M10,M10,M10,false,,,,,icl_p7,0.41840298771858214,0.43916898369789126,0.4168351277709007,0.006582188743287345,0.13409052547668165,0.20333482404987635,0.04939530607346341,0.22932613828178275,0.10339196780188024,0.0193752161263011,0.08650453747265438,0.16563147866244565
M10,M10,M10,false,,,,,icl_p8,0.3290648138523102,0.332794050052762,0.3536041992902756,0.006483960017913086,0.11661881197162832,0.1868343291080951,0.030558854384068298,0.14436072442115278,0.07293607703213034,0.013816198556407287,0.06188593440497546,0.09469423988341041
M10.NQ1k.01,M10.NQ1k.01,M10,false,,NQ1k,01,,sft_xml,0.4336449831724167,0.44336527049541474,0.43462780833244324,0.010821849408255296,0.16892099552083764,0.22120957638716274,0.06913582237278827,0.3201278970849408,0.1302262463240975,0.015188466023129453,0.11000365360737918,0.22509179361020284
M10.NQ1k.02,M10.NQ1k.02,M10,false,,NQ1k,02,,sft_xml,0.4171120446920395,0.4232840245962143,0.4204609441757202,0.0061137438888317205,0.14199891129287034,0.20310612442999038,0.048962723448596764,0.2966077671417698,0.09388378844676681,0.006665033129517234,0.07934497493183704,0.19841200980146664
M10.NQ1k.03,M10.NQ1k.03,M10,false,,NQ1k,03,,sft_xml,0.4230146744847298,0.4336883237957954,0.4260463833808899,0.009192530454038996,0.16709649997583786,0.20854642843931484,0.06223190986307004,0.3130598850850329,0.11815188285293736,0.017509014529838468,0.10188446052638192,0.2127156334637
M10.NQ2k.01,M10.NQ2k.01,M10,false,,NQ2k,01,,sft_xml,0.42240416407585146,0.437305161356926,0.41797378242015837,0.010125757335409897,0.1473551056673502,0.21114338355658757,0.06427104210583119,0.31064602079097936,0.1221534305371521,0.024629258154874854,0.10974392746379703,0.22217605809252292
M10.NQ2k.02,M10.NQ2k.02,M10,false,,NQ2k,02,,sft_xml,0.3941286540031433,0.4133588469028473,0.38458472430706026,0.0023576565186495084,0.0837063217610785,0.1857788150077693,0.029968626218124537,0.24560536725764273,0.06485451916438004,0.0067033448058434345,0.05547134755719805,0.16789089260275322
M10.NQ2k.03,M10.NQ2k.03,M10,false,,NQ2k,03,,sft_xml,0.3920056039094925,0.4069077283143997,0.3824481809139252,0.0039391104138216575,0.08392327445371822,0.1906057024150581,0.03599988233647082,0.2703979402587027,0.07358961314411509,0.009525641025641025,0.06667771882634596,0.199522737256733
M10.NQ4k.01,M10.NQ4k.01,M10,false,,NQ4k,01,,sft_xml,0.38099600553512575,0.40802990972995756,0.36359936118125913,0.0032319866428576877,0.07795061578931933,0.18953925619529033,0.02841722442093286,0.25828022409894763,0.05344290494176447,0.0008333333333333334,0.04675222480901761,0.19138711182838963
M10.NQ4k.02,M10.NQ4k.02,M10,false,,NQ4k,02,,sft_xml,0.38414408922195437,0.4377258932590485,0.3485956186056137,0.004361895009442654,0.07825614980891368,0.19192486628629193,0.030530309657941235,0.23177779325128062,0.06953672607669836,0.0014814814814814816,0.061344066290614355,0.17195389421528898
M10.NQ4k.03,M10.NQ4k.03,M10,false,,NQ4k,03,,sft_xml,0.3854655718803406,0.44674480199813843,0.34366863787174223,0.002619436684658592,0.07511488528159256,0.1918449833790491,0.028057396142522003,0.2162543879981509,0.0631629546081493,0.018153846153846156,0.057116286382757675,0.1650693026021038
M12,M12,M12,false,,,,,base_p1,0.42711669504642485,0.4106095266342163,0.46927902460098264,0.015707483094033293,0.23718063565780556,0.21721041316201817,0.07289235220236762,0.2492990112248512,0.13731828538044125,0.03338334841634119,0.11299366869148056,0.16905962954235101
M12,M12,M12,false,,,,,base_p2,0.3384628838300705,0.3341134458780289,0.35830619037151334,0.012307057528720461,0.15562336937812973,0.1770398795008138,0.05031982224758313,0.19988433779149542,0.09627036844042244,0.02239381347706534,0.08278573303659423,0.145760593388054
M12,M12,M12,false,,,,,base_p3,0.4246308422088623,0.39464874386787413,0.48404726415872573,0.01759379851180484,0.24039378078010806,0.21989167449379696,0.07467812469708288,0.2408460154030558,0.13371712440224193,0.043376105958691874,0.11065436638041307,0.1770834010174693
M12,M12,M12,false,,,,,base_p4,0.2590514811873436,0.2500615972280502,0.2894997048377991,0.004221068054141548,0.11443467546730353,0.13808695158053752,0.03490475072471118,0.11804445398647496,0.05775572257851252,0.0092441016630629,0.052708390341044645,0.08535070537036785
M12,M12,M12,false,,,,,base_p5,0.42286634892225267,0.4020040762424469,0.4612273868918419,0.008822395744583295,0.2066614240448054,0.21497896503350414,0.07238057426672388,0.2732393194959313,0.1305597529121836,0.025181848003683695,0.1091160908233205,0.18338227439982746
M12,M12,M12,false,,,,,icl_p6,0.3695065623521805,0.4146815559267998,0.349860714673996,0.0053076389230957335,0.13771602322220042,0.169577801250551,0.03374176519700816,0.19975151457617416,0.10260161072938569,0.008719145690312739,0.09516778899697853,0.14217532079798662
M12,M12,M12,false,,,,,icl_p7,0.35298659712076186,0.38144120544195176,0.3437081891298294,0.004509671706500503,0.14261198320157592,0.1778182957984471,0.03600929213030162,0.1984677171858621,0.11419477514048834,0.007040929325145139,0.09548312176357646,0.14694817507847394
M12,M12,M12,false,,,,,icl_p8,0.3919419407844543,0.3829481402039528,0.41515513360500333,0.0077689412139277025,0.19418702881496713,0.19805537290700787,0.04772604998238909,0.24449314854622847,0.13482666564833637,0.013260017471637688,0.11461245106379943,0.1706668926957752
M12.NQ1k.01.r16,M12.NQ1k.01.r16,M12,false,,NQ1k,01,r16,sft_xml,0.42128230810165407,0.47204510629177093,0.3929579684138298,0.014365449552807885,0.1692430228626321,0.2146172305801031,0.06428776320420834,0.2638417491357549,0.1337498948325903,0.03110750360750361,0.12514823398367123,0.2115427486957112
M12.NQ1k.01.r8,M12.NQ1k.01.r8,M12,false,,NQ1k,01,r8,sft_xml,0.422618465423584,0.509012777209282,0.38331507802009585,0.00662612040110521,0.1758545561691972,0.19490596815890465,0.03383937775764882,0.18701879013965886,0.11901799492467878,0.010877192982456138,0.11318780277785503,0.1379041354168435
M12.NQ1k.02.r16,M12.NQ1k.02.r16,M12,false,,NQ1k,02,r16,sft_xml,0.43321097135543823,0.5209108233451843,0.38075288355350495,0.005191503779687775,0.11083237013695524,0.193495301248055,0.03061278890594624,0.20944742163001018,0.09219687144055763,0.023695046439628484,0.08209138243644536,0.1604338549705625
M12.NQ1k.02.r8,M12.NQ1k.02.r8,M12,false,,NQ1k,02,r8,sft_xml,0.38245262533426283,0.44657529443502425,0.3434260818362236,0.0022051113160701974,0.10108049570617814,0.18769924453123643,0.025831220705823204,0.18485073650184508,0.0722009846782397,0.0044444444444444444,0.0634997041660348,0.13199670901802832
M12.NQ1k.03.r16,M12.NQ1k.03.r16,M12,false,,NQ1k,03,r16,sft_xml,0.41052438616752623,0.5109731149673462,0.35470932006835937,0.0038543602702378766,0.15790156827207666,0.18686464040308046,0.022401176240392385,0.1861740917960265,0.10565455537343048,0.005474828375286042,0.10050905685572102,0.13501901251291587
M12.NQ1k.03.r8,M12.NQ1k.03.r8,M12,false,,NQ1k,03,r8,sft_xml,0.4120191615819931,0.5156167930364609,0.35632086664438245,0.007718537854400299,0.17929651635220048,0.19559177421269816,0.03399829016407819,0.18185677013072804,0.11693137655247698,0.008670612701967685,0.10977767008964866,0.13923412084625914
M12.NQ2k.01.r16,M12.NQ2k.01.r16,M12,false,,NQ2k,01,r16,sft_xml,0.39269654750823973,0.455260181427002,0.35452934622764587,0.005589800691631307,0.0940181537783449,0.19333575052727828,0.03350306578526393,0.21244743473600075,0.07551300555889809,0.007025641025641027,0.07089413204568479,0.17001557987843463
M12.NQ2k.01.r8,M12.NQ2k.01.r8,M12,false,,NQ2k,01,r8,sft_xml,0.4052526715397835,0.4618798518180847,0.3754181224107742,0.006890954408154506,0.10464009908231306,0.1939075970551684,0.03145812667197866,0.19893960947905914,0.07730659715357337,0.008278253549992681,0.07165283223818517,0.14287750181603204
M12.NQ2k.02.r16,M12.NQ2k.02.r16,M12,false,,NQ2k,02,r16,sft_xml,0.38987321734428404,0.4436313462257385,0.35735312223434446,0.009066873855321192,0.10151503452308586,0.19397373548170563,0.03274836856059093,0.2256067442310559,0.07662703818145039,0.012210526315789474,0.0716226016242188,0.16148043493467426
M12.NQ2k.02.r8,M12.NQ2k.02.r8,M12,false,,NQ2k,02,r8,sft_xml,0.40801518857479097,0.49949144184589384,0.3542437362670898,0.002825476024782228,0.10030728504122324,0.18632687172893225,0.0243142886696692,0.1929525732477866,0.07394165953868279,0.006549707602339181,0.0696724973283441,0.1439157930934071
M12.NQ2k.03.r16,M12.NQ2k.03.r16,M12,false,,NQ2k,03,r16,sft_xml,0.4009477871656418,0.4734892922639847,0.3560326504707336,0.005328888948259095,0.1245924033420565,0.1985965649389742,0.03279395936511302,0.22541379508258333,0.08776415059975028,0.008,0.08329140894859784,0.15654933764260168
M12.NQ2k.03.r8,M12.NQ2k.03.r8,M12,false,,NQ2k,03,r8,sft_xml,0.3624335980415344,0.4323845899105072,0.3197402819991112,0.0012681210051472163,0.06956194894201223,0.17688928461106734,0.01450855399367985,0.14547475068435278,0.055893252250395105,0.004857142857142857,0.05075874390160104,0.11292035460618138
M12.NQ4k.01.r16,M12.NQ4k.01.r16,M12,false,,NQ4k,01,r16,sft_xml,0.38339001893997193,0.4657259511947632,0.3357451328635216,0.0018016372441270788,0.07403174455016318,0.17759688443480845,0.014669160626607437,0.18136113777590684,0.0574222507066184,0.004223315715934634,0.056172250706618396,0.1293124095324982
M12.NQ4k.01.r8,M12.NQ4k.01.r8,M12,false,,NQ4k,01,r8,sft_xml,0.39856590926647184,0.49876684427261353,0.3418863201141357,0.0013506775072385229,0.10152044548779719,0.18102790550515266,0.01655612923661704,0.1755741323103784,0.0698439535600275,0.0049624060150375935,0.0671844746741335,0.12891543659320648
M12.NQ4k.02.r16,M12.NQ4k.02.r16,M12,false,,NQ4k,02,r16,sft_xml,0.4085300153493881,0.5319834291934967,0.3428680032491684,0.0007336617600864036,0.14222003520406126,0.1798665524715843,0.01578159645232816,0.16396163461746693,0.09453332271593143,0.0008695652173913043,0.08708070287200723,0.11710534333407603
M12.NQ4k.02.r8,M12.NQ4k.02.r8,M12,false,,NQ4k,02,r8,sft_xml,0.4002484852075577,0.49336804807186124,0.3483707880973816,0.0011581492066488164,0.0750852028458382,0.17390758892755842,0.006636326503281104,0.18611498242085867,0.04817590621938448,0.00037383177570093456,0.04724998029345856,0.12894698235584173
M12.NQ4k.03.r16,M12.NQ4k.03.r16,M12,false,,NQ4k,03,r16,sft_xml,0.3974719303846359,0.4685167169570923,0.3533408904075623,0.0022267043259351603,0.11670509528031843,0.19307915505485154,0.02692584227366836,0.2326320106741122,0.08339968561742189,0.00380952380952381,0.08339968561742189,0.18532109012423884
M12.NQ4k.03.r8,M12.NQ4k.03.r8,M12,false,,NQ4k,03,r8,sft_xml,0.42056617498397825,0.4950312954187393,0.37588600158691404,0.006184018538933336,0.14423679304515208,0.20819976640993113,0.048344988709279606,0.23328730128129016,0.10075164642081652,0.01040049545829893,0.09551355118272128,0.17837166928488798
M12.meta,M12.meta,M12,true,,,,,base_p1,0.15847810804843904,0.14249542355537415,0.1798202633857727,0.0024165871644229587,0.06764942744545281,0.0716965038238491,0.033233652312599685,0.09342758435190043,0.055733808674985154,0.011061224489795919,0.043969102792632206,0.06610454254445278
M12.meta,M12.meta,M12,true,,,,,base_p2,0.3270169496536255,0.29701603949069977,0.37465733885765073,0.021587625909277743,0.17029267619621125,0.18034938269175446,0.08776679093662594,0.17576217382897305,0.08255145303705104,0.030217213903034307,0.06616979435060781,0.11584718639140028
M12.meta,M12.meta,M12,true,,,,,base_p3,0.5456968635320664,0.47272474467754366,0.6735186815261841,0.04420400093572481,0.36937210881967336,0.3035340628053311,0.15878564185474345,0.23253632746148273,0.16618868546666488,0.09314981807092242,0.14935814372260425,0.16960524888569958
M12.meta,M12.meta,M12,true,,,,,base_p4,0.5369273275136948,0.44609865844249724,0.6926627099514008,0.025159708637183847,0.3857004370382742,0.3045221166448954,0.17128464415055183,0.18818246717273152,0.12797622315059579,0.06708412638174716,0.11210403062620031,0.13512372044913062
M12.meta,M12.meta,M12,true,,,,,base_p5,0.5456968635320664,0.47272474467754366,0.6735186815261841,0.04420400093572481,0.36937210881967336,0.3035340628053311,0.15878564185474345,0.23253632746148273,0.16618868546666488,0.09314981807092242,0.14935814372260425,0.16960524888569958
M12.meta,M12.meta,M12,true,,,,,icl_p6,0.4484416574239731,0.5512548983097076,0.41612798273563384,0.0014280161440451938,0.2528857358400763,0.19117487005870687,0.026645962732919255,0.1728190024531381,0.15691983623018108,0.016186299081035922,0.1430035800725456,0.13020200357831446
M12.meta,M12.meta,M12,true,,,,,icl_p7,0.43684306740760803,0.4376463949680328,0.47110183238983155,0.03424540463347616,0.2481857787854048,0.2338105460603735,0.11910744241157259,0.21659874108746466,0.1565008912212501,0.05467965732204094,0.1434710639057085,0.16834839331689538
M12.meta,M12.meta,M12,true,,,,,icl_p8,0.3521626353263855,0.3236894756555557,0.3917242646217346,0.0030238696902734783,0.16963942176830402,0.18022233378936994,0.017395510835913314,0.17418545322822238,0.10762939958592133,0.0,0.10096273291925466,0.11825559160437656
M12.meta.NQ1k.01.r16,M12.meta.NQ1k.01.r16,M12,true,,NQ1k,01,r16,sft_xml,0.3984411954879761,0.5107187956571579,0.3485358417034149,0.002922353828002224,0.17259011639186556,0.18974404568122494,0.02691520467836257,0.1423508010266689,0.11026670155241584,0.0,0.10618506889935461,0.10759462784944304
M12.meta.NQ1k.01.r8,M12.meta.NQ1k.01.r8,M12,true,,NQ1k,01,r8,sft_xml,0.394111430644989,0.5036325559020043,0.34803177416324615,0.0025989000247519604,0.2149402522960293,0.18900053577084858,0.023819966583124477,0.13450016461946465,0.12548933606076465,0.0,0.12140770340770342,0.1025269409767807
M12.meta.NQ1k.02.r16,M12.meta.NQ1k.02.r16,M12,true,,NQ1k,02,r16,sft_xml,0.4341225504875183,0.5698053866624833,0.36238040328025817,0.0025489213687266287,0.15375581926608323,0.183758996030264,0.020535714285714286,0.16977750605953124,0.1186943080560102,0.0,0.10592835060920167,0.11516662413967922
M12.meta.NQ1k.02.r8,M12.meta.NQ1k.02.r8,M12,true,,NQ1k,02,r8,sft_xml,0.4301579684019089,0.569735637307167,0.35365392565727233,0.0025500406646525764,0.1691861542622924,0.18876785235587237,0.025081168831168833,0.15574594544395706,0.12738996022992324,0.0,0.11462400278311471,0.11857692398922133
