model_path,model_folder,model_name,uses_metadata,epochs,sft_size,training_cfg,lora_rank,prompt,BERTScore_f1,BERTScore_precision,BERTScore_recall,BLEU,Cosine,JSD,Jaccard,Levenshtein,ROUGE_rouge1,ROUGE_rouge2,ROUGE_rougeL,SequenceMatcher
M10,M10,M10,false,,,,,base_p1,0.35068186043746885,0.33453576824967823,0.38145319720109305,0.007383776748881529,0.13988999277882364,0.18097207827520417,0.047217507561077544,0.2312723845803229,0.09551768353440183,0.01605862491733426,0.07547892584785042,0.16706483251644938
M10,M10,M10,false,,,,,base_p2,0.35636629041225193,0.3528225824473396,0.3763171945299421,0.007829083971040747,0.1383559268466437,0.1844213585524282,0.0450726925887257,0.21797249401313293,0.09106468560770295,0.017396320779514415,0.07407337648324913,0.16292629244697965
M10,M10,M10,false,,,,,base_p3,0.38839763081262985,0.37346205422802575,0.4203918834054281,0.006508916757412531,0.157957093956377,0.20235570336739883,0.05080216881782269,0.2345884397839888,0.0978126363929217,0.01441487994887573,0.07751605030604561,0.1727270783116725
M10,M10,M10,false,,,,,base_p4,0.3847226817456503,0.3705171527370574,0.41628042743319554,0.006940368171895684,0.14833928075240055,0.20173462147359444,0.05002873119508791,0.23667009876498504,0.09637612881171262,0.016118027149127516,0.07625306562036191,0.1746683578278818
M10,M10,M10,false,,,,,base_p5,0.38808928335469867,0.3779992602647297,0.4145208198399771,0.006321588792841911,0.1481619091864443,0.20042607514081062,0.04592642114106048,0.2380042710734332,0.09449217338880866,0.01769665280443494,0.07636255308792826,0.17378877534531284
M10,M10,M10,false,,,,,icl_p6,0.4124309793824241,0.43716779999316685,0.40448602721804666,0.00741279658766576,0.12347969937247827,0.20179482442540633,0.04934605956666715,0.2593415083852948,0.0990820416830879,0.014138674122326788,0.08463958405608059,0.20782591712305884
M10,M10,M10,false,,,,,icl_p7,0.41001606758624787,0.41840337448649934,0.4169009237535416,0.008629115492548021,0.13236503487043713,0.2022498185139121,0.04939833052798712,0.2617732771584056,0.10132648948222053,0.014358804333914198,0.08294533817779838,0.20285487010679668
M10,M10,M10,false,,,,,icl_p8,0.31622962005554683,0.3026403031178883,0.34494764327056826,0.0033445006704852244,0.0738707451855955,0.18338600586365045,0.025552749338784694,0.15435308858691082,0.0542765728504501,0.0050887092145736204,0.047990791172601854,0.12658333924035092
M10.NQ1k.01,M10.NQ1k.01,M10,false,,NQ1k,01,,sft_xml,0.4274739054933427,0.4289410469550935,0.44103164204529355,0.0069377619666533465,0.13306376371495462,0.20520579730710833,0.050219559213809294,0.2994410305530412,0.09886896804391083,0.010228351115307753,0.08451216718670038,0.22753357980994332
M10.NQ1k.02,M10.NQ1k.02,M10,false,,NQ1k,02,,sft_xml,0.42649709724244617,0.43568063255340334,0.4313544272430359,0.007997116137964722,0.1243211142618112,0.2039196666197575,0.04782693905367818,0.28290914353133545,0.09373498044784635,0.0070464167680563084,0.0831869452816327,0.2290103911647104
M10.NQ1k.03,M10.NQ1k.03,M10,false,,NQ1k,03,,sft_xml,0.42396462304251537,0.42843041349025,0.43417589385358113,0.007664426166049863,0.12184348616331625,0.20592885435149683,0.0487073935954417,0.2941603279571923,0.09954383098525572,0.011882587586494072,0.08187398724641351,0.22187068085291275
M10.NQ2k.01,M10.NQ2k.01,M10,false,,NQ2k,01,,sft_xml,0.44502389071479675,0.44961678281662953,0.45496068095404,0.009437675114802237,0.1438233441423877,0.2118985490196129,0.05592813852722551,0.3118621936399254,0.11174935548983106,0.01216597592718011,0.09328580141349209,0.23583967233028738
M10.NQ2k.02,M10.NQ2k.02,M10,false,,NQ2k,02,,sft_xml,0.42695721051995716,0.4440716183374798,0.4244556325295615,0.006344897183139816,0.10312497610603165,0.19573527189493314,0.03705725960388749,0.281166365732757,0.07756519600559034,0.007146569058974979,0.06890450125481298,0.22911775485234964
M10.NQ2k.03,M10.NQ2k.03,M10,false,,NQ2k,03,,sft_xml,0.4262629855246771,0.4542086457922345,0.41263122927574886,0.006029137161253493,0.09396512247414733,0.1958658801470224,0.040564946638917,0.27506384593356065,0.07718767846558583,0.005329156487673236,0.0701870536402089,0.227030580552939
M10.NQ4k.01,M10.NQ4k.01,M10,false,,NQ4k,01,,sft_xml,0.42356689591256397,0.44888507553509305,0.4148288918392999,0.004559778807528611,0.11190305219991187,0.19396087944443086,0.04479221930307636,0.2829870730807078,0.08536365349636553,0.00813176102879575,0.07809564310243472,0.23253815057340482
M10.NQ4k.02,M10.NQ4k.02,M10,false,,NQ4k,02,,sft_xml,0.4211149644757074,0.4564562515133903,0.4042887683898684,0.005405118739234319,0.07734180005589207,0.19196647523255975,0.035312859733870335,0.26046223060276036,0.06467074602445044,0.004338349954671825,0.0611164695357364,0.21793517281851096
M10.NQ4k.03,M10.NQ4k.03,M10,false,,NQ4k,03,,sft_xml,0.41998222791959366,0.4627449599523393,0.39648711052205826,0.007688861353240643,0.09349007735456574,0.19881199911799272,0.04005649145497915,0.25431765800750067,0.07257076275665858,0.006251406482237163,0.06881022824867573,0.21675287684003858
M12,M12,M12,false,,,,,base_p1,0.43905407737601887,0.42867687726562675,0.46763058123263446,0.012828975104119518,0.20414496927365133,0.2183833486033375,0.06539035551955368,0.2839524634536719,0.1318393173345458,0.0330746786244662,0.11023800997059977,0.2164706635012705
M12,M12,M12,false,,,,,base_p2,0.3263919406316497,0.32247767153111373,0.344621420936151,0.00989283807267155,0.16010141895745836,0.16950995524575557,0.05476362039268107,0.19891851728919607,0.1032990209604535,0.022004536138931757,0.08712640172426502,0.14896370792831362
M12,M12,M12,false,,,,,base_p3,0.40261970121752133,0.38340654505924743,0.44324252578345213,0.012451161416903181,0.21753510029395887,0.21207430359118823,0.0673353111362444,0.24554567401816954,0.1327962751942246,0.03537084246536402,0.10866676024842202,0.17617676074608687
M12,M12,M12,false,,,,,base_p4,0.24115705370903015,0.23330632895231246,0.261902851218527,0.005843240460741419,0.11207960847299153,0.1331637827004834,0.03449717454255585,0.12773330739999791,0.06583935129424227,0.01816414162461039,0.05337500120373723,0.09287788117185246
M12,M12,M12,false,,,,,base_p5,0.38631945910778914,0.3649424757740714,0.4299048997326331,0.012775536462872949,0.20076276357259804,0.20481379902617816,0.0648274939696509,0.23469554116139016,0.12164643331281033,0.03497393583635496,0.0989564633850044,0.17215340389860606
M12,M12,M12,false,,,,,icl_p6,0.408579641986977,0.4396805784919045,0.39540729541670194,0.017597812746420055,0.178070911166567,0.2017276999833673,0.07661487516041646,0.28204580512103195,0.14803447752787716,0.03808498986347866,0.13238966469485164,0.23084676711737986
M12,M12,M12,false,,,,,icl_p7,0.40026958121494816,0.40283788060600106,0.41223145487633617,0.010085590247838044,0.16732574094379912,0.20313919995074736,0.059904960121032386,0.2671417705266934,0.1257848823908553,0.020623504007373054,0.10915315968783555,0.20613791535169929
M12,M12,M12,false,,,,,icl_p8,0.3977457617358728,0.3881076140566306,0.42710974793542517,0.01262662231415166,0.20806743388161456,0.20151196127163093,0.06068085252638751,0.28836311467309245,0.15434932627531636,0.0358723066255156,0.13640310535989067,0.23064785794903012
M12.NQ1k.01.r16,M12.NQ1k.01.r16,M12,false,,NQ1k,01,r16,sft_xml,0.4538787659189918,0.5011466322161935,0.4274292834780433,0.017201903447730513,0.16254732033703306,0.2213365058872254,0.07288635451107758,0.29403382097913505,0.13709864258502727,0.03783628129713957,0.12406279795375191,0.2439766350364721
M12.NQ1k.01.r8,M12.NQ1k.01.r8,M12,false,,NQ1k,01,r8,sft_xml,0.457811928933317,0.49887460055676375,0.436640949791128,0.018035488727066586,0.17231785661772261,0.22466873914790342,0.07315992842710362,0.297111363689535,0.1385190098779298,0.03740868746444693,0.12537568286378997,0.24538359528663095
M12.NQ1k.02.r16,M12.NQ1k.02.r16,M12,false,,NQ1k,02,r16,sft_xml,0.4669374736059796,0.5194251348755576,0.4368809816241264,0.019621188054717884,0.169439549186425,0.22594257157221928,0.07589829240407661,0.3044631392938704,0.14378913646081648,0.044667008713769274,0.1354828623620908,0.25478584707169677
M12.NQ1k.02.r8,M12.NQ1k.02.r8,M12,false,,NQ1k,02,r8,sft_xml,0.44184358686208725,0.49535330092365093,0.4109759579734369,0.016224336180303053,0.15998914888630075,0.21816328874863644,0.06593246757304516,0.2786093604436052,0.13225033126098126,0.03696907959639915,0.12431455215232388,0.23380061612422331
